year,disc_rate_ann
0,0.0
1,0.00622
2,0.00738
3,0.00848
4,0.00953
5,0.01053
6,0.01148
7,0.01238
8,0.01324
9,0.01406
10,0.01484
11,0.01558
12,0.01628
13,0.01695
14,0.01759
15,0.01819
16,0.01877
17,0.01931
18,0.01984
19,0.02033
20,0.0208
21,0.02125
22,0.02168
23,0.02208
24,0.02247
25,0.02284
26,0.02319
27,0.02352
28,0.02384
29,0.02414
30,0.02442
31,0.02469
32,0.02495
33,0.0252
34,0.02543
35,0.02566
36,0.02587
37,0.02607
38,0.02626
39,0.02644
40,0.02662
41,0.02678
42,0.02694
43,0.02709
44,0.02723
45,0.02737
46,0.02749
47,0.02762
48,0.02773
49,0.02784
50,0.02795
51,0.02805
52,0.02814
53,0.02823
54,0.02832
55,0.0284
56,0.02848
57,0.02855
58,0.02862
59,0.02869
60,0.02876
61,0.02882
62,0.02887
63,0.02893
64,0.02898
65,0.02903
66,0.02908
67,0.02912
68,0.02917
69,0.02921
70,0.02925
71,0.02928
72,0.02932
73,0.02935
74,0.02938
75,0.02941
76,0.02944
77,0.02947
78,0.02949
79,0.02952
80,0.02954
81,0.02956
82,0.02959
83,0.02961
84,0.02963
85,0.02964
86,0.02966
87,0.02968
88,0.02969
89,0.02971
90,0.02972
91,0.02974
92,0.02975
93,0.02976
94,0.02977
95,0.02978
96,0.02979
97,0.0298
98,0.02981
99,0.02982
100,0.02983
101,0.02984
102,0.02985
103,0.02986
104,0.02986
105,0.02987
106,0.02988
107,0.02988
108,0.02989
109,0.02989
110,0.0299
111,0.0299
112,0.02991
113,0.02991
114,0.02992
115,0.02992
116,0.02992
117,0.02993
118,0.02993
119,0.02993
120,0.02994
121,0.02994
122,0.02994
123,0.02995
124,0.02995
125,0.02995
126,0.02995
127,0.02996
128,0.02996
129,0.02996
130,0.02996
131,0.02996
132,0.02997
133,0.02997
134,0.02997
135,0.02997
136,0.02997
137,0.02997
138,0.02997
139,0.02998
140,0.02998
141,0.02998
142,0.02998
143,0.02998
144,0.02998
145,0.02998
146,0.02998
147,0.02998
148,0.02998
149,0.02999
150,0.02999
