t,inv_return_mth
0,0.004
1,0.004052
2,0.004105
3,0.004156
4,0.004208
5,0.004259
6,0.004309
7,0.004358
8,0.004407
9,0.004454
10,0.0045
11,0.004545
12,0.004588
13,0.004629
14,0.004669
15,0.004707
16,0.004743
17,0.004777
18,0.004809
19,0.004839
20,0.004866
21,0.004891
22,0.004914
23,0.004934
24,0.004951
25,0.004966
26,0.004978
27,0.004988
28,0.004995
29,0.004999
30,0.005
31,0.004999
32,0.004995
33,0.004988
34,0.004978
35,0.004966
36,0.004951
37,0.004934
38,0.004914
39,0.004891
40,0.004866
41,0.004839
42,0.004809
43,0.004777
44,0.004743
45,0.004707
46,0.004669
47,0.004629
48,0.004588
49,0.004545
50,0.0045
51,0.004454
52,0.004407
53,0.004358
54,0.004309
55,0.004259
56,0.004208
57,0.004156
58,0.004105
59,0.004052
60,0.004
61,0.003948
62,0.003895
63,0.003844
64,0.003792
65,0.003741
66,0.003691
67,0.003642
68,0.003593
69,0.003546
70,0.0035
71,0.003455
72,0.003412
73,0.003371
74,0.003331
75,0.003293
76,0.003257
77,0.003223
78,0.003191
79,0.003161
80,0.003134
81,0.003109
82,0.003086
83,0.003066
84,0.003049
85,0.003034
86,0.003022
87,0.003012
88,0.003005
89,0.003001
90,0.003
91,0.003001
92,0.003005
93,0.003012
94,0.003022
95,0.003034
96,0.003049
97,0.003066
98,0.003086
99,0.003109
100,0.003134
101,0.003161
102,0.003191
103,0.003223
104,0.003257
105,0.003293
106,0.003331
107,0.003371
108,0.003412
109,0.003455
110,0.0035
111,0.003546
112,0.003593
113,0.003642
114,0.003691
115,0.003741
116,0.003792
117,0.003844
118,0.003895
119,0.003948
120,0.004
121,0.004052
122,0.004105
123,0.004156
124,0.004208
125,0.004259
126,0.004309
127,0.004358
128,0.004407
129,0.004454
130,0.0045
131,0.004545
132,0.004588
133,0.004629
134,0.004669
135,0.004707
136,0.004743
137,0.004777
138,0.004809
139,0.004839
140,0.004866
141,0.004891
142,0.004914
143,0.004934
144,0.004951
145,0.004966
146,0.004978
147,0.004988
148,0.004995
149,0.004999
150,0.005
151,0.004999
152,0.004995
153,0.004988
154,0.004978
155,0.004966
156,0.004951
157,0.004934
158,0.004914
159,0.004891
160,0.004866
161,0.004839
162,0.004809
163,0.004777
164,0.004743
165,0.004707
166,0.004669
167,0.004629
168,0.004588
169,0.004545
170,0.0045
171,0.004454
172,0.004407
173,0.004358
174,0.004309
175,0.004259
176,0.004208
177,0.004156
178,0.004105
179,0.004052
180,0.004
181,0.003948
182,0.003895
183,0.003844
184,0.003792
185,0.003741
186,0.003691
187,0.003642
188,0.003593
189,0.003546
190,0.0035
191,0.003455
192,0.003412
193,0.003371
194,0.003331
195,0.003293
196,0.003257
197,0.003223
198,0.003191
199,0.003161
200,0.003134
201,0.003109
202,0.003086
203,0.003066
204,0.003049
205,0.003034
206,0.003022
207,0.003012
208,0.003005
209,0.003001
210,0.003
211,0.003001
212,0.003005
213,0.003012
214,0.003022
215,0.003034
216,0.003049
217,0.003066
218,0.003086
219,0.003109
220,0.003134
221,0.003161
222,0.003191
223,0.003223
224,0.003257
225,0.003293
226,0.003331
227,0.003371
228,0.003412
229,0.003455
230,0.0035
231,0.003546
232,0.003593
233,0.003642
234,0.003691
235,0.003741
236,0.003792
237,0.003844
238,0.003895
239,0.003948
240,0.004
241,0.004052
242,0.004105
243,0.004156
244,0.004208
245,0.004259
246,0.004309
247,0.004358
248,0.004407
249,0.004454
250,0.0045
251,0.004545
252,0.004588
253,0.004629
254,0.004669
255,0.004707
256,0.004743
257,0.004777
258,0.004809
259,0.004839
260,0.004866
261,0.004891
262,0.004914
263,0.004934
264,0.004951
265,0.004966
266,0.004978
267,0.004988
268,0.004995
269,0.004999
270,0.005
271,0.004999
272,0.004995
273,0.004988
274,0.004978
275,0.004966
276,0.004951
277,0.004934
278,0.004914
279,0.004891
280,0.004866
281,0.004839
282,0.004809
283,0.004777
284,0.004743
285,0.004707
286,0.004669
287,0.004629
288,0.004588
289,0.004545
290,0.0045
291,0.004454
292,0.004407
293,0.004358
294,0.004309
295,0.004259
296,0.004208
297,0.004156
298,0.004105
299,0.004052
300,0.004
301,0.003948
302,0.003895
303,0.003844
304,0.003792
305,0.003741
306,0.003691
307,0.003642
308,0.003593
309,0.003546
310,0.0035
311,0.003455
312,0.003412
313,0.003371
314,0.003331
315,0.003293
316,0.003257
317,0.003223
318,0.003191
319,0.003161
320,0.003134
321,0.003109
322,0.003086
323,0.003066
324,0.003049
325,0.003034
326,0.003022
327,0.003012
328,0.003005
329,0.003001
330,0.003
331,0.003001
332,0.003005
333,0.003012
334,0.003022
335,0.003034
336,0.003049
337,0.003066
338,0.003086
339,0.003109
340,0.003134
341,0.003161
342,0.003191
343,0.003223
344,0.003257
345,0.003293
346,0.003331
347,0.003371
348,0.003412
349,0.003455
350,0.0035
351,0.003546
352,0.003593
353,0.003642
354,0.003691
355,0.003741
356,0.003792
357,0.003844
358,0.003895
359,0.003948
360,0.004
361,0.004052
362,0.004105
363,0.004156
364,0.004208
365,0.004259
366,0.004309
367,0.004358
368,0.004407
369,0.004454
370,0.0045
371,0.004545
372,0.004588
373,0.004629
374,0.004669
375,0.004707
376,0.004743
377,0.004777
378,0.004809
379,0.004839
380,0.004866
381,0.004891
382,0.004914
383,0.004934
384,0.004951
385,0.004966
386,0.004978
387,0.004988
388,0.004995
389,0.004999
390,0.005
391,0.004999
392,0.004995
393,0.004988
394,0.004978
395,0.004966
396,0.004951
397,0.004934
398,0.004914
399,0.004891
400,0.004866
401,0.004839
402,0.004809
403,0.004777
404,0.004743
405,0.004707
406,0.004669
407,0.004629
408,0.004588
409,0.004545
410,0.0045
411,0.004454
412,0.004407
413,0.004358
414,0.004309
415,0.004259
416,0.004208
417,0.004156
418,0.004105
419,0.004052
420,0.004
421,0.003948
422,0.003895
423,0.003844
424,0.003792
425,0.003741
426,0.003691
427,0.003642
428,0.003593
429,0.003546
430,0.0035
431,0.003455
432,0.003412
433,0.003371
434,0.003331
435,0.003293
436,0.003257
437,0.003223
438,0.003191
439,0.003161
440,0.003134
441,0.003109
442,0.003086
443,0.003066
444,0.003049
445,0.003034
446,0.003022
447,0.003012
448,0.003005
449,0.003001
450,0.003
451,0.003001
452,0.003005
453,0.003012
454,0.003022
455,0.003034
456,0.003049
457,0.003066
458,0.003086
459,0.003109
460,0.003134
461,0.003161
462,0.003191
463,0.003223
464,0.003257
465,0.003293
466,0.003331
467,0.003371
468,0.003412
469,0.003455
470,0.0035
471,0.003546
472,0.003593
473,0.003642
474,0.003691
475,0.003741
476,0.003792
477,0.003844
478,0.003895
479,0.003948
480,0.004
481,0.004052
482,0.004105
483,0.004156
484,0.004208
485,0.004259
486,0.004309
487,0.004358
488,0.004407
489,0.004454
490,0.0045
491,0.004545
492,0.004588
493,0.004629
494,0.004669
495,0.004707
496,0.004743
497,0.004777
498,0.004809
499,0.004839
500,0.004866
501,0.004891
502,0.004914
503,0.004934
504,0.004951
505,0.004966
506,0.004978
507,0.004988
508,0.004995
509,0.004999
510,0.005
511,0.004999
512,0.004995
513,0.004988
514,0.004978
515,0.004966
516,0.004951
517,0.004934
518,0.004914
519,0.004891
520,0.004866
521,0.004839
522,0.004809
523,0.004777
524,0.004743
525,0.004707
526,0.004669
527,0.004629
528,0.004588
529,0.004545
530,0.0045
531,0.004454
532,0.004407
533,0.004358
534,0.004309
535,0.004259
536,0.004208
537,0.004156
538,0.004105
539,0.004052
540,0.004
541,0.003948
542,0.003895
543,0.003844
544,0.003792
545,0.003741
546,0.003691
547,0.003642
548,0.003593
549,0.003546
550,0.0035
551,0.003455
552,0.003412
553,0.003371
554,0.003331
555,0.003293
556,0.003257
557,0.003223
558,0.003191
559,0.003161
560,0.003134
561,0.003109
562,0.003086
563,0.003066
564,0.003049
565,0.003034
566,0.003022
567,0.003012
568,0.003005
569,0.003001
570,0.003
571,0.003001
572,0.003005
573,0.003012
574,0.003022
575,0.003034
576,0.003049
577,0.003066
578,0.003086
579,0.003109
580,0.003134
581,0.003161
582,0.003191
583,0.003223
584,0.003257
585,0.003293
586,0.003331
587,0.003371
588,0.003412
589,0.003455
590,0.0035
591,0.003546
592,0.003593
593,0.003642
594,0.003691
595,0.003741
596,0.003792
597,0.003844
598,0.003895
599,0.003948
600,0.004
601,0.004052
602,0.004105
603,0.004156
604,0.004208
605,0.004259
606,0.004309
607,0.004358
608,0.004407
609,0.004454
610,0.0045
611,0.004545
612,0.004588
613,0.004629
614,0.004669
615,0.004707
616,0.004743
617,0.004777
618,0.004809
619,0.004839
620,0.004866
621,0.004891
622,0.004914
623,0.004934
624,0.004951
625,0.004966
626,0.004978
627,0.004988
628,0.004995
629,0.004999
630,0.005
631,0.004999
632,0.004995
633,0.004988
634,0.004978
635,0.004966
636,0.004951
637,0.004934
638,0.004914
639,0.004891
640,0.004866
641,0.004839
642,0.004809
643,0.004777
644,0.004743
645,0.004707
646,0.004669
647,0.004629
648,0.004588
649,0.004545
650,0.0045
651,0.004454
652,0.004407
653,0.004358
654,0.004309
655,0.004259
656,0.004208
657,0.004156
658,0.004105
659,0.004052
660,0.004
661,0.003948
662,0.003895
