Age,0,1,2,3,4,5
18,0.000111,0.000129,0.000148,0.000166,0.000176,0.000185
19,0.000115,0.000135,0.000154,0.000173,0.000183,0.000192
20,0.00012,0.00014,0.00016,0.00018,0.00019,0.0002
21,0.000125,0.000146,0.000166,0.000187,0.000198,0.000208
22,0.00013,0.000151,0.000173,0.000195,0.000206,0.000216
23,0.000135,0.000157,0.00018,0.000202,0.000214,0.000225
24,0.00014,0.000164,0.000187,0.000211,0.000222,0.000234
25,0.000146,0.00017,0.000195,0.000219,0.000231,0.000243
26,0.000152,0.000177,0.000202,0.000228,0.00024,0.000253
27,0.000158,0.000184,0.000211,0.000237,0.00025,0.000263
28,0.000164,0.000192,0.000219,0.000246,0.00026,0.000274
29,0.000171,0.000199,0.000228,0.000256,0.00027,0.000285
30,0.000178,0.000207,0.000237,0.000266,0.000281,0.000296
31,0.000185,0.000216,0.000246,0.000277,0.000292,0.000308
32,0.000192,0.000224,0.000256,0.000288,0.000304,0.00032
33,0.0002,0.000233,0.000266,0.0003,0.000316,0.000333
34,0.000208,0.000242,0.000277,0.000312,0.000329,0.000346
35,0.000216,0.000252,0.000288,0.000324,0.000342,0.00036
36,0.000225,0.000262,0.0003,0.000337,0.000356,0.000375
37,0.000234,0.000273,0.000312,0.000351,0.00037,0.00039
38,0.000243,0.000284,0.000324,0.000365,0.000385,0.000405
39,0.000253,0.000295,0.000337,0.000379,0.0004,0.000421
40,0.000263,0.000307,0.000351,0.000394,0.000416,0.000438
41,0.000273,0.000319,0.000365,0.00041,0.000433,0.000456
42,0.000284,0.000332,0.000379,0.000427,0.00045,0.000474
43,0.000296,0.000345,0.000394,0.000444,0.000468,0.000493
44,0.000308,0.000359,0.00041,0.000461,0.000487,0.000513
45,0.00032,0.000373,0.000427,0.00048,0.000507,0.000533
46,0.000333,0.000388,0.000444,0.000499,0.000527,0.000554
47,0.000346,0.000404,0.000461,0.000519,0.000548,0.000577
48,0.00036,0.00042,0.00048,0.00054,0.00057,0.0006
49,0.000374,0.000437,0.000499,0.000561,0.000593,0.000624
50,0.000389,0.000454,0.000519,0.000584,0.000616,0.000649
51,0.000405,0.000472,0.00054,0.000607,0.000641,0.000675
52,0.000421,0.000491,0.000561,0.000631,0.000667,0.000702
53,0.000438,0.000511,0.000584,0.000657,0.000693,0.00073
54,0.000455,0.000531,0.000607,0.000683,0.000721,0.000759
55,0.000474,0.000552,0.000631,0.00071,0.00075,0.000789
56,0.000492,0.000575,0.000657,0.000739,0.00078,0.000821
57,0.000512,0.000598,0.000683,0.000768,0.000811,0.000854
58,0.000533,0.000621,0.00071,0.000799,0.000843,0.000888
59,0.000554,0.000646,0.000739,0.000831,0.000877,0.000923
60,0.000576,0.000672,0.000768,0.000864,0.000912,0.00096
61,0.000599,0.000699,0.000799,0.000899,0.000949,0.000999
62,0.000623,0.000727,0.000831,0.000935,0.000987,0.001039
63,0.000648,0.000756,0.000864,0.000972,0.001026,0.00108
64,0.000674,0.000786,0.000899,0.001011,0.001067,0.001123
65,0.000701,0.000818,0.000935,0.001051,0.00111,0.001168
66,0.000729,0.00085,0.000972,0.001093,0.001154,0.001215
67,0.000758,0.000884,0.001011,0.001137,0.0012,0.001264
68,0.000788,0.00092,0.001051,0.001183,0.001248,0.001314
69,0.00082,0.000957,0.001093,0.00123,0.001298,0.001367
70,0.000853,0.000995,0.001137,0.001279,0.00135,0.001421
71,0.000887,0.001035,0.001183,0.00133,0.001404,0.001478
72,0.000922,0.001076,0.00123,0.001384,0.00146,0.001537
73,0.000959,0.001119,0.001279,0.001439,0.001519,0.001599
74,0.000998,0.001164,0.00133,0.001496,0.00158,0.001663
75,0.001038,0.00121,0.001383,0.001556,0.001643,0.001729
76,1.0,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0
