date,price
2016-01-04,3105.0
2016-01-05,3077.2964
2016-01-06,3052.455
2016-01-07,3047.5556
2016-01-08,3018.5996
2016-01-11,3007.7416
2016-01-12,2938.7976
2016-01-13,2946.8963
2016-01-14,2947.4
2016-01-15,2918.5096
2016-01-18,2942.4145
2016-01-19,2976.4962
2016-01-20,2918.6453
2016-01-21,2891.9705
2016-01-22,2865.3132
2016-01-25,2832.9386
2016-01-26,2862.0201
2016-01-27,2855.7064
2016-01-28,2846.9465
2016-01-29,2777.863
2016-02-01,2799.8092
2016-02-02,2757.9599
2016-02-03,2760.4053
2016-02-04,2770.1683
2016-02-05,2816.5389
2016-02-08,2772.0516
2016-02-09,2670.4724
2016-02-10,2676.8733
2016-02-11,2736.0322
2016-02-12,2777.7728
2016-02-15,2785.3047
2016-02-16,2769.0509
2016-02-17,2796.7221
2016-02-18,2763.9758
2016-02-19,2780.4542
2016-02-22,2798.0174
2016-02-23,2834.6086
2016-02-24,2930.3889
2016-02-25,2944.8616
2016-02-26,2927.0548
2016-02-29,2926.5998
2016-03-01,2863.9578
2016-03-02,2840.1567
2016-03-03,2826.4334
2016-03-04,2808.8217
2016-03-07,2814.476
2016-03-08,2786.7056
2016-03-09,2825.2146
2016-03-10,2825.6632
2016-03-11,2825.7844
2016-03-14,2814.9335
2016-03-15,2820.6974
2016-03-16,2849.5028
2016-03-17,2819.834
2016-03-18,2797.6573
2016-03-21,2787.7385
2016-03-22,2742.4473
2016-03-23,2715.4933
2016-03-24,2700.157
2016-03-25,2729.3535
2016-03-28,2738.5138
2016-03-29,2745.4029
2016-03-30,2774.3025
2016-03-31,2770.0912
2016-04-01,2783.7063
2016-04-04,2780.6394
2016-04-05,2790.0667
2016-04-06,2770.6866
2016-04-07,2688.7661
2016-04-08,2684.786
2016-04-11,2731.759
2016-04-12,2763.0226
2016-04-13,2795.9635
2016-04-14,2838.5225
2016-04-15,2842.0331
2016-04-18,2849.3116
2016-04-19,2828.3083
2016-04-20,2817.8551
2016-04-21,2839.4426
2016-04-22,2881.5476
2016-04-25,2877.1006
2016-04-26,2861.7644
2016-04-27,2862.23
2016-04-28,2883.6494
2016-04-29,2833.3564
2016-05-02,2754.5085
2016-05-03,2736.457
2016-05-04,2696.1731
2016-05-05,2679.8971
2016-05-06,2675.4892
2016-05-09,2661.1279
