date,price
2016-01-04,1075.0
2016-01-05,1064.2097
2016-01-06,1068.661
2016-01-07,1058.3592
2016-01-08,1048.6587
2016-01-11,1043.3219
2016-01-12,1035.2735
2016-01-13,1030.7293
2016-01-14,1029.1085
2016-01-15,1036.6188
2016-01-18,1034.0527
2016-01-19,1020.4608
2016-01-20,1030.5161
2016-01-21,1023.4791
2016-01-22,1023.2119
2016-01-25,1027.3068
2016-01-26,1029.2778
2016-01-27,1039.0215
2016-01-28,1043.4643
2016-01-29,1036.1257
2016-02-01,1055.4142
2016-02-02,1057.3921
2016-02-03,1056.3254
2016-02-04,1065.1642
2016-02-05,1067.6558
2016-02-08,1071.5024
2016-02-09,1094.2849
2016-02-10,1092.0011
2016-02-11,1089.3293
2016-02-12,1090.6561
2016-02-15,1100.7722
2016-02-16,1087.0379
2016-02-17,1069.2648
2016-02-18,1064.2185
2016-02-19,1049.7964
2016-02-22,1046.2794
2016-02-23,1050.9607
2016-02-24,1043.3083
2016-02-25,1030.9926
2016-02-26,1031.8374
2016-02-29,1039.5887
2016-03-01,1024.9648
2016-03-02,1032.2985
2016-03-03,1039.6592
2016-03-04,1048.2723
2016-03-07,1059.2952
2016-03-08,1079.2246
2016-03-09,1076.235
2016-03-10,1077.4822
2016-03-11,1073.9488
2016-03-14,1074.2184
2016-03-15,1088.3637
2016-03-16,1076.2675
2016-03-17,1068.7005
2016-03-18,1081.3692
2016-03-21,1090.9296
2016-03-22,1087.8427
2016-03-23,1095.94
2016-03-24,1099.352
2016-03-25,1113.5259
2016-03-28,1114.4869
2016-03-29,1124.3927
2016-03-30,1149.7211
2016-03-31,1155.7926
2016-04-01,1156.5446
2016-04-04,1163.8655
2016-04-05,1160.5512
2016-04-06,1184.2065
2016-04-07,1186.2833
2016-04-08,1183.8295
2016-04-11,1175.7596
2016-04-12,1186.9201
2016-04-13,1195.8829
2016-04-14,1191.1447
2016-04-15,1197.2174
2016-04-18,1182.2593
2016-04-19,1184.3815
2016-04-20,1189.1836
