date,price
2016-01-04,2038.0
2016-01-05,2048.4436
2016-01-06,2046.3399
2016-01-07,2059.8192
2016-01-08,2090.8541
2016-01-11,2086.7647
2016-01-12,2082.6836
2016-01-13,2115.1967
2016-01-14,2131.5831
2016-01-15,2122.5548
2016-01-18,2134.3743
2016-01-19,2125.4593
2016-01-20,2116.534
2016-01-21,2122.1566
2016-01-22,2083.4858
2016-01-25,2049.3215
2016-01-26,2038.799
2016-01-27,2019.4318
2016-01-28,2026.2106
2016-01-29,2009.0202
2016-02-01,1982.1612
2016-02-02,2010.9243
2016-02-03,2007.1544
2016-02-04,2009.0947
2016-02-05,1981.9925
2016-02-08,1972.1595
2016-02-09,1974.895
2016-02-10,1953.4915
2016-02-11,1961.2119
2016-02-12,1950.4131
2016-02-15,1945.5111
2016-02-16,1934.7787
2016-02-17,1970.1009
2016-02-18,1970.4589
2016-02-19,1950.8842
2016-02-22,1967.0393
2016-02-23,1944.39
2016-02-24,1948.9318
2016-02-25,1912.5417
2016-02-26,1888.5311
2016-02-29,1892.7229
2016-03-01,1906.8547
2016-03-02,1910.6162
2016-03-03,1909.0727
2016-03-04,1904.1007
2016-03-07,1877.4229
2016-03-08,1864.9174
2016-03-09,1857.1781
2016-03-10,1876.7776
2016-03-11,1883.6115
2016-03-14,1852.0291
2016-03-15,1858.4224
2016-03-16,1852.0704
2016-03-17,1840.5039
2016-03-18,1851.9851
2016-03-21,1871.0612
2016-03-22,1888.5262
2016-03-23,1873.7628
2016-03-24,1868.7355
2016-03-25,1875.3164
2016-03-28,1893.6253
2016-03-29,1885.4269
2016-03-30,1882.625
2016-03-31,1863.036
2016-04-01,1842.0289
2016-04-04,1857.1038
2016-04-05,1882.0838
2016-04-06,1881.3591
2016-04-07,1900.237
2016-04-08,1907.488
2016-04-11,1896.1631
2016-04-12,1903.3942
2016-04-13,1932.349
2016-04-14,1932.2822
2016-04-15,1962.1746
2016-04-18,1912.9902
2016-04-19,1928.8196
2016-04-20,1931.0488
2016-04-21,1926.0588
2016-04-22,1928.3728
2016-04-25,1891.8454
2016-04-26,1888.4106
2016-04-27,1895.5338
2016-04-28,1923.2647
2016-04-29,1914.2095
2016-05-02,1899.815
2016-05-03,1891.1742
2016-05-04,1908.536
2016-05-05,1915.2107
2016-05-06,1905.9802
2016-05-09,1916.0529
2016-05-10,1918.4536
2016-05-11,1937.0554
2016-05-12,1924.4866
2016-05-13,1918.9792
2016-05-16,1912.2895
2016-05-17,1885.7751
2016-05-18,1891.774
2016-05-19,1897.1495
2016-05-20,1897.8363
2016-05-23,1894.1164
2016-05-24,1868.7373
2016-05-25,1861.7062
2016-05-26,1856.107
2016-05-27,1842.2613
2016-05-30,1839.9586
2016-05-31,1847.7356
2016-06-01,1882.0756
2016-06-02,1885.8468
2016-06-03,1891.1413
2016-06-06,1890.3684
2016-06-07,1855.8208
2016-06-08,1855.9241
2016-06-09,1857.587
2016-06-10,1902.4944
2016-06-13,1899.5436
2016-06-14,1905.6863
2016-06-15,1905.641
2016-06-16,1884.6616
2016-06-17,1906.1159
2016-06-20,1920.5964
2016-06-21,1935.9143
2016-06-22,1919.4645
2016-06-23,1946.149
2016-06-24,1920.3276
2016-06-27,1931.8451
2016-06-28,1973.4427
2016-06-29,1955.1226
2016-06-30,1945.0077
2016-07-01,1947.4932
2016-07-04,1938.603
2016-07-05,1910.0871
2016-07-06,1911.9526
2016-07-07,1892.8741
2016-07-08,1902.15
2016-07-11,1885.8021
2016-07-12,1914.7067
2016-07-13,1900.7767
2016-07-14,1895.4403
2016-07-15,1910.9705
2016-07-18,1888.7813
2016-07-19,1893.5335
2016-07-20,1918.103
2016-07-21,1888.8327
2016-07-22,1892.8014
2016-07-25,1898.1583
2016-07-26,1913.1279
2016-07-27,1890.8008
2016-07-28,1867.2047
2016-07-29,1877.2294
2016-08-01,1883.2169
2016-08-02,1888.3753
2016-08-03,1895.3032
2016-08-04,1883.4097
2016-08-05,1888.2359
2016-08-08,1894.1869
2016-08-09,1881.6706
2016-08-10,1916.2692
2016-08-11,1925.6642
2016-08-12,1904.0424
2016-08-15,1916.7478
2016-08-16,1899.2484
2016-08-17,1914.3234
2016-08-18,1936.4078
2016-08-19,1921.6178
2016-08-22,1940.1522
2016-08-23,1948.5168
2016-08-24,1964.6432
2016-08-25,2001.3578
2016-08-26,1997.2256
2016-08-29,1983.2663
2016-08-30,1966.796
2016-08-31,1951.8667
2016-09-01,1951.0187
2016-09-02,1958.0764
2016-09-05,1963.9368
2016-09-06,1980.2882
2016-09-07,1981.1565
2016-09-08,2009.6725
2016-09-09,2005.148
2016-09-12,2058.6135
2016-09-13,2071.7344
2016-09-14,2055.1787
2016-09-15,2034.5
2016-09-16,2044.6449
2016-09-19,2040.8576
2016-09-20,2055.6118
2016-09-21,2065.6781
2016-09-22,2064.8662
2016-09-23,2048.5727
2016-09-26,2019.1499
2016-09-27,2011.0469
2016-09-28,2028.3597
2016-09-29,2033.2004
2016-09-30,2009.299
2016-10-03,2013.2978
2016-10-04,2021.4422
2016-10-05,2004.7655
2016-10-06,2008.3775
2016-10-07,2010.1377
2016-10-10,1988.5085
2016-10-11,1996.0223
2016-10-12,2007.4896
2016-10-13,2029.1796
2016-10-14,2050.5291
2016-10-17,2023.8031
2016-10-18,2006.049
2016-10-19,2016.6848
2016-10-20,2027.3527
2016-10-21,2038.1018
2016-10-24,2114.8074
2016-10-25,2127.1643
2016-10-26,2151.2295
2016-10-27,2171.7832
2016-10-28,2186.1666
2016-10-31,2180.1728
2016-11-01,2196.8839
2016-11-02,2181.1229
2016-11-03,2176.8006
2016-11-04,2167.2456
2016-11-07,2169.6419
2016-11-08,2218.9703
2016-11-09,2179.5245
2016-11-10,2194.6954
2016-11-11,2161.0931
2016-11-14,2151.8883
2016-11-15,2175.2615
2016-11-16,2177.2958
2016-11-17,2155.2438
2016-11-18,2140.9826
2016-11-21,2155.747
2016-11-22,2141.1678
2016-11-23,2146.3268
2016-11-24,2147.9451
2016-11-25,2135.0577
2016-11-28,2180.0689
2016-11-29,2194.1382
2016-11-30,2151.778
2016-12-01,2156.3371
2016-12-02,2143.1866
2016-12-05,2161.5547
2016-12-06,2145.6347
2016-12-07,2143.9203
2016-12-08,2155.0785
2016-12-09,2173.8266
2016-12-12,2149.229
2016-12-13,2142.9361
2016-12-14,2133.746
2016-12-15,2120.9081
2016-12-16,2157.8444
2016-12-19,2166.9845
2016-12-20,2141.1924
2016-12-21,2160.9005
2016-12-22,2206.0004
2016-12-23,2228.7542
2016-12-26,2196.6459
2016-12-27,2187.0279
2016-12-28,2214.5532
2016-12-29,2200.0632
2016-12-30,2210.2099
2017-01-02,2227.4866
2017-01-03,2208.1807
2017-01-04,2207.5974
2017-01-05,2138.9692
2017-01-06,2118.411
2017-01-09,2113.8898
2017-01-10,2088.9979
2017-01-11,2122.6861
2017-01-12,2093.9407
2017-01-13,2085.6687
2017-01-16,2088.9621
2017-01-17,2118.7817
2017-01-18,2089.9717
2017-01-19,2114.175
2017-01-20,2115.0452
2017-01-23,2095.5955
2017-01-24,2105.6316
2017-01-25,2110.3501
2017-01-26,2098.7388
2017-01-27,2100.8138
2017-01-30,2093.6285
2017-01-31,2096.5852
2017-02-01,2110.6887
2017-02-02,2143.778
2017-02-03,2118.7412
2017-02-06,2163.1844
2017-02-07,2122.9528
2017-02-08,2120.4946
2017-02-09,2133.2426
2017-02-10,2139.7162
2017-02-13,2127.4772
2017-02-14,2123.8526
2017-02-15,2114.3729
2017-02-16,2102.9617
2017-02-17,2120.9274
2017-02-20,2128.9256
2017-02-21,2115.3003
2017-02-22,2134.3959
2017-02-23,2141.4169
2017-02-24,2158.9489
2017-02-27,2172.7922
2017-02-28,2156.0217
2017-03-01,2144.9953
2017-03-02,2161.1941
2017-03-03,2174.6485
2017-03-06,2174.8878
2017-03-07,2178.0394
2017-03-08,2205.6785
2017-03-09,2193.7273
2017-03-10,2206.0397
2017-03-13,2202.408
2017-03-14,2198.4518
2017-03-15,2222.54
2017-03-16,2241.0065
2017-03-17,2259.3679
2017-03-20,2288.6478
2017-03-21,2289.8287
2017-03-22,2305.6718
2017-03-23,2299.4622
2017-03-24,2307.4019
2017-03-27,2305.2139
2017-03-28,2308.1003
2017-03-29,2322.1292
2017-03-30,2304.4484
2017-03-31,2351.8798
2017-04-03,2329.6938
2017-04-04,2303.0189
2017-04-05,2329.5766
2017-04-06,2348.1707
2017-04-07,2363.1019
2017-04-10,2378.2248
2017-04-11,2378.6858
2017-04-12,2358.7533
2017-04-13,2361.2226
2017-04-14,2346.4708
2017-04-17,2369.37
2017-04-18,2366.7349
2017-04-19,2348.5478
2017-04-20,2341.9697
2017-04-21,2352.07
2017-04-24,2339.9602
