date,price
2016-01-04,131.5
2016-01-05,132.2911
2016-01-06,132.4718
2016-01-07,132.0649
2016-01-08,132.0577
2016-01-11,132.0741
2016-01-12,132.3081
2016-01-13,131.6603
2016-01-14,131.9508
2016-01-15,130.6649
2016-01-18,130.3742
2016-01-19,130.1511
2016-01-20,130.4576
2016-01-21,130.4759
2016-01-22,129.8188
2016-01-25,129.3628
2016-01-26,129.4636
2016-01-27,129.4341
2016-01-28,129.1699
2016-01-29,128.9523
2016-02-01,129.2853
2016-02-02,129.0503
2016-02-03,129.0166
2016-02-04,130.039
2016-02-05,129.3755
2016-02-08,128.5146
2016-02-09,128.8872
2016-02-10,128.5777
2016-02-11,128.4369
2016-02-12,128.0807
2016-02-15,127.9676
2016-02-16,128.7166
2016-02-17,129.0985
2016-02-18,129.5095
2016-02-19,128.8522
2016-02-22,128.3221
2016-02-23,127.009
2016-02-24,126.6438
2016-02-25,127.0904
2016-02-26,127.336
2016-02-29,127.2412
2016-03-01,127.2384
2016-03-02,126.9281
2016-03-03,127.0297
2016-03-04,127.3899
2016-03-07,126.6511
2016-03-08,126.7961
2016-03-09,127.2321
2016-03-10,127.0481
2016-03-11,127.3783
2016-03-14,128.6854
2016-03-15,128.6443
2016-03-16,128.8352
2016-03-17,128.4981
2016-03-18,128.59
2016-03-21,128.8121
2016-03-22,128.9106
2016-03-23,128.4417
2016-03-24,128.5453
2016-03-25,129.2342
2016-03-28,129.4519
2016-03-29,129.9109
2016-03-30,129.8069
2016-03-31,130.1674
2016-04-01,130.3068
2016-04-04,129.8653
2016-04-05,130.0228
2016-04-06,129.563
2016-04-07,129.2734
2016-04-08,129.3697
2016-04-11,129.5166
2016-04-12,128.9659
2016-04-13,129.4662
2016-04-14,129.7422
2016-04-15,129.4184
2016-04-18,128.7046
2016-04-19,128.6446
2016-04-20,128.4441
2016-04-21,128.5043
2016-04-22,128.3427
2016-04-25,127.4163
2016-04-26,127.2444
2016-04-27,127.1109
2016-04-28,127.4103
2016-04-29,127.0953
2016-05-02,127.8761
2016-05-03,126.9975
2016-05-04,127.6085
2016-05-05,127.5122
2016-05-06,127.917
2016-05-09,127.9615
2016-05-10,128.4976
2016-05-11,128.3247
2016-05-12,127.8212
2016-05-13,128.4869
2016-05-16,128.4416
2016-05-17,128.5522
2016-05-18,129.1352
2016-05-19,128.6597
2016-05-20,128.9449
2016-05-23,128.6768
2016-05-24,128.6226
2016-05-25,128.6639
2016-05-26,127.9717
2016-05-27,127.6179
2016-05-30,128.2504
2016-05-31,128.6699
2016-06-01,128.6482
2016-06-02,128.7692
2016-06-03,128.6394
2016-06-06,129.2795
2016-06-07,129.1932
2016-06-08,129.3093
2016-06-09,129.8541
2016-06-10,129.4958
2016-06-13,130.2351
2016-06-14,129.5202
2016-06-15,130.2929
2016-06-16,130.1245
2016-06-17,130.0177
2016-06-20,129.1345
2016-06-21,128.9292
2016-06-22,128.4508
2016-06-23,128.1753
2016-06-24,128.1191
2016-06-27,128.5714
2016-06-28,128.6757
2016-06-29,128.8267
2016-06-30,128.3227
2016-07-01,127.9205
2016-07-04,128.7621
2016-07-05,128.4265
2016-07-06,129.205
2016-07-07,129.0988
2016-07-08,129.1074
2016-07-11,129.6159
2016-07-12,130.2211
2016-07-13,130.1764
2016-07-14,130.0009
2016-07-15,129.9821
2016-07-18,130.149
2016-07-19,130.5771
