size,nut_class,standard,proof_load_N
M4,5,ISO,4566
M4,8,ISO,7728
M4,10,ISO,9658
M4,12,ISO,11766
M4,5,DIN,4109
M4,8,DIN,6955
M4,10,DIN,8692
M4,12,DIN,10589
M5,5,ISO,7374
M5,8,ISO,12478
M5,10,ISO,15598
M5,12,ISO,19001
M5,5,DIN,6637
M5,8,DIN,11230
M5,10,DIN,14038
M5,12,DIN,17101
M6,5,ISO,10462
M6,8,ISO,17706
M6,10,ISO,22132
M6,12,ISO,26961
M6,5,DIN,9416
M6,8,DIN,15935
M6,10,DIN,19919
M6,12,DIN,24265
M8,5,ISO,19037
M8,8,ISO,32217
M8,10,ISO,40271
M8,12,ISO,49053
M8,5,DIN,17133
M8,8,DIN,28995
M8,10,DIN,36244
M8,12,DIN,44148
M10,5,ISO,30160
M10,8,ISO,51040
M10,10,ISO,63800
M10,12,ISO,77720
M10,5,DIN,27144
M10,8,DIN,45936
M10,10,DIN,57420
M10,12,DIN,69948
M12,5,ISO,43820
M12,8,ISO,74200
M12,10,ISO,92697
M12,12,ISO,112922
M12,5,DIN,39438
M12,8,DIN,67000
M12,10,DIN,83427
M12,12,DIN,101630
M14,5,ISO,60029
M14,8,ISO,101587
M14,10,ISO,126984
M14,12,ISO,154690
M14,5,DIN,54026
M14,8,DIN,91428
M14,10,DIN,114286
M14,12,DIN,139221
M16,5,ISO,81468
M16,8,ISO,137870
M16,10,ISO,172337
M16,12,ISO,209939
M16,5,DIN,73321
M16,8,DIN,124083
M16,10,DIN,155103
M16,12,DIN,188945
M20,5,ISO,127291
M20,8,ISO,215416
M20,10,ISO,269269
M20,12,ISO,328020
M20,5,DIN,114562
M20,8,DIN,193874
M20,10,DIN,242342
M20,12,DIN,295218
M24,5,ISO,183300
M24,8,ISO,310200
M24,10,ISO,387750
M24,12,ISO,472350
M24,5,DIN,164970
M24,8,DIN,279180
M24,10,DIN,348975
M24,12,DIN,425115
M27,5,ISO,238893
M27,8,ISO,404283
M27,10,ISO,505351
M27,12,ISO,615610
M27,5,DIN,215004
M27,8,DIN,363855
M27,10,DIN,454816
M27,12,DIN,554049
M30,5,ISO,291507
M30,8,ISO,493319
M30,10,ISO,616649
M30,12,ISO,751191
M30,5,DIN,262356
M30,8,DIN,443987
M30,10,DIN,554984
M30,12,DIN,676072
