pixel_id,band,lat,lon,date,f_iso_raw,f_vol_raw,f_geo_raw,quality
P001,vis,40.0,-105.0,2020-06-15,350,200,50,0
P001,nir,40.0,-105.0,2020-06-15,480,150,30,0
P001,shortwave,40.0,-105.0,2020-06-15,280,180,45,0
P002,vis,35.0,-90.0,2020-06-15,120,60,15,0
P002,nir,35.0,-90.0,2020-06-15,250,80,20,1
P002,shortwave,35.0,-90.0,2020-06-15,160,70,25,0
P003,vis,50.0,-120.0,2020-06-15,32767,32767,32767,255
P003,nir,50.0,-120.0,2020-06-15,500,100,25,0
P003,shortwave,50.0,-120.0,2020-06-15,400,120,35,0
P004,vis,25.0,-80.0,2020-06-15,200,90,40,2
P004,nir,25.0,-80.0,2020-06-15,320,110,45,0
P004,shortwave,25.0,-80.0,2020-06-15,250,100,38,3
P005,vis,45.0,-100.0,2020-12-15,150,80,20,0
P005,nir,45.0,-100.0,2020-12-15,380,130,35,0
P005,shortwave,45.0,-100.0,2020-12-15,220,110,28,0
P006,vis,60.0,-150.0,2020-06-15,100,50,10,0
P006,nir,60.0,-150.0,2020-06-15,450,160,40,0
P006,shortwave,60.0,-150.0,2020-06-15,320,140,32,1
P007,vis,10.0,-60.0,2020-06-15,80,40,8,0
P007,nir,10.0,-60.0,2020-06-15,550,90,15,0
P007,shortwave,10.0,-60.0,2020-06-15,270,65,18,0
P008,vis,55.0,-110.0,2020-06-15,180,95,25,0
P008,nir,55.0,-110.0,2020-06-15,410,140,38,0
P008,shortwave,55.0,-110.0,2020-06-15,290,115,30,0
