# C0_mg_L=100, bed_height_cm=4.5, flow_rate_mL_min=1, pH=5.5, T_C=30
time_min,C_over_C0
0.0000,0.0003
20.0000,0.0005
40.0000,0.0009
60.0000,0.0017
80.0000,0.0029
100.0000,0.0053
120.0000,0.0093
140.0000,0.0166
160.0000,0.0292
177.3717,0.0474
182.3717,0.0544
187.3717,0.0624
192.3717,0.0714
197.3717,0.0817
202.3717,0.0932
207.3717,0.1062
212.3717,0.1208
217.3717,0.1371
222.3717,0.1551
227.3717,0.1751
232.3717,0.1970
237.3717,0.2210
242.3717,0.2469
247.3717,0.2749
252.3717,0.3047
257.3717,0.3363
262.3717,0.3694
267.3717,0.4037
272.3717,0.4391
277.3717,0.4750
282.3717,0.5112
287.3717,0.5474
292.3717,0.5830
297.3717,0.6177
302.3717,0.6514
307.3717,0.6835
312.3717,0.7140
317.3717,0.7427
322.3717,0.7694
327.3717,0.7941
332.3717,0.8168
337.3717,0.8375
342.3717,0.8563
347.3717,0.8732
352.3717,0.8884
357.3717,0.9020
362.3717,0.9141
367.3717,0.9248
372.3717,0.9343
377.3717,0.9427
382.3717,0.9500
384.2683,0.9526
404.2683,0.9729
424.2683,0.9846
444.2683,0.9913
464.2683,0.9951
484.2683,0.9973
504.2683,0.9985
524.2683,0.9991
544.2683,0.9995
564.2683,0.9997
584.2683,0.9998
604.2683,0.9999
624.2683,1.0000
