# C0_mg_L=70, bed_height_cm=4.5, flow_rate_mL_min=1, pH=5.5, T_C=30
time_min,C_over_C0
0.0000,0.0003
20.0000,0.0005
40.0000,0.0008
60.0000,0.0011
80.0000,0.0017
100.0000,0.0027
120.0000,0.0040
140.0000,0.0061
160.0000,0.0093
180.0000,0.0141
200.0000,0.0212
220.0000,0.0320
239.5229,0.0474
244.5229,0.0524
249.5229,0.0579
254.5229,0.0639
259.5229,0.0704
264.5229,0.0776
269.5229,0.0855
274.5229,0.0941
279.5229,0.1034
284.5229,0.1135
289.5229,0.1246
294.5229,0.1365
299.5229,0.1493
304.5229,0.1631
309.5229,0.1780
314.5229,0.1939
319.5229,0.2108
324.5229,0.2288
329.5229,0.2479
334.5229,0.2680
339.5229,0.2891
344.5229,0.3111
349.5229,0.3340
354.5229,0.3578
359.5229,0.3823
364.5229,0.4073
369.5229,0.4329
374.5229,0.4588
379.5229,0.4850
384.5229,0.5112
389.5229,0.5374
394.5229,0.5634
399.5229,0.5890
404.5229,0.6142
409.5229,0.6388
414.5229,0.6626
419.5229,0.6857
424.5229,0.7079
429.5229,0.7291
434.5229,0.7493
439.5229,0.7685
444.5229,0.7867
449.5229,0.8038
454.5229,0.8198
459.5229,0.8348
464.5229,0.8488
469.5229,0.8618
474.5229,0.8738
479.5229,0.8849
484.5229,0.8952
489.5229,0.9047
494.5229,0.9133
499.5229,0.9213
504.5229,0.9286
509.5229,0.9352
514.5229,0.9413
519.5229,0.9468
524.5229,0.9519
525.2371,0.9526
545.2371,0.9683
565.2371,0.9790
585.2371,0.9861
605.2371,0.9908
625.2371,0.9939
645.2371,0.9960
665.2371,0.9974
685.2371,0.9983
705.2371,0.9989
725.2371,0.9993
745.2371,0.9995
765.2371,0.9997
785.2371,0.9998
805.2371,0.9999
825.2371,0.9999
845.2371,0.9999
