# C0_mg_L=50, bed_height_cm=4.5, flow_rate_mL_min=1, pH=5.5, T_C=30
time_min,C_over_C0
0.0000,0.0000
20.0000,0.0000
40.0000,0.0000
60.0000,0.0001
80.0000,0.0001
100.0000,0.0002
120.0000,0.0002
140.0000,0.0004
160.0000,0.0005
180.0000,0.0008
200.0000,0.0012
220.0000,0.0018
240.0000,0.0026
260.0000,0.0039
280.0000,0.0058
300.0000,0.0087
320.0000,0.0129
340.0000,0.0191
360.0000,0.0283
380.0000,0.0416
386.8400,0.0474
391.8400,0.0522
396.8400,0.0573
401.8400,0.0630
406.8400,0.0691
411.8400,0.0759
416.8400,0.0832
421.8400,0.0911
426.8400,0.0998
431.8400,0.1091
436.8400,0.1192
441.8400,0.1301
446.8400,0.1419
451.8400,0.1545
456.8400,0.1680
461.8400,0.1824
466.8400,0.1978
471.8400,0.2142
476.8400,0.2315
481.8400,0.2497
486.8400,0.2689
491.8400,0.2891
496.8400,0.3100
501.8400,0.3318
506.8400,0.3543
511.8400,0.3775
516.8400,0.4013
521.8400,0.4256
526.8400,0.4502
531.8400,0.4750
536.8400,0.5000
541.8400,0.5250
546.8400,0.5498
551.8400,0.5744
556.8400,0.5987
561.8400,0.6225
566.8400,0.6457
571.8400,0.6682
576.8400,0.6900
581.8400,0.7109
586.8400,0.7311
591.8400,0.7503
596.8400,0.7685
601.8400,0.7858
606.8400,0.8022
611.8400,0.8176
616.8400,0.8320
621.8400,0.8455
626.8400,0.8581
631.8400,0.8699
636.8400,0.8808
641.8400,0.8909
646.8400,0.9002
651.8400,0.9089
656.8400,0.9168
661.8400,0.9241
666.8400,0.9309
671.8400,0.9370
676.8400,0.9427
681.8400,0.9478
686.8400,0.9526
706.8400,0.9677
726.8400,0.9781
746.8400,0.9852
766.8400,0.9900
786.8400,0.9933
806.8400,0.9955
826.8400,0.9970
846.8400,0.9980
866.8400,0.9986
886.8400,0.9991
906.8400,0.9994
926.8400,0.9996
946.8400,0.9997
966.8400,0.9998
986.8400,0.9999
1006.8400,0.9999
1026.8400,0.9999
