# C0_mg_L=100, bed_height_cm=3.0, flow_rate_mL_min=1, pH=5.5, T_C=30
time_min,C_over_C0
0.0000,0.0054
20.0000,0.0100
40.0000,0.0185
60.0000,0.0339
71.3158,0.0474
76.3158,0.0549
81.3158,0.0636
86.3158,0.0734
91.3158,0.0847
96.3158,0.0975
101.3158,0.1120
106.3158,0.1284
111.3158,0.1468
116.3158,0.1673
121.3158,0.1900
126.3158,0.2150
131.3158,0.2423
136.3158,0.2719
141.3158,0.3036
146.3158,0.3374
151.3158,0.3729
156.3158,0.4097
161.3158,0.4477
166.3158,0.4863
171.3158,0.5250
176.3158,0.5634
181.3158,0.6011
186.3158,0.6376
191.3158,0.6726
196.3158,0.7058
201.3158,0.7369
206.3158,0.7658
211.3158,0.7925
216.3158,0.8168
221.3158,0.8389
226.3158,0.8588
231.3158,0.8765
236.3158,0.8924
241.3158,0.9064
246.3158,0.9187
251.3158,0.9296
256.3158,0.9391
261.3158,0.9473
264.8642,0.9526
284.8642,0.9739
304.8642,0.9858
324.8642,0.9923
344.8642,0.9958
364.8642,0.9978
384.8642,0.9988
404.8642,0.9994
424.8642,0.9997
444.8642,0.9998
464.8642,0.9999
484.8642,0.9999
504.8642,1.0000
