# C0_mg_L=100, bed_height_cm=4.5, flow_rate_mL_min=3, pH=5.5, T_C=30
time_min,C_over_C0
0.0000,0.0636
5.0000,0.0718
10.0000,0.0810
15.0000,0.0912
20.0000,0.1025
25.0000,0.1151
30.0000,0.1290
35.0000,0.1444
40.0000,0.1612
45.0000,0.1795
50.0000,0.1995
55.0000,0.2211
60.0000,0.2443
65.0000,0.2691
70.0000,0.2954
75.0000,0.3231
80.0000,0.3522
85.0000,0.3824
90.0000,0.4135
95.0000,0.4454
100.0000,0.4777
105.0000,0.5101
110.0000,0.5425
115.0000,0.5746
120.0000,0.6060
125.0000,0.6366
130.0000,0.6661
135.0000,0.6944
140.0000,0.7212
145.0000,0.7466
150.0000,0.7704
155.0000,0.7926
160.0000,0.8131
165.0000,0.8321
170.0000,0.8495
175.0000,0.8654
180.0000,0.8798
185.0000,0.8929
190.0000,0.9047
195.0000,0.9153
200.0000,0.9249
205.0000,0.9334
210.0000,0.9411
215.0000,0.9479
218.8246,0.9526
238.8246,0.9713
258.8246,0.9827
278.8246,0.9896
298.8246,0.9938
318.8246,0.9963
338.8246,0.9978
358.8246,0.9987
378.8246,0.9992
398.8246,0.9995
418.8246,0.9997
438.8246,0.9998
458.8246,0.9999
478.8246,0.9999
498.8246,1.0000
