solver,grid_level,n_cells,alpha,CL,CD,CM
FUN3D,1,8192,2.50,1.000000,0.046856,-0.026600
FUN3D,2,32768,2.50,0.940000,0.043106,-0.024350
FUN3D,3,131072,2.50,0.925000,0.042169,-0.023787
FUN3D,4,524288,2.50,0.921250,0.041934,-0.023647
FUN3D,1,8192,3.00,1.082000,0.053160,-0.033160
FUN3D,2,32768,3.00,1.022000,0.049410,-0.030910
FUN3D,3,131072,3.00,1.007000,0.048473,-0.030347
FUN3D,4,524288,3.00,1.003250,0.048238,-0.030207
FUN3D,1,8192,3.10,1.110000,0.055436,-0.035400
FUN3D,2,32768,3.10,1.050000,0.051686,-0.033150
FUN3D,3,131072,3.10,1.035000,0.050749,-0.032587
FUN3D,4,524288,3.10,1.031250,0.050514,-0.032447
FUN3D,1,8192,3.25,1.150000,0.058796,-0.038600
FUN3D,2,32768,3.25,1.090000,0.055046,-0.036350
FUN3D,3,131072,3.25,1.075000,0.054109,-0.035788
FUN3D,4,524288,3.25,1.071250,0.053874,-0.035647
FUN3D,1,8192,3.50,1.200000,0.063176,-0.042600
FUN3D,2,32768,3.50,1.140000,0.059426,-0.040350
FUN3D,3,131072,3.50,1.125000,0.058489,-0.039788
FUN3D,4,524288,3.50,1.121250,0.058254,-0.039647
FUN3D,1,8192,3.90,1.230000,0.065900,-0.045000
FUN3D,2,32768,3.90,1.170000,0.062150,-0.042750
FUN3D,3,131072,3.90,1.155000,0.061212,-0.042187
FUN3D,4,524288,3.90,1.151250,0.060978,-0.042047
CFL3D,1,8192,2.50,1.019000,0.047969,-0.027800
CFL3D,2,32768,2.50,0.956000,0.044219,-0.025550
CFL3D,3,131072,2.50,0.940250,0.043282,-0.024988
CFL3D,4,524288,2.50,0.936313,0.043047,-0.024847
CFL3D,1,8192,3.00,1.101000,0.054372,-0.034360
CFL3D,2,32768,3.00,1.038000,0.050622,-0.032110
CFL3D,3,131072,3.00,1.022250,0.049684,-0.031547
CFL3D,4,524288,3.00,1.018312,0.049450,-0.031407
CFL3D,1,8192,3.10,1.129000,0.056681,-0.036600
CFL3D,2,32768,3.10,1.066000,0.052931,-0.034350
CFL3D,3,131072,3.10,1.050250,0.051993,-0.033787
CFL3D,4,524288,3.10,1.046312,0.051759,-0.033647
CFL3D,1,8192,3.25,1.169000,0.060089,-0.039800
CFL3D,2,32768,3.25,1.106000,0.056339,-0.037550
CFL3D,3,131072,3.25,1.090250,0.055401,-0.036987
CFL3D,4,524288,3.25,1.086313,0.055167,-0.036847
CFL3D,1,8192,3.50,1.219000,0.064529,-0.043800
CFL3D,2,32768,3.50,1.156000,0.060779,-0.041550
CFL3D,3,131072,3.50,1.140250,0.059841,-0.040988
CFL3D,4,524288,3.50,1.136313,0.059607,-0.040847
CFL3D,1,8192,3.90,1.249000,0.067289,-0.046200
CFL3D,2,32768,3.90,1.186000,0.063539,-0.043950
CFL3D,3,131072,3.90,1.170250,0.062601,-0.043387
CFL3D,4,524288,3.90,1.166312,0.062367,-0.043247
OVERFLOW,1,8192,2.50,0.984000,0.045979,-0.025640
OVERFLOW,2,32768,2.50,0.927000,0.042229,-0.023390
OVERFLOW,3,131072,2.50,0.912750,0.041291,-0.022828
OVERFLOW,4,524288,2.50,0.909188,0.041057,-0.022687
OVERFLOW,1,8192,3.00,1.066000,0.052204,-0.032200
OVERFLOW,2,32768,3.00,1.009000,0.048454,-0.029950
OVERFLOW,3,131072,3.00,0.994750,0.047517,-0.029388
OVERFLOW,4,524288,3.00,0.991187,0.047282,-0.029247
OVERFLOW,1,8192,3.10,1.094000,0.054453,-0.034440
OVERFLOW,2,32768,3.10,1.037000,0.050703,-0.032190
OVERFLOW,3,131072,3.10,1.022750,0.049765,-0.031627
OVERFLOW,4,524288,3.10,1.019187,0.049531,-0.031487
OVERFLOW,1,8192,3.25,1.134000,0.057775,-0.037640
OVERFLOW,2,32768,3.25,1.077000,0.054025,-0.035390
OVERFLOW,3,131072,3.25,1.062750,0.053087,-0.034828
OVERFLOW,4,524288,3.25,1.059187,0.052853,-0.034687
OVERFLOW,1,8192,3.50,1.184000,0.062107,-0.041640
OVERFLOW,2,32768,3.50,1.127000,0.058357,-0.039390
OVERFLOW,3,131072,3.50,1.112750,0.057419,-0.038828
OVERFLOW,4,524288,3.50,1.109187,0.057185,-0.038687
OVERFLOW,1,8192,3.90,1.214000,0.064802,-0.044040
OVERFLOW,2,32768,3.90,1.157000,0.061052,-0.041790
OVERFLOW,3,131072,3.90,1.142750,0.060114,-0.041227
OVERFLOW,4,524288,3.90,1.139187,0.059880,-0.041087
SU2,1,8192,2.50,1.033000,0.048570,-0.028440
SU2,2,32768,2.50,0.965500,0.044820,-0.026190
SU2,3,131072,2.50,0.948625,0.043882,-0.025628
SU2,4,524288,2.50,0.944406,0.043648,-0.025487
SU2,1,8192,3.00,1.115000,0.055025,-0.035000
SU2,2,32768,3.00,1.047500,0.051275,-0.032750
SU2,3,131072,3.00,1.030625,0.050338,-0.032187
SU2,4,524288,3.00,1.026406,0.050103,-0.032047
SU2,1,8192,3.10,1.143000,0.057352,-0.037240
SU2,2,32768,3.10,1.075500,0.053602,-0.034990
SU2,3,131072,3.10,1.058625,0.052665,-0.034427
SU2,4,524288,3.10,1.054406,0.052430,-0.034287
SU2,1,8192,3.25,1.183000,0.060786,-0.040440
SU2,2,32768,3.25,1.115500,0.057036,-0.038190
SU2,3,131072,3.25,1.098625,0.056098,-0.037628
SU2,4,524288,3.25,1.094406,0.055864,-0.037487
SU2,1,8192,3.50,1.233000,0.065258,-0.044440
SU2,2,32768,3.50,1.165500,0.061508,-0.042190
SU2,3,131072,3.50,1.148625,0.060570,-0.041628
SU2,4,524288,3.50,1.144406,0.060336,-0.041487
SU2,1,8192,3.90,1.263000,0.068037,-0.046840
SU2,2,32768,3.90,1.195500,0.064287,-0.044590
SU2,3,131072,3.90,1.178625,0.063350,-0.044027
SU2,4,524288,3.90,1.174406,0.063115,-0.043887
TAU,1,8192,2.50,0.993000,0.046489,-0.026200
TAU,2,32768,2.50,0.934500,0.042739,-0.023950
TAU,3,131072,2.50,0.919875,0.041802,-0.023387
TAU,4,524288,2.50,0.916219,0.041567,-0.023247
TAU,1,8192,3.00,1.075000,0.052760,-0.032760
TAU,2,32768,3.00,1.016500,0.049010,-0.030510
TAU,3,131072,3.00,1.001875,0.048073,-0.029947
