# CRUISE: cruise_001
# SHIP: R/V Australis
# DATE: 2019-03-15
# CHIEF_SCIENTIST: A. Karlsson
# REGION: Southern Ocean
# EXPOCODE: 33AT20190315
STATION	LATITUDE	LONGITUDE	DEPTH_M	PRESSURE_DBAR	TEMPERATURE_C	SALINITY_PSU	TA_UMOLKG	DIC_UMOLKG	SILICATE_UMOLKG	PHOSPHATE_UMOLKG	TA_FLAG	DIC_FLAG
A1	-55.20	-28.50	10	10.1	5.20	33.80	2290	2100	5.0	0.80	2	2
A1	-55.20	-28.50	100	100.5	3.80	34.00	2310	2140	20.0	1.20	2	2
A1	-55.20	-28.50	500	501.0	1.80	34.40	2340	2200	55.0	1.80	2	2
A1	-55.20	-28.50	2000	2007.5	0.60	34.68	2362	2238	98.0	2.12	2	2
A3	-60.00	-30.00	10	10.1	2.50	33.85	2310	2150	15.0	1.20	2	2
A3	-60.00	-30.00	100	100.5	1.80	34.10	2330	2190	30.0	1.60	2	2
A3	-60.00	-30.00	500	501.2	1.20	34.50	2350	2215	65.0	1.95	2	2
A3	-60.00	-30.00	1500	1504.0	0.80	34.68	2360	2235	95.0	2.10	2	2
A3	-60.00	-30.00	2000	2008.0	0.50	34.69	2365	2240	100.0	2.15	2	2
A3	-60.00	-30.00	3000	3018.0	0.20	34.70	2370	2245	108.0	2.22	2	2
