# CRUISE: cruise_002
# SHIP: R/V Atlantique
# DATE: 2020-06-22
# CHIEF_SCIENTIST: M. Berger
# REGION: North Atlantic
# EXPOCODE: 35MF20200622
STATION	LATITUDE	LONGITUDE	DEPTH_M	PRESSURE_DBAR	TEMPERATURE_C	SALINITY_PSU	TA_UMOLKG	DIC_UMOLKG	SILICATE_UMOLKG	PHOSPHATE_UMOLKG	TA_FLAG	DIC_FLAG
B1	40.00	-25.00	10	10.1	18.00	36.00	2370	2020	2.0	0.15	2	2
B1	40.00	-25.00	100	100.5	14.50	35.60	2355	2060	5.0	0.35	2	2
B1	40.00	-25.00	500	501.2	8.50	35.20	2330	2110	15.0	0.80	2	2
B1	40.00	-25.00	2000	2008.5	3.60	34.93	2326	2155	30.0	1.18	2	2
B4	45.00	-20.00	10	10.1	15.50	35.50	2350	2050	3.0	0.30	2	2
B4	45.00	-20.00	50	50.3	14.00	35.45	2345	2060	5.0	0.40	4	2
B4	45.00	-20.00	100	100.5	12.00	35.30	2338	2080	8.0	0.55	2	2
B4	45.00	-20.00	500	501.5	7.50	35.10	2325	2120	18.0	0.90	2	2
B4	45.00	-20.00	1500	1505.0	3.80	34.92	2322	2152	28.0	1.15	2	2
B4	45.00	-20.00	2000	2009.0	3.50	34.93	2325	2158	32.0	1.20	2	2
B4	45.00	-20.00	3000	3020.0	3.00	34.94	2330	2165	38.0	1.28	2	2
