# CRUISE: cruise_003
# SHIP: R/V Pacific Explorer
# DATE: 2021-01-10
# CHIEF_SCIENTIST: T. Nakamura
# REGION: Central Pacific
# EXPOCODE: 49NZ20210110
STATION	LATITUDE	LONGITUDE	DEPTH_M	PRESSURE_DBAR	TEMPERATURE_C	SALINITY_PSU	TA_UMOLKG	DIC_UMOLKG	SILICATE_UMOLKG	PHOSPHATE_UMOLKG	TA_FLAG	DIC_FLAG
C1	20.00	-150.00	10	10.1	25.00	34.50	2300	1980	2.0	0.10	2	2
C1	20.00	-150.00	100	100.5	20.00	34.80	2310	2020	5.0	0.30	2	2
C1	20.00	-150.00	500	501.0	8.00	34.30	2340	2180	40.0	1.50	2	2
C1	20.00	-150.00	1000	1002.5	4.50	34.50	2350	2220	70.0	2.00	2	2
C1	20.00	-150.00	2000	2008.0	2.00	34.65	2360	2250	110.0	2.30	2	2
C2	15.00	-155.00	10	10.1	27.00	34.20	2280	1960	1.0	0.08	2	2
C2	15.00	-155.00	100	100.5	22.00	34.60	2295	2010	4.0	0.25	2	2
C2	15.00	-155.00	500	501.2	7.50	34.25	2335	2175	38.0	1.45	2	2
C2	15.00	-155.00	1000	1002.0	4.00	34.48	2348	2215	68.0	1.95	2	2
C2	15.00	-155.00	2000	2007.5	1.80	34.64	2358	2248	108.0	2.28	2	2
