# CRUISE: cruise_004
# SHIP: R/V Southern Cross
# DATE: 2020-02-08
# CHIEF_SCIENTIST: P. Gonzalez
# REGION: Southern Ocean
# EXPOCODE: 33SC20200208
STATION	LATITUDE	LONGITUDE	DEPTH_M	PRESSURE_DBAR	TEMPERATURE_C	SALINITY_PSU	TA_UMOLKG	DIC_UMOLKG	SILICATE_UMOLKG	PHOSPHATE_UMOLKG	TA_FLAG	DIC_FLAG
D1	-58.50	-32.00	10	10.1	4.80	33.82	2295	2110	6.0	0.85	2	2
D1	-58.50	-32.00	100	100.5	3.50	34.05	2315	2150	22.0	1.25	2	2
D1	-58.50	-32.00	500	501.5	1.60	34.42	2342	2208	58.0	1.82	2	2
D1	-58.50	-32.00	2000	2008.0	0.58	34.68	2363	2243	99.0	2.13	2	2
D2	-60.20	-30.30	10	10.1	2.60	33.86	2312	2157	16.0	1.22	2	2
D2	-60.20	-30.30	100	100.6	1.90	34.11	2331	2196	31.0	1.62	2	4
D2	-60.20	-30.30	500	502.0	1.25	34.51	2351	2221	66.0	1.96	2	2
D2	-60.20	-30.30	1500	1505.0	0.85	34.68	2361	2240	96.0	2.10	2	2
D2	-60.20	-30.30	2000	2009.0	0.55	34.69	2364	2245	101.0	2.16	2	2
D2	-60.20	-30.30	3000	3019.0	0.25	34.70	2369	2250	107.0	2.21	2	2
