# CRUISE: cruise_005
# SHIP: R/V Nordic Star
# DATE: 2021-07-14
# CHIEF_SCIENTIST: L. Johansson
# REGION: North Atlantic
# EXPOCODE: 58NS20210714
STATION	LATITUDE	LONGITUDE	DEPTH_M	PRESSURE_DBAR	TEMPERATURE_C	SALINITY_PSU	TA_UMOLKG	DIC_UMOLKG	SILICATE_UMOLKG	PHOSPHATE_UMOLKG	TA_FLAG	DIC_FLAG
E1	44.80	-20.20	10	10.1	15.30	35.49	2347	2051	4.0	0.31	2	2
E1	44.80	-20.20	100	100.4	11.80	35.29	2335	2082	9.0	0.56	2	4
E1	44.80	-20.20	500	501.2	7.30	35.09	2322	2122	19.0	0.92	2	2
E1	44.80	-20.20	1500	1504.5	3.75	34.92	2319	2153	29.0	1.16	2	2
E1	44.80	-20.20	2000	2008.5	3.45	34.93	2322	2157	31.0	1.19	2	2
E1	44.80	-20.20	3000	3019.5	3.05	34.94	2327	2164	37.0	1.27	2	2
E3	48.00	-16.50	10	10.1	13.50	35.30	2340	2040	3.0	0.25	2	2
E3	48.00	-16.50	100	100.5	11.00	35.15	2330	2075	7.0	0.50	2	2
E3	48.00	-16.50	500	501.0	6.50	35.00	2318	2115	16.0	0.85	2	2
E3	48.00	-16.50	2000	2008.0	3.40	34.92	2324	2156	31.0	1.18	2	2
