event_id,item_id,sidx,loss
1,1,1,250000
1,2,1,180000
1,3,1,350000
1,4,1,120000
1,5,1,200000
1,6,1,80000
1,7,1,300000
1,8,1,150000
1,9,1,400000
1,10,1,175000
1,11,1,90000
1,12,1,135000
1,1,2,400000
1,2,2,300000
1,3,2,500000
1,4,2,250000
1,5,2,350000
1,6,2,150000
1,7,2,600000
1,8,2,200000
1,9,2,700000
1,10,2,280000
1,11,2,150000
1,12,2,220000
1,1,3,100000
1,2,3,80000
1,3,3,150000
1,4,3,60000
1,5,3,120000
1,6,3,40000
1,7,3,200000
1,8,3,100000
1,9,3,250000
1,10,3,90000
1,11,3,50000
1,12,3,75000
2,1,1,80000
2,2,1,60000
2,3,1,110000
2,4,1,40000
2,5,1,90000
2,6,1,30000
2,7,1,50000
2,8,1,30000
2,9,1,40000
2,10,1,55000
2,11,1,30000
2,12,1,45000
2,1,2,120000
2,2,2,90000
2,3,2,160000
2,4,2,75000
2,5,2,130000
2,6,2,50000
2,7,2,60000
2,8,2,25000
2,9,2,35000
2,10,2,85000
2,11,2,45000
2,12,2,70000
2,1,3,50000
2,2,3,35000
2,3,3,70000
2,4,3,25000
2,5,3,55000
2,6,3,18000
2,7,3,90000
2,8,3,45000
2,9,3,110000
2,10,3,35000
2,11,3,20000
2,12,3,28000
3,1,1,20000
3,2,1,15000
3,3,1,30000
3,4,1,10000
3,5,1,25000
3,6,1,8000
3,7,1,40000
3,8,1,20000
3,9,1,50000
3,10,1,18000
3,11,1,10000
3,12,1,14000
3,1,2,35000
3,2,2,25000
3,3,2,45000
3,4,2,18000
3,5,2,35000
3,6,2,12000
3,7,2,60000
3,8,2,30000
3,9,2,80000
3,10,2,25000
3,11,2,15000
3,12,2,20000
3,1,3,5000
3,2,3,3000
3,3,3,8000
3,4,3,2000
3,5,3,6000
3,6,3,1500
3,7,3,10000
3,8,3,5000
3,9,3,15000
3,10,3,4000
3,11,3,2000
3,12,3,3000
4,1,1,500000
4,2,1,0
4,3,1,800000
4,4,1,0
4,5,1,600000
4,6,1,0
4,7,1,900000
4,8,1,0
4,9,1,1200000
4,10,1,0
4,11,1,400000
4,12,1,0
4,1,2,0
4,2,2,350000
4,3,2,0
4,4,2,450000
4,5,2,0
4,6,2,250000
4,7,2,0
4,8,2,700000
4,9,2,0
4,10,2,300000
4,11,2,0
4,12,2,180000
4,1,3,300000
4,2,3,300000
4,3,3,300000
4,4,3,200000
4,5,3,200000
4,6,3,200000
4,7,3,400000
4,8,3,400000
4,9,3,400000
4,10,3,150000
4,11,3,150000
4,12,3,150000
5,1,1,800000
5,2,1,600000
5,3,1,1000000
5,4,1,500000
5,5,1,700000
5,6,1,400000
5,7,1,1500000
5,8,1,800000
5,9,1,2000000
5,10,1,600000
5,11,1,350000
5,12,1,500000
5,1,2,1200000
5,2,2,900000
5,3,2,1500000
5,4,2,800000
5,5,2,1100000
5,6,2,600000
5,7,2,2000000
5,8,2,1000000
5,9,2,2500000
5,10,2,900000
5,11,2,500000
5,12,2,750000
5,1,3,600000
5,2,3,450000
5,3,3,750000
5,4,3,350000
5,5,3,500000
5,6,3,280000
5,7,3,1000000
5,8,3,500000
5,9,3,1200000
5,10,3,400000
5,11,3,250000
5,12,3,350000
