id	pos	best	average	competition_id	round_type_id	event_id	person_name	person_id	format_id	regional_single_record	regional_average_record	person_country_id
14335	1	31	0	PolishOpen2007	c	333fm	Zbigniew Zborowski	2003ZBOR02	2	NULL	NULL	Poland
14336	2	33	0	PolishOpen2007	c	333fm	Arnaud van Galen	2006GALE01	2	NR	NULL	Netherlands
14337	3	36	0	PolishOpen2007	c	333fm	Jarosław Krzyżanowski	2007KRZY01	2	NULL	NULL	Poland
14338	4	37	0	PolishOpen2007	c	333fm	Piotr Kózka	2005KOZK01	2	NULL	NULL	Poland
14339	4	37	0	PolishOpen2007	c	333fm	Błażej Morgała	2006MORG01	2	NULL	NULL	Poland
14340	4	37	0	PolishOpen2007	c	333fm	Michał Robaczyk	2006ROBA01	2	NULL	NULL	Poland
14341	7	39	0	PolishOpen2007	c	333fm	Grzegorz Łuczyna	2005LUCZ01	2	NULL	NULL	Poland
14342	7	39	0	PolishOpen2007	c	333fm	Konrad Stawski	2007STAW01	2	NULL	NULL	Poland
14343	9	41	0	PolishOpen2007	c	333fm	Clément Gallet	2004GALL02	2	NULL	NULL	France
14344	9	41	0	PolishOpen2007	c	333fm	Łukasz Ciałoń	2005CIAL02	2	NULL	NULL	Poland
14345	11	42	0	PolishOpen2007	c	333fm	Gilles van den Peereboom	2005PEER01	2	NULL	NULL	Belgium
14346	11	42	0	PolishOpen2007	c	333fm	Karol Cudzich	2006CUDZ01	2	NULL	NULL	Poland
14347	13	43	0	PolishOpen2007	c	333fm	Adam Wojtyła	2006WOJT01	2	NULL	NULL	Poland
14348	14	46	0	PolishOpen2007	c	333fm	Tomasz Korzeniewski	2007KORZ01	2	NULL	NULL	Poland
14349	14	46	0	PolishOpen2007	c	333fm	Szczepan Łągiewka	2007LAGI01	2	NULL	NULL	Poland
14350	14	46	0	PolishOpen2007	c	333fm	Adrian Mróz	2007MROZ01	2	NULL	NULL	Poland
14351	17	50	0	PolishOpen2007	c	333fm	Konrad Przetacznik	2006PRZE01	2	NULL	NULL	Poland
14352	18	51	0	PolishOpen2007	c	333fm	Mateusz Burnicki	2006BURN01	2	NULL	NULL	Poland
14353	19	59	0	PolishOpen2007	c	333fm	Remigiusz Durka	2005DURK01	2	NULL	NULL	Poland
14354	19	59	0	PolishOpen2007	c	333fm	Magda Gancarz	2007GANC01	2	NULL	NULL	Poland
14355	21	76	0	PolishOpen2007	c	333fm	Piotr Frankowski	2006FRAN01	2	NULL	NULL	Poland
14356	22	-1	0	PolishOpen2007	c	333fm	Marek Kurcyus	2005KURC01	2	NULL	NULL	Poland
14357	22	-1	0	PolishOpen2007	c	333fm	Kamil Górski	2006GORS01	2	NULL	NULL	Poland
14358	22	-1	0	PolishOpen2007	c	333fm	Tomasz Seweryn	2006SEWE01	2	NULL	NULL	Poland
14359	22	-1	0	PolishOpen2007	c	333fm	Paweł Włoszek	2006WLOS01	2	NULL	NULL	Poland
14360	22	-1	0	PolishOpen2007	c	333fm	Jakub Potocki	2007POTO01	2	NULL	NULL	Poland
15971	1	35	0	WC2007	f	333fm	Zbigniew Zborowski	2003ZBOR02	1	NULL	NULL	Poland
15972	2	37	0	WC2007	f	333fm	Yumu Tabuchi (田渕雄夢)	2006TABU02	1	AsR	NULL	Japan
15973	2	37	0	WC2007	f	333fm	Piotr Kózka	2005KOZK01	1	NULL	NULL	Poland
15974	4	38	0	WC2007	f	333fm	Karol Cudzich	2006CUDZ01	1	NULL	NULL	Poland
15975	4	38	0	WC2007	f	333fm	Dan Dzoan	2006DZOA03	1	NULL	NULL	USA
15976	6	39	0	WC2007	f	333fm	Sébastien Felix	2004FELI01	1	NULL	NULL	France
15977	7	41	0	WC2007	f	333fm	Anssi Vanhala	2005VANH01	1	NULL	NULL	Finland
15978	7	41	0	WC2007	f	333fm	Milán Baticz	2005BATI01	1	NULL	NULL	Hungary
15979	9	42	0	WC2007	f	333fm	Stefan Pochmann	2003POCH01	1	NULL	NULL	Germany
15980	9	42	0	WC2007	f	333fm	Oliver Wolff	2004WOLF01	1	NULL	NULL	Germany
15981	9	42	0	WC2007	f	333fm	Dan Harris	2003HARR01	1	NULL	NULL	United Kingdom
15982	12	43	0	WC2007	f	333fm	Thibaut Jacquinot	2006JACQ01	1	NULL	NULL	France
15983	12	43	0	WC2007	f	333fm	Bob Burton	2003BURT01	1	NULL	NULL	USA
15984	14	45	0	WC2007	f	333fm	Kamil Górski	2006GORS01	1	NULL	NULL	Poland
15985	15	46	0	WC2007	f	333fm	Sinpei Araki (荒木慎平)	2006ARAK01	1	NULL	NULL	Japan
15986	16	51	0	WC2007	f	333fm	István Kocza	2005KOCZ01	1	NULL	NULL	Hungary
15987	17	-1	0	WC2007	f	333fm	Gilles Roux	2004ROUX01	1	NULL	NULL	France
15988	17	-1	0	WC2007	f	333fm	Benjamin Sintes	2007SINT01	1	NULL	NULL	France
15989	17	-1	0	WC2007	f	333fm	Máté Horváth	2007HORV01	1	NULL	NULL	Hungary
15990	17	-1	0	WC2007	f	333fm	Károly Farkas	2005FARK01	1	NULL	NULL	Hungary
15991	17	-1	0	WC2007	f	333fm	Tamás Frajna	2007FRAJ01	1	NULL	NULL	Hungary
15992	17	-1	0	WC2007	f	333fm	Mitsuki Gunji (郡司光貴)	2006GUNJ01	1	NULL	NULL	Japan
15993	17	-1	0	WC2007	f	333fm	Guus Razoux Schultz	1982RAZO01	1	NULL	NULL	Netherlands
15994	17	-1	0	WC2007	f	333fm	Alexander Ooms	2005OOMS01	1	NULL	NULL	Netherlands
15995	17	-1	0	WC2007	f	333fm	Arnaud van Galen	2006GALE01	1	NULL	NULL	Netherlands
15996	17	-1	0	WC2007	f	333fm	Tomasz Seweryn	2006SEWE01	1	NULL	NULL	Poland
