customer_id,frequency,recency,T,monetary_value
1,3,16.126398,72.393338,35.5942
2,3,39.344388,57.393754,16.1627
3,0,0.000000,36.894366,0.0000
4,4,26.239793,45.731683,32.3758
5,0,0.000000,67.188127,0.0000
6,0,0.000000,61.448939,0.0000
7,0,0.000000,71.544353,0.0000
8,2,50.365082,57.666451,155.1955
9,0,0.000000,39.782945,0.0000
10,1,27.202490,32.292218,19.4251
11,0,0.000000,37.140314,0.0000
12,3,6.586508,48.026088,27.0203
13,2,22.180297,69.473434,23.1305
14,0,0.000000,54.899953,0.0000
15,0,0.000000,28.972594,0.0000
16,2,21.558138,38.230603,24.8824
17,0,0.000000,29.772242,0.0000
18,0,0.000000,69.354738,0.0000
19,1,2.185172,32.983138,26.8971
20,0,0.000000,30.799520,0.0000
21,0,0.000000,26.502824,0.0000
22,1,59.720199,72.747037,22.9168
23,3,24.897997,74.402426,12.6926
24,0,0.000000,77.019784,0.0000
25,1,1.277595,63.884343,27.7590
26,1,5.794014,60.872682,15.6722
27,3,31.614287,32.618966,29.8876
28,11,54.624869,68.558020,31.4751
29,5,51.217632,54.087916,27.0281
30,1,42.516024,43.478736,31.4676
31,0,0.000000,28.614801,0.0000
32,0,0.000000,77.995207,0.0000
33,1,4.487389,55.326418,18.3776
34,0,0.000000,61.222059,0.0000
35,0,0.000000,66.169006,0.0000
36,0,0.000000,43.744021,0.0000
37,6,35.200960,48.645332,20.0422
38,1,37.914543,56.240890,21.7851
39,0,0.000000,35.627792,0.0000
40,1,15.841510,36.094114,102.5901
41,2,29.674974,55.851339,27.4857
42,0,0.000000,37.735731,0.0000
43,1,19.234978,75.274690,47.0854
44,0,0.000000,74.550760,0.0000
45,0,0.000000,41.995814,0.0000
46,4,38.053596,52.024553,22.8235
47,5,68.815516,70.602121,24.1675
48,1,3.149202,54.643628,43.9580
49,2,33.078412,73.937144,17.9610
50,0,0.000000,42.732422,0.0000
51,2,37.691109,62.671850,35.7783
52,0,0.000000,70.291795,0.0000
53,4,23.656914,27.866753,34.3804
54,0,0.000000,39.276989,0.0000
55,4,31.074129,48.064065,44.7815
56,0,0.000000,56.137838,0.0000
57,0,0.000000,76.517458,0.0000
58,0,0.000000,33.319365,0.0000
59,3,22.464970,60.987076,121.1591
60,0,0.000000,33.054531,0.0000
61,4,20.063997,47.573995,64.5394
62,1,24.432204,29.567728,34.6824
63,1,5.167161,35.073850,95.0868
