transaction_id,customer_id,date,amount
1702,723,2023-11-22,15.4
1454,606,2024-01-26,16.15
1436,601,2023-09-03,25.92
419,179,2023-10-26,14.77
304,124,2024-01-26,22.68
1222,505,2023-10-14,31.39
1005,428,2024-03-26,25.9
727,319,2023-01-29,85.0
1843,787,2023-10-21,62.83
588,252,2023-03-18,53.18
558,241,2023-11-12,18.96
199,73,2023-11-25,12.78
372,156,2024-02-15,92.34
486,207,2023-08-24,25.78
1791,761,2024-04-21,92.31
1418,591,2023-10-29,45.71
239,90,2023-07-27,-41.74
478,205,2023-10-18,59.74
767,334,2023-09-11,45.18
1419,592,2023-05-01,22.75
53,24,2023-08-07,10.14
1536,649,2024-03-05,37.03
1197,495,2023-09-26,4.94
473,204,2023-11-19,33.64
1346,552,2023-09-17,20.58
756,327,2023-01-23,14.14
1597,671,2023-01-22,27.2
1002,427,2024-02-09,53.88
1113,457,2023-01-26,37.53
780,342,2023-08-09,9.08
714,310,2024-03-29,20.1
1522,643,2023-01-28,11.82
203,75,2023-11-20,12.1
719,313,2023-06-15,18.63
1232,510,2023-09-08,23.98
1579,663,2023-03-14,27.9
1871,797,2024-02-14,22.07
1613,680,2024-06-07,26.03
624,273,2023-04-27,22.35
641,281,2023-07-09,6.35
495,211,2023-03-18,13.74
768,334,2023-12-06,33.01
1043,439,2024-01-30,20.08
108,41,2024-03-17,52.64
1191,494,2023-05-09,26.3
1744,739,2024-04-15,20.7
696,310,2023-09-29,24.0
1230,509,2023-10-06,18.99
1499,631,2024-02-21,46.92
1759,748,2023-12-08,23.75
1690,717,2023-05-13,18.65
234,87,2024-06-15,6.76
1501,632,2023-04-25,39.33
1348,553,2023-01-29,18.63
1607,677,2023-07-13,21.69
413,176,2024-04-26,79.81
64,31,2023-06-22,8.87
1397,580,2023-02-08,23.85
1073,453,2023-08-26,28.33
517,222,2023-05-01,17.46
36,15,2023-03-18,18.7
180,66,2023-10-25,26.92
1304,537,2023-12-14,7.59
1044,439,2024-02-21,37.26
117,44,2023-09-12,27.44
1594,670,2023-09-05,30.72
1321,544,2023-09-04,8.41
909,398,2023-09-18,113.02
621,272,2023-04-10,20.7
1550,651,2023-10-10,14.4
794,352,2023-03-13,42.13
1692,717,2023-08-07,15.23
715,310,2024-04-12,38.65
1291,535,2023-06-07,5.16
1574,660,2023-06-14,46.97
1725,732,2023-05-05,22.68
507,217,2023-04-11,144.94
269,109,2023-07-14,30.43
1028,437,2023-07-25,25.15
531,229,2023-08-15,20.12
168,61,2023-05-02,41.03
444,190,2023-05-09,57.69
325,133,2023-03-09,72.54
1215,503,2023-05-04,28.35
347,146,2023-10-23,29.02
959,414,2023-07-16,10.8
1079,453,2023-11-11,22.1
820,362,2023-11-22,126.98
1675,710,2023-10-15,36.91
89,36,2024-03-07,48.43
1555,651,2024-01-29,26.28
787,346,2023-11-19,41.03
1789,761,2024-01-30,54.26
1165,483,2023-12-03,9.52
1742,739,2024-03-07,37.0
1695,719,2023-10-27,17.93
1153,480,2023-09-10,27.27
1431,598,2023-02-05,13.68
1295,535,2023-12-18,7.44
1150,478,2024-01-19,73.04
821,363,2023-12-23,16.29
1056,446,2024-02-04,6.34
246,96,2024-01-12,27.65
856,375,2024-06-03,51.22
1020,436,2024-04-14,22.7
1599,672,2023-07-05,26.63
265,105,2023-02-09,23.29
1156,481,2023-08-10,48.45
568,246,2023-07-30,40.57
1583,666,2024-01-20,11.6
1194,495,2023-06-14,12.27
589,253,2023-01-17,21.06
77,36,2023-11-22,50.18
896,393,2023-03-10,7.62
210,78,2024-02-14,36.09
132,54,2024-04-05,-36.62
414,176,2024-06-17,58.0
100,38,2023-10-20,46.33
677,301,2024-02-28,17.65
1025,437,2023-01-02,17.14
502,215,2023-12-31,17.38
1777,756,2023-10-05,16.09
313,128,2023-11-07,26.0
1424,594,2023-05-30,14.9
843,375,2023-07-22,34.45
1317,543,2023-09-19,75.08
600,259,2023-07-27,17.5
1402,583,2023-09-11,35.98
1853,792,2024-01-14,19.25
1586,668,2023-06-26,20.16
1679,713,2023-06-19,32.09
1388,575,2023-01-08,30.91
1356,560,2023-04-21,11.61
1489,626,2024-06-20,16.32
1114,457,2023-03-22,57.98
528,227,2024-02-07,9.09
1384,574,2023-04-26,30.95
819,361,2023-01-24,17.73
1119,458,2023-08-07,-11.24
1632,690,2024-06-10,-44.52
324,133,2023-02-08,65.37
1290,535,2023-05-05,14.73
307,125,2024-04-09,23.84
680,303,2023-07-02,10.11
252,98,2023-11-28,26.14
1818,775,2024-01-14,20.07
1595,670,2023-11-03,27.14
1797,764,2023-10-01,19.51
1572,659,2023-06-15,41.45
39,17,2023-03-23,40.99
1438,603,2023-12-17,21.4
869,382,2023-02-25,53.31
1015,435,2023-01-05,24.91
1281,529,2023-09-28,17.53
618,270,2023-09-07,27.76
1479,621,2023-01-12,244.41
582,250,2023-03-29,21.81
17,10,2023-10-20,39.38
874,385,2023-11-16,69.12
1409,585,2024-02-06,62.99
732,320,2024-01-21,22.52
1270,525,2024-03-24,19.65
1146,477,2023-09-06,125.2
867,381,2023-12-04,23.83
729,319,2023-04-15,152.04
207,78,2023-10-23,16.86
509,219,2023-02-26,34.33
1861,796,2024-01-07,13.36
1553,651,2023-11-10,21.64
958,414,2023-06-03,18.55
834,371,2024-06-02,-19.77
990,423,2024-04-30,40.4
83,36,2024-01-23,35.47
1738,738,2023-12-07,48.81
281,114,2024-03-16,17.13
148,55,2024-05-13,29.95
1407,585,2024-02-04,35.68
861,378,2023-09-20,29.77
119,46,2023-08-21,17.64
1048,442,2023-08-04,29.83
244,95,2023-03-13,15.19
38,16,2023-11-14,8.68
88,36,2024-03-03,50.51
245,95,2024-04-09,13.41
396,167,2023-03-29,59.34
1881,799,2024-01-01,30.74
