Date,TECH_A,TECH_B,ENERGY_C,BOND_D,BOND_E
2024-01-02,0.0023,-0.0015,0.0018,0.0003,-0.0002
2024-01-03,-0.0011,0.0028,-0.0042,0.0001,0.0004
2024-01-04,0.0045,0.0032,0.0021,-0.0005,-0.0003
2024-01-05,-0.0034,-0.0021,0.0015,0.0002,0.0001
2024-01-08,0.0012,0.0019,-0.0028,0.0004,0.0003
2024-01-09,-0.0008,0.0005,0.0033,-0.0001,0.0002
2024-01-10,0.0056,0.0041,-0.0019,0.0003,-0.0001
2024-01-11,-0.0022,-0.0018,0.0027,0.0001,0.0004
2024-01-12,0.0031,0.0024,-0.0035,-0.0002,0.0001
2024-01-15,-0.0017,0.0011,0.0044,0.0005,0.0003
2024-01-16,0.0043,0.0037,-0.0012,-0.0003,-0.0002
2024-01-17,-0.0025,-0.0019,0.0029,0.0002,0.0001
2024-01-18,0.0018,0.0022,-0.0038,0.0004,0.0005
2024-01-19,-0.0009,0.0003,0.0016,-0.0001,-0.0003
2024-01-22,0.0037,0.0029,-0.0024,0.0003,0.0002
