Attribute Name	Tag	Retd. (from PS3.6)	In Std. Comp. IOD (from PS3.3)	Basic Prof.	Rtn. Safe Priv. Opt.	Rtn. UIDs Opt.	Rtn. Dev. Id. Opt.	Rtn. Inst. Id. Opt.	Rtn. Pat. Chars. Opt.	Rtn. Long. Full Dates Opt.	Rtn. Long. Modif. Dates Opt.	Clean Desc. Opt.	Clean Struct. Cont. Opt.	Clean Graph. Opt.
Accession Number	(0008,0050)	N	Y	Z										
Acquisition Comments	(0018,4000)	Y	N	X								C		
Acquisition Context Description	(0040,0556)	N	Y	X								C		
Acquisition Context Sequence	(0040,0555)	N	Y	X/Z									C	
Acquisition Date	(0008,0022)	N	Y	X/Z						K	C			
Acquisition DateTime	(0008,002A)	N	Y	X/Z/D						K	C			
Acquisition Device Processing Description	(0018,1400)	N	Y	X/D								C		
Acquisition Field Of View Label	(0018,11BB)	N	Y	D								C		
Acquisition Protocol Description	(0018,9424)	N	Y	X								C		
Acquisition Time	(0008,0032)	N	Y	X/Z						K	C			
Acquisition UID	(0008,0017)	N	Y	U		K								
Actual Human Performers Sequence	(0040,4035)	N	N	X										
Additional Patient History	(0010,21B0)	N	Y	X								C		
Address (Trial)	(0040,A353)	Y	N	X										
Admission ID	(0038,0010)	N	Y	X										
Admitting Date	(0038,0020)	N	N	X						K	C			
Admitting Diagnoses Code Sequence	(0008,1084)	N	Y	X								C		
Admitting Diagnoses Description	(0008,1080)	N	Y	X								C		
Admitting Time	(0038,0021)	N	N	X						K	C			
Affected SOP Instance UID	(0000,1000)	N	N	X		K								
Allergies	(0010,2110)	N	N	X					C			C		
Annotation DateTime	(0040,B034)	N	Y	X						K	C			
Annotation Group Description	(006A,0006)	N	Y	X								C		
Annotation Group Label	(006A,0005)	N	Y	D								C		
Annotation Group UID	(006A,0003)	N	Y	D		K								
Approval Status DateTime	(0044,0004)	N	N	X						K	C			
Arbitrary	(4000,0010)	Y	N	X										
Assertion DateTime	(0044,0104)	N	Y	D						K	C			
Assertion Expiration DateTime	(0044,0105)	N	Y	X						K	C			
Attribute Modification DateTime	(0400,0562)	N	Y	D						K	C			
Author Observer Sequence	(0040,A078)	N	Y	X										
Barcode Value	(2200,0005)	N	Y	X/Z										
Beam Description	(300A,00C3)	N	Y	X								C		
Beam Hold Transition DateTime	(300C,0127)	N	Y	D			K			K	C			
Bolus Description	(300A,00DD)	N	Y	X								C		
Branch of Service	(0010,1081)	N	N	X										
Calibration Date	(0014,407E)	N	N	X			K			K	C			
Calibration DateTime	(0018,1203)	N	Y	Z			K			K	C			
Calibration Time	(0014,407C)	N	N	X			K			K	C			
Camera Owner Name	(0016,004D)	N	Y	X										
Cassette ID	(0018,1007)	N	Y	X			K							
Certificate of Signer	(0400,0115)	N	Y	D										
Certified Timestamp	(0400,0310)	N	Y	X						K	C			
Channel Derivation Description	(003A,020C)	N	Y	X								C		
Channel Label	(003A,0203)	N	Y	X								C		
