wavelength_nm,angle_deg,psi_rad,Delta_rad
350.0,55.0,6.249676713027853e-01,-4.754045175972211e-01
350.0,65.0,6.250262334057202e-01,-1.131437948123738e+00
350.0,75.0,7.232047124401817e-01,-1.874629226013115e+00
360.0,55.0,6.386310791215005e-01,-6.300462380254183e-01
360.0,65.0,6.867650127617225e-01,-1.224674420450135e+00
360.0,75.0,8.361051098267246e-01,-1.820503939333403e+00
370.0,55.0,6.678284221307400e-01,-7.376598826927290e-01
370.0,65.0,7.825359821576613e-01,-1.203788153806409e+00
370.0,75.0,1.048943224961832e+00,-1.627303530513788e+00
380.0,55.0,7.191814372137552e-01,-7.785918674968548e-01
380.0,65.0,9.299346398001058e-01,-1.020954869481261e+00
380.0,75.0,1.411082003740046e+00,-9.634617019286729e-01
390.0,55.0,7.973263748796758e-01,-7.257221864805879e-01
390.0,65.0,1.106674992592074e+00,-5.390597239224177e-01
390.0,75.0,1.257794993848787e+00,1.481115401691837e+00
400.0,55.0,8.947928456335288e-01,-5.434954099051272e-01
400.0,65.0,1.152701983695377e+00,3.193565731213592e-01
400.0,75.0,9.875177957834960e-01,1.791529662478834e+00
410.0,55.0,9.750719360232813e-01,-2.086641345527709e-01
410.0,65.0,1.023845230940411e+00,9.263622457112943e-01
410.0,75.0,8.393821573294344e-01,1.923068363710854e+00
420.0,55.0,9.860257332341055e-01,2.075548046064618e-01
420.0,65.0,8.842061137228283e-01,1.196445821310256e+00
420.0,75.0,7.502367932176408e-01,1.983468559826662e+00
430.0,55.0,9.271077624173407e-01,5.438574112037889e-01
430.0,65.0,7.785152383893507e-01,1.316643366982480e+00
430.0,75.0,6.864470670558507e-01,2.004142203862317e+00
440.0,55.0,8.439606592846778e-01,7.441662159779657e-01
440.0,65.0,6.995236164303198e-01,1.363192184438016e+00
440.0,75.0,6.334393234494531e-01,2.000988665596430e+00
450.0,55.0,7.663805080520817e-01,8.429107616191143e-01
450.0,65.0,6.375517036841384e-01,1.365735501282320e+00
450.0,75.0,5.848177647383840e-01,1.981387705280510e+00
460.0,55.0,7.030274965446563e-01,8.763017797177184e-01
460.0,65.0,5.868726861858535e-01,1.336477819750067e+00
460.0,75.0,5.374918951708990e-01,1.947051379145652e+00
470.0,55.0,6.543063616798364e-01,8.685780529306218e-01
470.0,65.0,5.443438498892180e-01,1.283002377806359e+00
470.0,75.0,4.897466359317044e-01,1.899511229264809e+00
480.0,55.0,6.177407510996049e-01,8.351622026907083e-01
480.0,65.0,5.079076423431199e-01,1.210661707461774e+00
480.0,75.0,4.405252631427172e-01,1.840160422646420e+00
490.0,55.0,5.903688212252332e-01,7.859256341777546e-01
490.0,65.0,4.761118005395066e-01,1.123522443078982e+00
490.0,75.0,3.892602441044277e-01,1.770137287395191e+00
500.0,55.0,5.695112656646043e-01,7.274828950247082e-01
500.0,65.0,4.478290065573062e-01,1.025207278482407e+00
500.0,75.0,3.358619533522568e-01,1.690792712789250e+00
510.0,55.0,5.530088690634958e-01,6.642436198048495e-01
510.0,65.0,4.221960769411248e-01,9.188723136919332e-01
510.0,75.0,2.807385522726056e-01,1.603238700047252e+00
520.0,55.0,5.395857437198421e-01,5.984980599733384e-01
