region,quarter,year,budget_amount,category
North,1,2024,150000,Sales
North,2,2024,175000,Sales
North,3,2024,160000,Sales
North,4,2024,200000,Sales
South,1,2024,120000,Sales
South,2,2024,130000,Sales
South,3,2024,140000,Sales
South,4,2024,155000,Sales
Central,1,2024,100000,Sales
Central,2,2024,110000,Sales
Central,3,2024,115000,Sales
Central,4,2024,125000,Sales
East,1,2024,135000,Sales
East,2,2024,145000,Sales
East,3,2024,150000,Sales
East,4,2024,165000,Sales
West,1,2024,110000,Sales
West,2,2024,120000,Sales
West,3,2024,125000,Sales
West,4,2024,140000,Sales
