layout_angle,re_lo,re_hi,a1,a2,a3,a4
30,1,10,1.400,-0.667,1.450,0.519
30,10,100,0.321,-0.388,1.450,0.519
30,100,1000,0.321,-0.388,1.450,0.519
30,1000,10000,0.321,-0.388,1.450,0.519
30,10000,100000,0.321,-0.388,1.450,0.519
45,1,10,1.550,-0.667,1.930,0.500
45,10,100,0.498,-0.656,1.930,0.500
45,100,1000,0.730,-0.500,1.930,0.500
45,1000,10000,0.370,-0.396,1.930,0.500
45,10000,100000,0.370,-0.396,1.930,0.500
60,1,10,1.400,-0.667,1.450,0.519
60,10,100,0.321,-0.388,1.450,0.519
60,100,1000,0.321,-0.388,1.450,0.519
60,1000,10000,0.321,-0.388,1.450,0.519
60,10000,100000,0.321,-0.388,1.450,0.519
90,1,10,0.970,-0.667,1.187,0.370
90,10,100,0.900,-0.631,1.187,0.370
90,100,1000,0.408,-0.460,1.187,0.370
90,1000,10000,0.170,-0.266,1.187,0.370
90,10000,100000,0.370,-0.395,1.187,0.370
