# Standard Fire Behavior Fuel Models
# Sources: Anderson (1982) models 1-13; Scott & Burgan (2005) models 91-204
# Units: load columns are tons/acre; SAV columns are 1/ft; depth is ft; mx_dead is percent
# Non-burnable models (91-93,98,99) have zero loads and block fire propagation
#
fm_num,fm_code,is_dynamic,depth_ft,mx_dead_pct,load_1h_tpa,load_10h_tpa,load_100h_tpa,load_herb_tpa,load_woody_tpa,sav_1h,sav_herb,sav_woody
1,FM1,0,1.0,12,0.74,0.0,0.0,0.0,0.0,3500,0,0
2,FM2,0,1.0,15,2.0,1.0,0.5,0.0,0.5,3000,0,1500
3,FM3,0,2.5,25,3.01,0.0,0.0,0.0,0.0,1500,0,0
4,FM4,0,6.0,20,5.01,4.01,2.0,0.0,5.01,2000,0,1500
5,FM5,0,2.0,20,1.0,0.5,0.0,0.0,2.0,2000,0,1500
6,FM6,0,2.5,25,1.5,2.5,2.0,0.0,0.0,1750,0,0
7,FM7,0,2.5,40,1.13,1.87,1.5,0.0,0.37,1750,0,1550
8,FM8,0,0.2,30,1.5,1.0,2.5,0.0,0.0,2000,0,0
9,FM9,0,0.2,25,2.92,0.41,0.15,0.0,0.0,2500,0,0
10,FM10,0,1.0,25,3.01,2.0,5.01,0.0,2.0,2000,0,1500
11,FM11,0,1.0,15,1.5,4.51,5.51,0.0,0.0,1500,0,0
12,FM12,0,2.3,20,4.01,14.03,16.53,0.0,0.0,1500,0,0
13,FM13,0,3.0,25,7.01,23.04,28.05,0.0,0.0,1500,0,0
91,NB1,0,0.1,10,0.0,0.0,0.0,0.0,0.0,1,0,0
92,NB2,0,0.1,10,0.0,0.0,0.0,0.0,0.0,1,0,0
93,NB3,0,0.1,10,0.0,0.0,0.0,0.0,0.0,1,0,0
98,NB8,0,0.1,10,0.0,0.0,0.0,0.0,0.0,1,0,0
99,NB9,0,0.1,10,0.0,0.0,0.0,0.0,0.0,1,0,0
101,GR1,1,0.4,15,0.10,0.0,0.0,0.30,0.0,2200,2000,0
102,GR2,1,1.0,15,0.10,0.0,0.0,1.0,0.0,2000,1800,0
103,GR3,1,2.0,30,0.10,0.40,0.0,1.50,0.0,1500,1300,0
104,GR4,1,2.0,15,0.25,0.0,0.0,1.90,0.0,2000,1800,0
105,GR5,1,1.5,40,0.40,0.0,0.0,2.50,0.0,1800,1600,0
106,GR6,1,1.5,40,0.10,0.0,0.0,3.40,0.0,2200,2000,0
107,GR7,1,3.0,15,1.0,0.0,0.0,5.40,0.0,2000,1800,0
108,GR8,1,4.0,30,0.50,1.0,0.0,7.30,0.0,1500,1300,0
109,GR9,1,5.0,40,1.0,1.0,0.0,9.0,0.0,1800,1600,0
121,GS1,1,0.9,15,0.20,0.0,0.0,0.50,0.65,2000,1800,1800
122,GS2,1,1.5,15,0.50,0.50,0.0,0.60,1.0,2000,1800,1800
123,GS3,1,1.8,40,0.30,0.25,0.0,1.45,1.25,1800,1600,1600
124,GS4,1,2.1,40,1.90,0.30,0.10,3.40,7.10,1800,1600,1600
141,SH1,1,1.0,15,0.25,0.25,0.0,0.15,1.30,2000,1800,1600
142,SH2,0,1.0,15,1.35,2.40,0.75,0.0,3.85,2000,0,1600
143,SH3,0,2.4,40,0.45,3.0,0.0,0.0,6.20,1600,0,1400
144,SH4,0,3.0,30,0.85,1.15,0.20,0.0,2.55,2000,1800,1600
145,SH5,0,6.0,15,3.60,2.10,0.0,0.0,2.90,750,0,1600
146,SH6,0,2.0,30,2.90,1.45,0.0,0.0,1.40,750,0,1600
147,SH7,0,6.0,15,3.50,5.30,2.20,0.0,3.40,750,0,1600
148,SH8,0,3.0,40,2.05,3.40,0.85,0.0,4.35,750,0,1600
149,SH9,1,4.4,40,4.50,2.45,0.0,1.55,7.05,750,1800,1500
161,TU1,1,0.6,20,0.20,0.90,1.50,0.20,0.90,2000,1800,1600
162,TU2,0,1.0,30,0.95,1.80,1.25,0.0,0.20,2000,0,1600
163,TU3,1,1.3,30,1.10,0.15,0.25,0.65,1.10,1800,1600,1400
164,TU4,0,0.5,12,4.50,0.0,0.0,0.0,2.0,2300,0,2000
165,TU5,0,1.0,25,4.0,4.0,3.0,0.0,3.0,1500,0,750
181,TL1,0,0.2,30,1.0,2.20,3.60,0.0,0.0,2000,0,0
182,TL2,0,0.2,25,1.40,2.30,2.20,0.0,0.0,2000,0,0
183,TL3,0,0.3,20,0.50,2.20,2.80,0.0,0.0,2000,0,0
184,TL4,0,0.4,25,0.50,1.50,4.20,0.0,0.0,2000,0,0
185,TL5,0,0.6,25,1.15,2.50,4.40,0.0,0.0,2000,0,1600
186,TL6,0,0.3,25,2.40,1.20,1.20,0.0,0.0,2000,0,0
187,TL7,0,0.4,25,0.30,1.40,8.10,0.0,0.0,2000,0,0
188,TL8,0,0.3,35,5.80,1.40,1.10,0.0,0.0,1800,0,0
189,TL9,0,0.6,35,6.65,3.30,4.15,0.0,0.0,1800,0,1600
201,SB1,0,1.0,25,1.50,3.0,11.0,0.0,0.0,2000,0,0
202,SB2,0,1.0,25,4.50,4.25,4.0,0.0,0.0,2000,0,0
203,SB3,0,1.2,25,5.50,2.75,3.0,0.0,0.0,2000,0,0
204,SB4,0,2.7,25,5.25,3.50,5.25,0.0,0.0,2000,0,0
