,event_starttime,event_peaktime,event_endtime,fl_goescls,lat_stony,lon_stony,ar_noaanum,ssw_id,noaa_ar_ssw,location_ssw,lat_ssw,lon_ssw,AR_valid,dist_noaa_ssw,obs_channelid,obs_observatory,search_frm_name,hgc_coord,hgs_coord,lat_aia,lon_aia
0,2010-05-01 01:34:00,2010-05-01 01:39:00,2010-05-01 01:43:00,C5.7,-73.0,23.0,11067.0,gev_20100501_0134,,N24E77,-77.0,24.0,,4.1,,,,,,,
1,2010-05-01 05:23:00,2010-05-01 05:27:00,2010-05-01 05:31:00,B1.6,,,11064.0,gev_20100501_0523,,N24E73,-73.0,24.0,,,,,,,,,
2,2010-05-01 09:48:00,2010-05-01 09:52:00,2010-05-01 09:59:00,B1.0,,,11067.0,gev_20100501_0948,,N25E76,-76.0,25.0,,,,,,,,,
3,2010-05-02 06:03:00,2010-05-02 06:09:00,2010-05-02 06:18:00,B2.9,,,11067.0,gev_20100502_0603,,N24E61,-61.0,24.0,,,,,,,,,
4,2010-05-02 10:02:00,2010-05-02 10:09:00,2010-05-02 10:15:00,B3.8,,,11067.0,gev_20100502_1002,,N24E58,-58.0,24.0,,,,,,,,,
5,2010-05-02 15:09:00,2010-05-02 15:14:00,2010-05-02 15:20:00,B1.1,,,,gev_20100502_1509,,S17E88,-88.0,-17.0,,,,,,,,,
6,2010-05-02 16:22:00,2010-05-02 16:26:00,2010-05-02 16:29:00,B1.9,,,,gev_20100502_1622,,N23E55,-55.0,23.0,,,,,,,,,
7,2010-05-02 17:55:00,2010-05-02 17:59:00,2010-05-02 18:10:00,B1.2,,,,gev_20100502_1755,,N25E54,-54.0,25.0,,,,,,,,,
8,2010-05-02 20:55:00,2010-05-02 21:00:00,2010-05-02 21:03:00,B1.4,,,,gev_20100502_2055,,N24E51,-51.0,24.0,,,,,,,,,
9,2010-05-02 21:42:00,2010-05-02 21:53:00,2010-05-02 21:58:00,B1.5,,,,gev_20100502_2142,,N24E51,-51.0,24.0,,,,,,,,,
10,2010-05-03 12:52:00,2010-05-03 12:57:00,2010-05-03 13:02:00,B2.0,,,11063.0,gev_20100503_1252,,N16W47,47.0,16.0,,,,,,,,,
11,2010-05-03 13:38:00,2010-05-03 13:41:00,2010-05-03 13:43:00,B1.5,,,,gev_20100503_1338,,N17W49,49.0,17.0,,,,,,,,,
12,2010-05-03 15:00:00,2010-05-03 15:04:00,2010-05-03 15:07:00,B1.4,,,,gev_20100503_1500,,S26E10,-10.0,-26.0,,,,,,,,,
13,2010-05-03 21:50:00,2010-05-03 21:53:00,2010-05-03 21:56:00,B1.0,,,11066.0,gev_20100503_2150,,S26E04,-4.0,-26.0,,,,,,,,,
14,2010-05-04 04:42:00,2010-05-04 04:46:00,2010-05-04 04:49:00,B1.7,,,11068.0,gev_20100504_0442,,S19E75,-75.0,-19.0,,,,,,,,,
15,2010-05-04 11:00:00,2010-05-04 11:18:00,2010-05-04 11:32:00,B2.0,,,11069.0,gev_20100504_1100,,N40W22,22.0,40.0,,,,,,,,,
16,2010-05-04 12:05:00,2010-05-04 12:09:00,2010-05-04 12:12:00,B1.3,,,11069.0,gev_20100504_1205,,N41W23,23.0,41.0,,,,,,,,,
17,2010-05-04 12:39:00,2010-05-04 12:44:00,2010-05-04 12:51:00,B1.7,,,11069.0,gev_20100504_1239,,N40W24,24.0,40.0,,,,,,,,,
18,2010-05-04 14:13:00,2010-05-04 14:20:00,2010-05-04 14:25:00,B2.4,,,11069.0,gev_20100504_1413,,N40W22,22.0,40.0,,,,,,,,,
