date,price
2015-01-02,50.000000
2015-01-05,50.722249
2015-01-06,51.648058
2015-01-07,51.770582
2015-01-08,52.450883
2015-01-09,54.348573
2015-01-12,55.131123
2015-01-13,56.538269
2015-01-14,55.206888
2015-01-15,54.563536
2015-01-16,53.919769
2015-01-19,51.691749
2015-01-20,51.749709
2015-01-21,52.894965
2015-01-22,52.448829
2015-01-23,52.608424
2015-01-26,51.903514
2015-01-27,51.501082
2015-01-28,51.730955
2015-01-29,50.763874
2015-01-30,51.709141
2015-02-02,50.167995
2015-02-03,50.421229
2015-02-04,50.030484
2015-02-05,51.215624
2015-02-06,51.831750
2015-02-09,50.156132
2015-02-10,48.276840
2015-02-11,47.519606
2015-02-12,47.143370
2015-02-13,47.001387
2015-02-16,47.021914
2015-02-17,47.521499
2015-02-18,46.508272
2015-02-19,45.206215
2015-02-20,45.384507
2015-02-23,45.125441
2015-02-24,45.050250
2015-02-25,44.595411
2015-02-26,44.472166
2015-02-27,45.523747
2015-03-02,44.372962
2015-03-03,43.523035
2015-03-04,43.963289
2015-03-05,45.060211
2015-03-06,44.912729
2015-03-09,44.026674
2015-03-10,42.659130
2015-03-11,42.832827
2015-03-12,41.996641
2015-03-13,43.458745
2015-03-16,45.089491
2015-03-17,45.248677
2015-03-18,45.594133
2015-03-19,45.507740
2015-03-20,46.331604
2015-03-23,46.327525
2015-03-24,46.371933
2015-03-25,47.374260
2015-03-26,47.841851
2015-03-27,49.472696
2015-03-30,48.211790
2015-03-31,47.789899
2015-04-01,47.112551
2015-04-02,47.739375
2015-04-03,47.367841
2015-04-06,47.817405
2015-04-07,46.943285
2015-04-08,46.871732
2015-04-09,48.596395
2015-04-10,49.864611
2015-04-13,48.409098
2015-04-14,48.685916
2015-04-15,49.321690
2015-04-16,48.937982
2015-04-17,48.093800
2015-04-20,48.595888
2015-04-21,48.671181
2015-04-22,49.094603
2015-04-23,48.970612
2015-04-24,50.799833
2015-04-27,50.071989
2015-04-28,49.680416
2015-04-29,50.082909
2015-04-30,50.661385
2015-05-01,49.571278
2015-05-04,50.592466
2015-05-05,49.441976
2015-05-06,49.444997
2015-05-07,49.204545
2015-05-08,48.657320
2015-05-11,49.531538
2015-05-12,47.732252
2015-05-13,47.184190
2015-05-14,46.516263
2015-05-15,47.159745
2015-05-18,48.323492
2015-05-19,48.915319
2015-05-20,50.000080
2015-05-21,48.276818
2015-05-22,48.399441
2015-05-25,47.354784
2015-05-26,47.074103
2015-05-27,47.253965
2015-05-28,47.322557
2015-05-29,48.357120
2015-06-01,46.871659
2015-06-02,46.256959
2015-06-03,45.189037
2015-06-04,44.035948
2015-06-05,44.737235
2015-06-08,44.864162
2015-06-09,45.975745
2015-06-10,46.840094
2015-06-11,46.888532
2015-06-12,46.176149
2015-06-15,46.901187
2015-06-16,46.391283
2015-06-17,45.521409
2015-06-18,44.702338
2015-06-19,44.786430
2015-06-22,45.686175
2015-06-23,45.722228
2015-06-24,46.610592
2015-06-25,46.675838
2015-06-26,46.361576
2015-06-29,48.389643
2015-06-30,49.795512
2015-07-01,49.948186
2015-07-02,49.295888
2015-07-03,48.060525
2015-07-06,48.363348
2015-07-07,48.167217
2015-07-08,48.520846
2015-07-09,48.766386
2015-07-10,49.100651
2015-07-13,49.989901
2015-07-14,50.235895
2015-07-15,49.664826
2015-07-16,49.063839
2015-07-17,49.514521
2015-07-20,48.683814
2015-07-21,49.235739
2015-07-22,49.790667
2015-07-23,49.754294
2015-07-24,49.143807
2015-07-27,47.786179
2015-07-28,46.945905
2015-07-29,45.757253
2015-07-30,45.774660
2015-07-31,45.455126
2015-08-03,44.799047
2015-08-04,45.417133
2015-08-05,45.507924
2015-08-06,45.540234
2015-08-07,45.940452
2015-08-10,46.694619
2015-08-11,45.528894
2015-08-12,46.036595
2015-08-13,44.741831
2015-08-14,44.183827
2015-08-17,44.891970
2015-08-18,45.381521
2015-08-19,45.857281
2015-08-20,45.987144
2015-08-21,47.020068
2015-08-24,45.891021
2015-08-25,45.669197
2015-08-26,45.701450
2015-08-27,47.188163
2015-08-28,47.955334
2015-08-31,48.744095
2015-09-01,48.161228
2015-09-02,49.896131
2015-09-03,50.266259
2015-09-04,49.474261
2015-09-07,51.333770
2015-09-08,50.191086
2015-09-09,49.507146
2015-09-10,49.323082
2015-09-11,48.565448
2015-09-14,48.968412
2015-09-15,49.180360
2015-09-16,49.266398
2015-09-17,50.755868
2015-09-18,49.464486
2015-09-21,50.538420
2015-09-22,49.884339
2015-09-23,51.044323
2015-09-24,52.596993
2015-09-25,54.536234
