date,price
2015-01-02,200.000000
2015-01-05,201.111849
2015-01-06,202.132739
2015-01-07,203.359517
2015-01-08,204.676747
2015-01-09,206.008288
2015-01-12,203.618139
2015-01-13,203.947760
2015-01-14,202.159098
2015-01-15,200.989363
2015-01-16,200.861134
2015-01-19,202.403799
2015-01-20,202.866716
2015-01-21,203.203006
2015-01-22,205.542390
2015-01-23,205.895550
2015-01-26,204.708031
2015-01-27,202.958706
2015-01-28,201.885763
2015-01-29,202.068209
2015-01-30,200.156299
2015-02-02,200.749453
2015-02-03,201.180374
2015-02-04,200.309691
2015-02-05,200.480903
2015-02-06,201.174150
2015-02-09,200.414661
2015-02-10,201.381912
2015-02-11,200.514526
2015-02-12,201.297943
2015-02-13,203.195138
2015-02-16,203.648186
2015-02-17,202.061123
2015-02-18,202.214191
2015-02-19,202.357617
2015-02-20,201.302711
2015-02-23,199.751511
2015-02-24,199.311423
2015-02-25,200.444436
2015-02-26,201.519810
2015-02-27,203.089078
2015-03-02,203.071995
2015-03-03,205.641610
2015-03-04,204.588993
2015-03-05,205.198609
2015-03-06,204.927199
2015-03-09,206.902603
2015-03-10,206.985708
2015-03-11,205.685158
2015-03-12,206.039629
2015-03-13,204.629088
2015-03-16,203.548190
2015-03-17,204.780102
2015-03-18,204.794531
2015-03-19,205.942154
2015-03-20,204.852512
2015-03-23,206.573785
2015-03-24,206.386712
2015-03-25,203.897987
2015-03-26,202.790976
2015-03-27,201.053501
2015-03-30,199.247603
2015-03-31,199.929042
2015-04-01,200.429860
2015-04-02,201.217121
2015-04-03,200.324487
2015-04-06,201.036473
2015-04-07,199.225383
2015-04-08,198.659689
2015-04-09,198.500493
2015-04-10,197.827877
2015-04-13,197.992390
2015-04-14,198.003311
2015-04-15,198.631218
2015-04-16,199.050854
2015-04-17,200.292031
2015-04-20,199.726639
2015-04-21,200.587830
2015-04-22,200.978626
2015-04-23,201.326566
2015-04-24,201.536208
2015-04-27,198.856394
2015-04-28,201.312887
2015-04-29,200.195184
2015-04-30,199.232817
2015-05-01,198.868181
2015-05-04,197.272963
2015-05-05,199.494131
2015-05-06,198.756306
2015-05-07,197.941249
2015-05-08,196.948485
2015-05-11,197.530637
2015-05-12,199.314719
2015-05-13,199.697088
2015-05-14,198.764982
2015-05-15,200.467929
2015-05-18,200.866193
2015-05-19,199.993844
2015-05-20,199.942802
2015-05-21,200.148002
2015-05-22,200.486909
2015-05-25,200.528735
2015-05-26,200.598747
2015-05-27,203.006829
2015-05-28,206.704186
2015-05-29,206.970655
2015-06-01,205.819081
2015-06-02,204.502483
2015-06-03,205.593470
2015-06-04,203.541222
2015-06-05,203.348589
2015-06-08,203.895584
2015-06-09,204.169568
2015-06-10,203.690192
2015-06-11,206.102878
2015-06-12,207.180376
2015-06-15,206.607772
2015-06-16,207.670908
2015-06-17,207.471566
2015-06-18,206.838974
2015-06-19,206.349528
2015-06-22,207.933655
2015-06-23,207.243781
2015-06-24,207.191817
2015-06-25,208.568830
2015-06-26,209.010238
2015-06-29,209.368546
2015-06-30,208.534279
2015-07-01,211.660767
2015-07-02,212.796866
2015-07-03,209.687008
2015-07-06,211.458758
2015-07-07,209.794173
2015-07-08,208.030005
2015-07-09,207.158491
2015-07-10,208.847918
2015-07-13,208.531198
2015-07-14,208.849493
2015-07-15,206.704909
2015-07-16,208.151386
2015-07-17,207.842507
2015-07-20,206.202205
2015-07-21,206.665563
2015-07-22,207.345434
2015-07-23,207.497683
2015-07-24,209.234113
2015-07-27,210.046455
2015-07-28,212.085656
2015-07-29,212.054542
2015-07-30,212.243047
2015-07-31,213.443956
2015-08-03,215.050205
2015-08-04,214.642010
2015-08-05,217.250192
2015-08-06,217.451258
2015-08-07,217.501035
2015-08-10,218.150536
2015-08-11,217.020816
2015-08-12,214.824806
2015-08-13,217.668084
2015-08-14,219.175761
2015-08-17,217.947026
2015-08-18,218.178619
2015-08-19,219.080740
2015-08-20,218.451688
2015-08-21,220.476502
2015-08-24,219.834369
2015-08-25,221.256869
2015-08-26,220.423657
2015-08-27,221.172891
2015-08-28,223.387141
2015-08-31,224.100218
2015-09-01,223.456584
2015-09-02,223.813233
2015-09-03,224.882153
2015-09-04,224.321083
2015-09-07,223.808114
2015-09-08,226.351041
2015-09-09,228.397035
2015-09-10,227.489879
2015-09-11,225.653261
2015-09-14,223.880671
2015-09-15,222.358094
2015-09-16,222.004749
2015-09-17,221.942915
2015-09-18,220.060338
2015-09-21,220.318464
2015-09-22,216.368717
2015-09-23,216.602361
2015-09-24,218.850750
2015-09-25,217.225054
2015-09-28,213.362389
2015-09-29,213.628740
2015-09-30,214.616324
2015-10-01,214.107350
2015-10-02,214.458623
2015-10-05,216.252827
2015-10-06,218.609854
2015-10-07,219.478485
2015-10-08,217.819459
2015-10-09,218.095313
2015-10-12,216.768373
2015-10-13,216.790139
2015-10-14,216.503684
2015-10-15,215.769196
2015-10-16,217.903673
2015-10-19,217.634560
2015-10-20,215.656444
2015-10-21,216.215571
2015-10-22,217.195183
2015-10-23,217.308152
2015-10-26,216.292931
2015-10-27,215.747385
2015-10-28,214.991273
2015-10-29,214.351391
2015-10-30,213.448220
2015-11-02,213.193513
2015-11-03,211.422379
2015-11-04,211.793315
2015-11-05,210.793900
2015-11-06,212.003856
2015-11-09,212.555798
2015-11-10,214.624162
2015-11-11,212.829772
2015-11-12,214.772821
2015-11-13,214.657753
2015-11-16,215.539041
2015-11-17,216.793522
2015-11-18,218.153447
2015-11-19,218.281408
2015-11-20,218.950802
2015-11-23,218.867802
2015-11-24,219.916958
2015-11-25,218.728399
2015-11-26,219.330037
2015-11-27,221.511236
2015-11-30,224.373302
2015-12-01,225.932875
2015-12-02,228.067589
2015-12-03,228.866499
2015-12-04,230.436577
2015-12-07,233.323681
2015-12-08,233.290236
2015-12-09,231.014364
2015-12-10,230.812441
2015-12-11,231.128866
2015-12-14,229.977980
2015-12-15,228.294438
2015-12-16,227.631729
2015-12-17,225.919601
2015-12-18,227.267295
2015-12-21,229.766530
2015-12-22,230.791940
2015-12-23,228.818688
2015-12-24,229.162829
2015-12-25,227.972392
2015-12-28,228.419793
2015-12-29,227.283526
2015-12-30,228.740467
2015-12-31,229.800300
2016-01-01,229.382173
2016-01-04,230.157935
2016-01-05,230.295272
2016-01-06,232.861177
2016-01-07,230.134083
2016-01-08,230.779221
2016-01-11,232.639517
2016-01-12,232.148666
2016-01-13,231.465864
2016-01-14,231.770512
2016-01-15,230.477291
2016-01-18,229.745135
2016-01-19,228.312937
2016-01-20,228.103006
2016-01-21,225.161408
2016-01-22,224.352574
2016-01-25,225.187901
2016-01-26,224.696139
2016-01-27,224.158345
2016-01-28,225.476077
2016-01-29,227.773485
2016-02-01,226.763122
2016-02-02,228.536244
2016-02-03,226.074858
2016-02-04,224.918111
2016-02-05,225.723318
2016-02-08,226.134873
2016-02-09,226.349517
2016-02-10,227.631214
2016-02-11,227.385823
2016-02-12,228.525996
2016-02-15,227.868361
2016-02-16,227.014458
2016-02-17,224.393529
2016-02-18,225.396351
2016-02-19,224.212012
2016-02-22,225.684351
2016-02-23,227.169443
2016-02-24,226.896718
2016-02-25,227.066511
2016-02-26,227.394755
2016-02-29,227.146294
2016-03-01,225.113425
2016-03-02,227.218051
2016-03-03,226.451685
2016-03-04,227.253327
2016-03-07,227.715985
2016-03-08,228.177144
2016-03-09,228.537396
2016-03-10,229.899866
2016-03-11,228.687668
2016-03-14,230.166983
2016-03-15,230.453315
2016-03-16,230.556012
2016-03-17,229.999558
2016-03-18,229.979407
2016-03-21,230.865789
2016-03-22,229.213151
2016-03-23,226.787203
2016-03-24,226.439921
2016-03-25,227.488762
2016-03-28,227.105678
2016-03-29,229.121288
2016-03-30,231.045373
2016-03-31,233.141955
2016-04-01,235.331345
2016-04-04,235.769144
2016-04-05,236.659633
2016-04-06,235.691696
2016-04-07,231.783998
2016-04-08,232.422778
2016-04-11,231.341497
2016-04-12,231.094362
2016-04-13,227.549530
2016-04-14,228.885139
2016-04-15,228.639795
2016-04-18,227.835724
2016-04-19,226.229041
2016-04-20,225.118610
2016-04-21,223.965241
2016-04-22,222.643605
2016-04-25,220.714375
2016-04-26,220.466599
2016-04-27,220.041143
2016-04-28,221.279484
2016-04-29,218.894859
2016-05-02,218.324293
2016-05-03,217.144921
2016-05-04,217.654934
2016-05-05,217.626300
2016-05-06,218.836774
2016-05-09,221.429441
2016-05-10,221.474868
2016-05-11,222.259627
2016-05-12,221.256439
2016-05-13,221.123605
2016-05-16,221.202118
2016-05-17,224.247155
2016-05-18,222.687328
2016-05-19,222.543506
2016-05-20,222.614941
2016-05-23,221.603586
2016-05-24,222.140206
2016-05-25,222.204124
2016-05-26,222.415626
2016-05-27,221.450027
2016-05-30,222.521303
2016-05-31,221.264751
2016-06-01,220.790451
