date,price
2015-01-02,75.000000
2015-01-05,73.204826
2015-01-06,74.202655
2015-01-07,73.732188
2015-01-08,74.344956
2015-01-09,72.221520
2015-01-12,71.833274
2015-01-13,70.317568
2015-01-14,70.191788
2015-01-15,70.358026
2015-01-16,70.725318
2015-01-19,70.749370
2015-01-20,69.647205
2015-01-21,70.805367
2015-01-22,69.620934
2015-01-23,69.332067
2015-01-26,68.662350
2015-01-27,68.148500
2015-01-28,66.959714
2015-01-29,67.887223
2015-01-30,68.533822
2015-02-02,68.601141
2015-02-03,68.481941
2015-02-04,67.664045
2015-02-05,67.575632
2015-02-06,66.812270
2015-02-09,66.890359
2015-02-10,67.228329
2015-02-11,67.024645
2015-02-12,67.367767
2015-02-13,67.870305
2015-02-16,68.567312
2015-02-17,70.300214
2015-02-18,69.052496
2015-02-19,67.992780
2015-02-20,66.963955
2015-02-23,66.802593
2015-02-24,65.479219
2015-02-25,65.048258
2015-02-26,65.743949
2015-02-27,66.356036
2015-03-02,67.746337
2015-03-03,68.484307
2015-03-04,69.369461
2015-03-05,68.914161
2015-03-06,68.609426
2015-03-09,69.378846
2015-03-10,70.138970
2015-03-11,68.471264
2015-03-12,67.289148
2015-03-13,66.470520
2015-03-16,65.759442
2015-03-17,66.865288
2015-03-18,68.409505
2015-03-19,68.699910
2015-03-20,69.000918
2015-03-23,70.715543
2015-03-24,71.122072
2015-03-25,71.630458
2015-03-26,71.973312
2015-03-27,72.319280
2015-03-30,73.564839
2015-03-31,74.247022
2015-04-01,74.332816
2015-04-02,73.971419
2015-04-03,74.220060
2015-04-06,72.687250
2015-04-07,73.116201
2015-04-08,73.238260
2015-04-09,73.540693
2015-04-10,72.482468
2015-04-13,72.917555
2015-04-14,73.091742
2015-04-15,73.091090
2015-04-16,73.438605
2015-04-17,72.680746
2015-04-20,71.364987
2015-04-21,71.780139
2015-04-22,69.821901
2015-04-23,70.352883
2015-04-24,72.215288
2015-04-27,72.559213
2015-04-28,73.349655
2015-04-29,74.875331
2015-04-30,75.872893
2015-05-01,78.087234
2015-05-04,77.241017
2015-05-05,76.915780
2015-05-06,77.391718
2015-05-07,75.839036
2015-05-08,75.838904
2015-05-11,75.908730
2015-05-12,77.166331
2015-05-13,78.217110
2015-05-14,78.982142
2015-05-15,79.684850
2015-05-18,79.752824
2015-05-19,80.053305
2015-05-20,80.829383
2015-05-21,81.872760
2015-05-22,81.140849
2015-05-25,81.608233
2015-05-26,81.537293
2015-05-27,81.817033
2015-05-28,83.022266
2015-05-29,82.767091
2015-06-01,81.817730
2015-06-02,80.890457
2015-06-03,80.314799
2015-06-04,80.940347
2015-06-05,80.777935
2015-06-08,80.177954
2015-06-09,80.968805
2015-06-10,81.138581
2015-06-11,81.864408
2015-06-12,84.164485
2015-06-15,86.189988
2015-06-16,86.572145
2015-06-17,86.949479
2015-06-18,88.185052
2015-06-19,89.623434
2015-06-22,89.227021
2015-06-23,87.867445
2015-06-24,88.835009
2015-06-25,89.094358
2015-06-26,89.789049
2015-06-29,90.412473
2015-06-30,89.627505
2015-07-01,89.060468
2015-07-02,90.277858
2015-07-03,90.101445
2015-07-06,89.225694
2015-07-07,88.923729
2015-07-08,89.377436
2015-07-09,88.811797
2015-07-10,90.784441
2015-07-13,91.725637
2015-07-14,90.026697
2015-07-15,90.294586
2015-07-16,92.104470
2015-07-17,96.017654
2015-07-20,95.457406
2015-07-21,95.494727
2015-07-22,93.884191
2015-07-23,94.551956
2015-07-24,95.131642
2015-07-27,95.479264
2015-07-28,94.191361
2015-07-29,95.130607
2015-07-30,97.354884
2015-07-31,99.043621
2015-08-03,99.504577
2015-08-04,99.448886
2015-08-05,100.588806
2015-08-06,100.418143
2015-08-07,97.276651
2015-08-10,95.201486
2015-08-11,96.864480
2015-08-12,98.509418
2015-08-13,98.361717
2015-08-14,97.385203
2015-08-17,97.025176
2015-08-18,95.473318
2015-08-19,95.175919
2015-08-20,97.301692
2015-08-21,96.545460
2015-08-24,95.591594
2015-08-25,93.994126
