type	key	value
ig_buckets	list	1,2,3,4,5,6,7,8
hy_buckets	list	9,10,11,12,13,14,15
rating_same	factor	1.0
rating_different	factor	0.50
sector_map	1	1
sector_map	2	2
sector_map	3	3
sector_map	4	4
sector_map	5	5
sector_map	6	6
sector_map	7	7
sector_map	8	8
sector_map	9	1
sector_map	10	2
sector_map	11	3
sector_map	12	4
sector_map	13	5
sector_map	14	6
sector_map	15	7
sector_map	16	0
sector_map	17	17
sector_map	18	18
sector_corr	1|2	0.75
sector_corr	1|3	0.10
sector_corr	1|4	0.20
sector_corr	1|5	0.25
sector_corr	1|6	0.20
sector_corr	1|7	0.15
sector_corr	1|8	0.10
sector_corr	2|3	0.05
sector_corr	2|4	0.15
sector_corr	2|5	0.20
sector_corr	2|6	0.15
sector_corr	2|7	0.10
sector_corr	2|8	0.10
sector_corr	3|4	0.05
sector_corr	3|5	0.15
sector_corr	3|6	0.20
sector_corr	3|7	0.05
sector_corr	3|8	0.20
sector_corr	4|5	0.20
sector_corr	4|6	0.25
sector_corr	4|7	0.05
sector_corr	4|8	0.05
sector_corr	5|6	0.25
sector_corr	5|7	0.05
sector_corr	5|8	0.15
sector_corr	6|7	0.05
sector_corr	6|8	0.20
sector_corr	7|8	0.05
bucket_16_to_any	_	0.0
between_17_and_18	_	0.75
index_to_sector	_	0.45
