bucket	risk_weight	sector_description
1	0.005	Sovereigns (IG)
2	0.01	Qualified financials/covered bonds (IG)
3	0.05	Corporates - basic materials, energy (IG)
4	0.03	Corporates - consumer (IG)
5	0.03	Corporates - TMT (IG)
6	0.02	Corporates - transport (IG)
7	0.015	Corporates - utilities (IG)
8	0.025	Corporates - other (IG)
9	0.02	Sovereigns (HY/NR)
10	0.04	Qualified financials/covered bonds (HY/NR)
11	0.12	Corporates - basic materials, energy (HY/NR)
12	0.07	Corporates - consumer (HY/NR)
13	0.085	Corporates - TMT (HY/NR)
14	0.055	Corporates - transport (HY/NR)
15	0.05	Corporates - utilities (HY/NR)
16	0.12	Other sector (residual)
17	0.015	Indices/funds (IG rated)
18	0.05	Indices/funds (HY/NR rated)
