station_id,longitude_deg,latitude_deg,easting_m,northing_m
S001,132.0,0.0,0.0,0.0
S002,132.0,-27.0,0.0,-2926820.89
S003,140.0,0.0,966973.98,-30285.6
S004,140.0,-20.0,832799.36,-2170181.926
S005,140.0,-40.0,693250.21,-4395794.49
S006,140.0,-60.0,567313.29,-6404311.16
S007,140.0,-80.0,486878.674,-7687130.029
S008,120.0,-60.0,-850274.75,-6426505.13
S009,130.0,-60.0,-141915.26,-6387653.78
S010,150.0,-60.0,1273067.747,-6476375.276
S011,160.0,-60.0,1971026.26,-6603404.82
S012,170.0,-60.0,2656914.716,-6784621.89
