year,month,rpi
2022,1,317.7
2022,2,320.2
2022,3,323.5
2022,4,334.6
2022,5,337.1
2022,6,340.0
2022,7,343.2
2022,8,345.2
2022,9,347.6
2022,10,356.2
2022,11,358.3
2022,12,360.4
2023,1,360.3
2023,2,364.5
2023,3,367.2
2023,4,372.8
2023,5,375.3
2023,6,376.4
2023,7,374.2
2023,8,376.6
2023,9,378.4
2023,10,377.8
2023,11,377.3
2023,12,379.0
2024,1,378.0
2024,2,381.0
2024,3,383.0
2024,4,385.0
2024,5,386.4
2024,6,387.3
2024,7,387.5
2024,8,389.9
2024,9,388.6
2024,10,390.7
2024,11,390.9
2024,12,392.1
2025,1,391.7
2025,2,394.0
2025,3,395.3
2025,4,402.2
2025,5,402.9
2025,6,404.5
2025,7,406.2
2025,8,407.7
2025,9,406.1
2025,10,407.4
2025,11,405.6
2025,12,408.5
2026,1,406.4
2026,2,408.2
2026,3,411.4
2026,4,414.4
2026,5,415.3
