x,y,z,gz_mgal
200.0,200.0,50.0,0.01689306
200.0,527.3,50.0,0.02087864
200.0,854.5,50.0,0.02795366
200.0,1181.8,50.0,0.06741062
200.0,1509.1,50.0,0.01333714
200.0,1836.4,50.0,-0.08587574
200.0,2163.6,50.0,-0.04522854
200.0,2490.9,50.0,-0.13690975
200.0,2818.2,50.0,-0.18652508
200.0,3145.5,50.0,-0.19286372
200.0,3472.7,50.0,-0.17614556
200.0,3800.0,50.0,-0.09653030
527.3,200.0,50.0,0.07120636
527.3,527.3,50.0,0.05753017
527.3,854.5,50.0,0.03095791
527.3,1181.8,50.0,0.03047777
527.3,1509.1,50.0,0.09313750
527.3,1836.4,50.0,0.11644280
527.3,2163.6,50.0,-0.01576437
527.3,2490.9,50.0,-0.11847649
527.3,2818.2,50.0,-0.17317227
527.3,3145.5,50.0,-0.31498843
527.3,3472.7,50.0,-0.24746491
527.3,3800.0,50.0,-0.16324232
854.5,200.0,50.0,0.10054101
854.5,527.3,50.0,0.07194889
854.5,854.5,50.0,0.14155170
854.5,1181.8,50.0,0.18282833
854.5,1509.1,50.0,0.24819629
854.5,1836.4,50.0,0.14686905
854.5,2163.6,50.0,0.15061582
854.5,2490.9,50.0,-0.09358629
854.5,2818.2,50.0,-0.28904253
854.5,3145.5,50.0,-0.26829423
854.5,3472.7,50.0,-0.28810166
854.5,3800.0,50.0,-0.15485735
1181.8,200.0,50.0,0.11119735
1181.8,527.3,50.0,0.06286035
1181.8,854.5,50.0,0.24174882
1181.8,1181.8,50.0,0.26353585
1181.8,1509.1,50.0,0.44015406
1181.8,1836.4,50.0,0.49428632
1181.8,2163.6,50.0,0.43512076
1181.8,2490.9,50.0,0.26057908
1181.8,2818.2,50.0,0.02016120
1181.8,3145.5,50.0,-0.14055101
1181.8,3472.7,50.0,-0.16726368
1181.8,3800.0,50.0,-0.15175255
1509.1,200.0,50.0,0.06654155
1509.1,527.3,50.0,0.12810912
1509.1,854.5,50.0,0.26088130
1509.1,1181.8,50.0,0.51812741
1509.1,1509.1,50.0,0.76392682
1509.1,1836.4,50.0,1.08575999
1509.1,2163.6,50.0,0.86109534
1509.1,2490.9,50.0,0.53268695
1509.1,2818.2,50.0,0.25807094
1509.1,3145.5,50.0,0.05323223
1509.1,3472.7,50.0,-0.08787569
1509.1,3800.0,50.0,-0.08175201
1836.4,200.0,50.0,0.18268842
1836.4,527.3,50.0,0.18704452
1836.4,854.5,50.0,0.27433968
1836.4,1181.8,50.0,0.60250510
1836.4,1509.1,50.0,1.08720405
1836.4,1836.4,50.0,1.27107845
1836.4,2163.6,50.0,1.29614141
1836.4,2490.9,50.0,0.91472183
1836.4,2818.2,50.0,0.41362016
1836.4,3145.5,50.0,0.15838488
1836.4,3472.7,50.0,0.01119177
1836.4,3800.0,50.0,0.05422597
2163.6,200.0,50.0,0.14538953
2163.6,527.3,50.0,0.16600195
2163.6,854.5,50.0,0.32495927
2163.6,1181.8,50.0,0.59982637
2163.6,1509.1,50.0,1.10724905
2163.6,1836.4,50.0,1.34709042
2163.6,2163.6,50.0,1.33974933
2163.6,2490.9,50.0,1.00643741
2163.6,2818.2,50.0,0.47280816
2163.6,3145.5,50.0,0.18784726
2163.6,3472.7,50.0,-0.04117556
2163.6,3800.0,50.0,-0.06513200
2490.9,200.0,50.0,0.07821298
2490.9,527.3,50.0,0.19832472
2490.9,854.5,50.0,0.36562893
2490.9,1181.8,50.0,0.52713559
2490.9,1509.1,50.0,0.84622611
2490.9,1836.4,50.0,1.06803384
2490.9,2163.6,50.0,1.09379632
2490.9,2490.9,50.0,0.82110036
2490.9,2818.2,50.0,0.45815091
2490.9,3145.5,50.0,0.15853273
