chart,age,age_units,gender,measure,measure_units,L,M,S
who_2006_infant,0,months,m,weight,kg,0.3487,3.3464,0.14602
who_2006_infant,1,months,m,weight,kg,0.2297,4.4709,0.13395
who_2006_infant,2,months,m,weight,kg,0.197,5.5675,0.12385
who_2006_infant,3,months,m,weight,kg,0.1738,6.3762,0.11727
who_2006_infant,4,months,m,weight,kg,0.1553,7.0023,0.11316
who_2006_infant,5,months,m,weight,kg,0.1395,7.5105,0.1108
who_2006_infant,6,months,m,weight,kg,0.1257,7.934,0.10958
who_2006_infant,7,months,m,weight,kg,0.1134,8.297,0.10902
who_2006_infant,8,months,m,weight,kg,0.1021,8.6151,0.10882
who_2006_infant,9,months,m,weight,kg,0.0917,8.9014,0.10881
who_2006_infant,10,months,m,weight,kg,0.082,9.1649,0.10891
who_2006_infant,11,months,m,weight,kg,0.073,9.4122,0.10906
who_2006_infant,12,months,m,weight,kg,0.0644,9.6479,0.10925
who_2006_infant,13,months,m,weight,kg,0.0563,9.8749,0.10949
who_2006_infant,14,months,m,weight,kg,0.0487,10.0953,0.10976
who_2006_infant,15,months,m,weight,kg,0.0413,10.3108,0.11007
who_2006_infant,16,months,m,weight,kg,0.0343,10.5228,0.11041
who_2006_infant,17,months,m,weight,kg,0.0275,10.7319,0.11079
who_2006_infant,18,months,m,weight,kg,0.0211,10.9385,0.11119
who_2006_infant,19,months,m,weight,kg,0.0148,11.143,0.11164
who_2006_infant,20,months,m,weight,kg,0.0087,11.3462,0.11211
who_2006_infant,21,months,m,weight,kg,0.0029,11.5486,0.11261
who_2006_infant,22,months,m,weight,kg,-0.0028,11.7504,0.11314
who_2006_infant,23,months,m,weight,kg,-0.0083,11.9514,0.11369
who_2006_infant,24,months,m,weight,kg,-0.0137,12.1515,0.11426
who_2006_infant,0,months,f,weight,kg,0.3809,3.2322,0.14171
who_2006_infant,1,months,f,weight,kg,0.1714,4.1873,0.13724
who_2006_infant,2,months,f,weight,kg,0.0962,5.1282,0.13
who_2006_infant,3,months,f,weight,kg,0.0402,5.8458,0.12619
who_2006_infant,4,months,f,weight,kg,-0.005,6.4237,0.12402
who_2006_infant,5,months,f,weight,kg,-0.043,6.8985,0.12274
who_2006_infant,6,months,f,weight,kg,-0.0756,7.297,0.12204
who_2006_infant,7,months,f,weight,kg,-0.1039,7.6422,0.12178
who_2006_infant,8,months,f,weight,kg,-0.1288,7.9487,0.12181
who_2006_infant,9,months,f,weight,kg,-0.1507,8.2254,0.12199
who_2006_infant,10,months,f,weight,kg,-0.17,8.48,0.12223
who_2006_infant,11,months,f,weight,kg,-0.1872,8.7192,0.12247
who_2006_infant,12,months,f,weight,kg,-0.2024,8.9481,0.12268
who_2006_infant,13,months,f,weight,kg,-0.2158,9.1699,0.12283
who_2006_infant,14,months,f,weight,kg,-0.2278,9.387,0.12294
who_2006_infant,15,months,f,weight,kg,-0.2384,9.6008,0.12299
who_2006_infant,16,months,f,weight,kg,-0.2478,9.8124,0.12303
who_2006_infant,17,months,f,weight,kg,-0.2562,10.0226,0.12306
who_2006_infant,18,months,f,weight,kg,-0.2637,10.2315,0.12309
who_2006_infant,19,months,f,weight,kg,-0.2703,10.4393,0.12315
who_2006_infant,20,months,f,weight,kg,-0.2762,10.6464,0.12323
who_2006_infant,21,months,f,weight,kg,-0.2815,10.8534,0.12335
who_2006_infant,22,months,f,weight,kg,-0.2862,11.0608,0.1235
who_2006_infant,23,months,f,weight,kg,-0.2903,11.2688,0.12369
who_2006_infant,24,months,f,weight,kg,-0.2941,11.4775,0.1239
who_2006_infant,0,months,m,head_circ,cm,1,34.4618,0.03686
who_2006_infant,1,months,m,head_circ,cm,1,37.2759,0.03133
who_2006_infant,2,months,m,head_circ,cm,1,39.1285,0.02997
who_2006_infant,3,months,m,head_circ,cm,1,40.5135,0.02918
who_2006_infant,4,months,m,head_circ,cm,1,41.6317,0.02868
who_2006_infant,5,months,m,head_circ,cm,1,42.5576,0.02837
who_2006_infant,6,months,m,head_circ,cm,1,43.3306,0.02817
who_2006_infant,7,months,m,head_circ,cm,1,43.9803,0.02804
who_2006_infant,8,months,m,head_circ,cm,1,44.53,0.02796
who_2006_infant,9,months,m,head_circ,cm,1,44.9998,0.02792
who_2006_infant,10,months,m,head_circ,cm,1,45.4051,0.0279
who_2006_infant,11,months,m,head_circ,cm,1,45.7573,0.02789
who_2006_infant,12,months,m,head_circ,cm,1,46.0661,0.02789
who_2006_infant,13,months,m,head_circ,cm,1,46.3395,0.02789
who_2006_infant,14,months,m,head_circ,cm,1,46.5844,0.02791
who_2006_infant,15,months,m,head_circ,cm,1,46.806,0.02792
who_2006_infant,16,months,m,head_circ,cm,1,47.0088,0.02795
who_2006_infant,17,months,m,head_circ,cm,1,47.1962,0.02797
who_2006_infant,18,months,m,head_circ,cm,1,47.3711,0.028
who_2006_infant,19,months,m,head_circ,cm,1,47.5357,0.02803
who_2006_infant,20,months,m,head_circ,cm,1,47.6919,0.02806
who_2006_infant,21,months,m,head_circ,cm,1,47.8408,0.0281
who_2006_infant,22,months,m,head_circ,cm,1,47.9833,0.02813
who_2006_infant,23,months,m,head_circ,cm,1,48.1201,0.02817
who_2006_infant,24,months,m,head_circ,cm,1,48.2515,0.02821
who_2006_infant,0,months,f,head_circ,cm,1,33.8787,0.03496
who_2006_infant,1,months,f,head_circ,cm,1,36.5463,0.0321
who_2006_infant,2,months,f,head_circ,cm,1,38.2521,0.03168
who_2006_infant,3,months,f,head_circ,cm,1,39.5328,0.0314
who_2006_infant,4,months,f,head_circ,cm,1,40.5817,0.03119
who_2006_infant,5,months,f,head_circ,cm,1,41.459,0.03102
who_2006_infant,6,months,f,head_circ,cm,1,42.1995,0.03087
who_2006_infant,7,months,f,head_circ,cm,1,42.829,0.03075
who_2006_infant,8,months,f,head_circ,cm,1,43.3671,0.03063
who_2006_infant,9,months,f,head_circ,cm,1,43.83,0.03053
who_2006_infant,10,months,f,head_circ,cm,1,44.2319,0.03044
who_2006_infant,11,months,f,head_circ,cm,1,44.5844,0.03035
who_2006_infant,12,months,f,head_circ,cm,1,44.8965,0.03027
who_2006_infant,13,months,f,head_circ,cm,1,45.1752,0.03019
who_2006_infant,14,months,f,head_circ,cm,1,45.4265,0.03012
who_2006_infant,15,months,f,head_circ,cm,1,45.6551,0.03006
who_2006_infant,16,months,f,head_circ,cm,1,45.865,0.02999
who_2006_infant,17,months,f,head_circ,cm,1,46.0598,0.02993
who_2006_infant,18,months,f,head_circ,cm,1,46.2424,0.02987
who_2006_infant,19,months,f,head_circ,cm,1,46.4152,0.02982
who_2006_infant,20,months,f,head_circ,cm,1,46.5801,0.02977
who_2006_infant,21,months,f,head_circ,cm,1,46.7384,0.02972
who_2006_infant,22,months,f,head_circ,cm,1,46.8913,0.02967
who_2006_infant,23,months,f,head_circ,cm,1,47.0391,0.02962
who_2006_infant,24,months,f,head_circ,cm,1,47.1822,0.02957
who_2006_infant,0,months,m,length,cm,1,49.8842,0.03795
who_2006_infant,1,months,m,length,cm,1,54.7244,0.03557
who_2006_infant,2,months,m,length,cm,1,58.4249,0.03424
who_2006_infant,3,months,m,length,cm,1,61.4292,0.03328
who_2006_infant,4,months,m,length,cm,1,63.886,0.03257
who_2006_infant,5,months,m,length,cm,1,65.9026,0.03204
who_2006_infant,6,months,m,length,cm,1,67.6236,0.03165
who_2006_infant,7,months,m,length,cm,1,69.1645,0.03139
who_2006_infant,8,months,m,length,cm,1,70.5994,0.03124
who_2006_infant,9,months,m,length,cm,1,71.9687,0.03117
who_2006_infant,10,months,m,length,cm,1,73.2812,0.03118
who_2006_infant,11,months,m,length,cm,1,74.5388,0.03125
who_2006_infant,12,months,m,length,cm,1,75.7488,0.03137
who_2006_infant,13,months,m,length,cm,1,76.9186,0.03154
who_2006_infant,14,months,m,length,cm,1,78.0497,0.03174
who_2006_infant,15,months,m,length,cm,1,79.1458,0.03197
who_2006_infant,16,months,m,length,cm,1,80.2113,0.03222
who_2006_infant,17,months,m,length,cm,1,81.2487,0.0325
who_2006_infant,18,months,m,length,cm,1,82.2587,0.03279
who_2006_infant,19,months,m,length,cm,1,83.2418,0.0331
who_2006_infant,20,months,m,length,cm,1,84.1996,0.03342
who_2006_infant,21,months,m,length,cm,1,85.1348,0.03376
who_2006_infant,22,months,m,length,cm,1,86.0477,0.0341
who_2006_infant,23,months,m,length,cm,1,86.941,0.03445
who_2006_infant,24,months,m,length,cm,1,87.8161,0.03479
who_2006_infant,0,months,f,length,cm,1,49.1477,0.0379
who_2006_infant,1,months,f,length,cm,1,53.6872,0.0364
who_2006_infant,2,months,f,length,cm,1,57.0673,0.03568
who_2006_infant,3,months,f,length,cm,1,59.8029,0.0352
who_2006_infant,4,months,f,length,cm,1,62.0899,0.03486
who_2006_infant,5,months,f,length,cm,1,64.0301,0.03463
who_2006_infant,6,months,f,length,cm,1,65.7311,0.03448
who_2006_infant,7,months,f,length,cm,1,67.2873,0.03441
who_2006_infant,8,months,f,length,cm,1,68.7498,0.0344
who_2006_infant,9,months,f,length,cm,1,70.1435,0.03444
who_2006_infant,10,months,f,length,cm,1,71.4818,0.03452
who_2006_infant,11,months,f,length,cm,1,72.771,0.03464
who_2006_infant,12,months,f,length,cm,1,74.015,0.03479
who_2006_infant,13,months,f,length,cm,1,75.2176,0.03496
who_2006_infant,14,months,f,length,cm,1,76.3817,0.03514
who_2006_infant,15,months,f,length,cm,1,77.5099,0.03534
who_2006_infant,16,months,f,length,cm,1,78.6055,0.03555
who_2006_infant,17,months,f,length,cm,1,79.671,0.03576
who_2006_infant,18,months,f,length,cm,1,80.7079,0.03598
who_2006_infant,19,months,f,length,cm,1,81.7182,0.0362
who_2006_infant,20,months,f,length,cm,1,82.7036,0.03643
who_2006_infant,21,months,f,length,cm,1,83.6654,0.03666
who_2006_infant,22,months,f,length,cm,1,84.604,0.03688
who_2006_infant,23,months,f,length,cm,1,85.5202,0.03711
who_2006_infant,24,months,f,length,cm,1,86.4153,0.03734
cdc_2000_infant,0,months,m,weight,kg,1.815151075,3.530203168,0.152385273
cdc_2000_infant,0.5,months,m,weight,kg,1.547523128,4.003106424,0.146025021
cdc_2000_infant,1.5,months,m,weight,kg,1.068795548,4.879525083,0.136478767
cdc_2000_infant,2.5,months,m,weight,kg,0.695973505,5.672888765,0.129677511
cdc_2000_infant,3.5,months,m,weight,kg,0.41981509,6.391391982,0.124717085
cdc_2000_infant,4.5,months,m,weight,kg,0.219866801,7.041836432,0.121040119
