seq_id,timestamp_ns,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,temp_c,status
0,0,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
1,5000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
2,10000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
3,15000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
4,20000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
5,25000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
6,30000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
7,35000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
8,40000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
9,45000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
10,50000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
11,55000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
12,60000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
13,65000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
14,70000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
15,75000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
16,80000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
17,85000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
18,90000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
19,95000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
20,100000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
21,105000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
22,110000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
23,115000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
24,120000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
25,125000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
26,130000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
27,135000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
28,140000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
29,145000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
30,150000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
31,155000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
32,160000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
33,165000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
34,170000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
35,175000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
36,180000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
37,185000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
38,190000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
39,195000000,0.21500,-0.12800,0.18500,0.34000,-0.52500,9.66500,25.3,1
