entity_id,year,tentative_taxable_income,business_interest_expense,business_interest_income,floor_plan_financing_interest,depreciation,amortization,depletion,nol_deduction,section_199a_deduction,capital_loss_carryover
corp_alpha,2021,80.0,50.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
corp_beta,2021,50.0,80.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
corp_beta,2022,90.0,40.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
corp_gamma,2020,30.0,50.0,20.0,10.0,15.0,0.0,0.0,25.0,0.0,0.0
corp_gamma,2023,30.0,50.0,20.0,10.0,15.0,0.0,0.0,25.0,0.0,0.0
prs,2021,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prs,2022,170.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prs_two,2019,100.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
prs_two,2021,180.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partner_x,2021,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partner_x,2022,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partner_y,2021,-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
partner_y,2022,-20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corp_delta,2019,100.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corp_delta,2021,100.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indiv_phi,2019,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indiv_phi,2021,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
