Topic: payments	TopicId: e5Kqr3QxT0GGBL9KidZ7vg	PartitionCount: 12	ReplicationFactor: 3	Configs: retention.ms=604800000,min.insync.replicas=2,segment.bytes=1073741824
	Topic: payments	Partition: 0	Leader: 0	Replicas: 0,1,2	Isr: 0,1,2
	Topic: payments	Partition: 1	Leader: 1	Replicas: 1,2,3	Isr: 1,2,3
	Topic: payments	Partition: 2	Leader: 2	Replicas: 2,0,3	Isr: 2,0,3
	Topic: payments	Partition: 3	Leader: 3	Replicas: 3,1,0	Isr: 3,1,0
	Topic: payments	Partition: 4	Leader: 0	Replicas: 0,3,2	Isr: 0,3,2
	Topic: payments	Partition: 5	Leader: 1	Replicas: 1,0,3	Isr: 1,0,3
	Topic: payments	Partition: 6	Leader: 2	Replicas: 2,3,1	Isr: 2,3,1
	Topic: payments	Partition: 7	Leader: 3	Replicas: 3,0,2	Isr: 3,0,2
	Topic: payments	Partition: 8	Leader: 0	Replicas: 0,2,1	Isr: 0,2,1
	Topic: payments	Partition: 9	Leader: 1	Replicas: 1,3,2	Isr: 1,3,2
	Topic: payments	Partition: 10	Leader: 2	Replicas: 2,0,3	Isr: 2,0,3
	Topic: payments	Partition: 11	Leader: 3	Replicas: 3,1,0	Isr: 3,1,0
Topic: user_events	TopicId: Lm2nP8RqS4KfHjXwYz1aBc	PartitionCount: 8	ReplicationFactor: 3	Configs: retention.ms=259200000,min.insync.replicas=2,cleanup.policy=delete
	Topic: user_events	Partition: 0	Leader: 0	Replicas: 0,2,3	Isr: 0,2,3
	Topic: user_events	Partition: 1	Leader: 1	Replicas: 1,3,0	Isr: 1,3,0
	Topic: user_events	Partition: 2	Leader: 0	Replicas: 0,1,2	Isr: 0,1,2
	Topic: user_events	Partition: 3	Leader: 3	Replicas: 3,2,1	Isr: 3,2,1
	Topic: user_events	Partition: 4	Leader: 2	Replicas: 2,0,1	Isr: 2,0,1
	Topic: user_events	Partition: 5	Leader: 1	Replicas: 1,3,2	Isr: 1,3,2
	Topic: user_events	Partition: 6	Leader: 0	Replicas: 0,1,3	Isr: 0,1,3
	Topic: user_events	Partition: 7	Leader: 3	Replicas: 3,2,0	Isr: 3,2,0
Topic: page_views	TopicId: Qw7rT9VxU3MnBhDfGj5kLp	PartitionCount: 24	ReplicationFactor: 2	Configs: retention.ms=86400000,min.insync.replicas=1,cleanup.policy=delete
	Topic: page_views	Partition: 0	Leader: 0	Replicas: 0,1	Isr: 0,1
	Topic: page_views	Partition: 1	Leader: 2	Replicas: 2,3	Isr: 2,3
	Topic: page_views	Partition: 2	Leader: 0	Replicas: 0,2	Isr: 0,2
	Topic: page_views	Partition: 3	Leader: 1	Replicas: 1,3	Isr: 1,3
	Topic: page_views	Partition: 4	Leader: 0	Replicas: 0,3	Isr: 0,3
	Topic: page_views	Partition: 5	Leader: 1	Replicas: 1,2	Isr: 1,2
	Topic: page_views	Partition: 6	Leader: 2	Replicas: 2,0	Isr: 2,0
	Topic: page_views	Partition: 7	Leader: 3	Replicas: 3,1	Isr: 3,1
	Topic: page_views	Partition: 8	Leader: 0	Replicas: 0,2	Isr: 0,2
	Topic: page_views	Partition: 9	Leader: 1	Replicas: 1,3	Isr: 1,3
	Topic: page_views	Partition: 10	Leader: 2	Replicas: 2,1	Isr: 2,1
	Topic: page_views	Partition: 11	Leader: 3	Replicas: 3,0	Isr: 3,0
	Topic: page_views	Partition: 12	Leader: 0	Replicas: 0,1	Isr: 0,1
	Topic: page_views	Partition: 13	Leader: 2	Replicas: 2,3	Isr: 2,3
	Topic: page_views	Partition: 14	Leader: 1	Replicas: 1,0	Isr: 1,0
	Topic: page_views	Partition: 15	Leader: 3	Replicas: 3,2	Isr: 3,2
	Topic: page_views	Partition: 16	Leader: 0	Replicas: 0,3	Isr: 0,3
	Topic: page_views	Partition: 17	Leader: 1	Replicas: 1,2	Isr: 1,2
	Topic: page_views	Partition: 18	Leader: 2	Replicas: 2,0	Isr: 2,0
	Topic: page_views	Partition: 19	Leader: 3	Replicas: 3,1	Isr: 3,1
	Topic: page_views	Partition: 20	Leader: 0	Replicas: 0,2	Isr: 0,2
	Topic: page_views	Partition: 21	Leader: 1	Replicas: 1,3	Isr: 1,3
	Topic: page_views	Partition: 22	Leader: 2	Replicas: 2,1	Isr: 2,1
	Topic: page_views	Partition: 23	Leader: 3	Replicas: 3,0	Isr: 3,0
Topic: notifications	TopicId: Xc4dE6FgH8IjKlMnOpQrSt	PartitionCount: 6	ReplicationFactor: 3	Configs: retention.ms=172800000,min.insync.replicas=2,segment.bytes=536870912
	Topic: notifications	Partition: 0	Leader: 0	Replicas: 0,2,1	Isr: 0,2,1
	Topic: notifications	Partition: 1	Leader: 1	Replicas: 1,3,2	Isr: 1,3,2
	Topic: notifications	Partition: 2	Leader: 2	Replicas: 2,0,3	Isr: 2,0,3
	Topic: notifications	Partition: 3	Leader: 3	Replicas: 3,1,0	Isr: 3,1,0
	Topic: notifications	Partition: 4	Leader: 0	Replicas: 0,3,1	Isr: 0,3,1
	Topic: notifications	Partition: 5	Leader: 2	Replicas: 2,1,3	Isr: 2,1,3
Topic: audit_log	TopicId: Uv2wX4YzA6BcDeFgHiJkLm	PartitionCount: 16	ReplicationFactor: 2	Configs: retention.ms=-1,min.insync.replicas=1,cleanup.policy=compact
	Topic: audit_log	Partition: 0	Leader: 0	Replicas: 0,2	Isr: 0,2
	Topic: audit_log	Partition: 1	Leader: 1	Replicas: 1,3	Isr: 1,3
	Topic: audit_log	Partition: 2	Leader: 2	Replicas: 2,0	Isr: 2,0
	Topic: audit_log	Partition: 3	Leader: 3	Replicas: 3,1	Isr: 3,1
	Topic: audit_log	Partition: 4	Leader: 0	Replicas: 0,1	Isr: 0,1
	Topic: audit_log	Partition: 5	Leader: 2	Replicas: 2,3	Isr: 2,3
	Topic: audit_log	Partition: 6	Leader: 1	Replicas: 1,0	Isr: 1,0
	Topic: audit_log	Partition: 7	Leader: 3	Replicas: 3,2	Isr: 3,2
	Topic: audit_log	Partition: 8	Leader: 0	Replicas: 0,3	Isr: 0,3
	Topic: audit_log	Partition: 9	Leader: 1	Replicas: 1,2	Isr: 1,2
	Topic: audit_log	Partition: 10	Leader: 2	Replicas: 2,1	Isr: 2,1
	Topic: audit_log	Partition: 11	Leader: 3	Replicas: 3,0	Isr: 3,0
	Topic: audit_log	Partition: 12	Leader: 0	Replicas: 0,2	Isr: 0,2
	Topic: audit_log	Partition: 13	Leader: 1	Replicas: 1,3	Isr: 1,3
	Topic: audit_log	Partition: 14	Leader: 2	Replicas: 2,0	Isr: 2,0
	Topic: audit_log	Partition: 15	Leader: 3	Replicas: 3,1	Isr: 3,1
