# tracer: nop
#
# entries-in-buffer/entries-written: 660/660   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                             || / _--=> preempt-depth
#                             ||| / _-=> migrate-disable
#                            |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
      swapper/9-0 [009] d..1.   1000.000000: sched_switch: prev_comm=swapper/9 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Input next_pid=1004 next_prio=120
       Input-1004 [009] d..1.   1000.000822: sched_wakeup: comm=GameLoop pid=1000 prio=120 target_cpu=008
       Input-1004 [009] d..1.   1000.000827: sched_switch: prev_comm=Input prev_pid=1004 prev_prio=120 prev_state=S ==> next_comm=swapper/9 next_pid=0 next_prio=120
      swapper/8-0 [008] d..1.   1000.000837: sched_switch: prev_comm=swapper/8 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=GameLoop next_pid=1000 next_prio=120
    GameLoop-1000 [008] d..1.   1000.004473: sched_wakeup: comm=Physics pid=1001 prio=120 target_cpu=004
    GameLoop-1000 [008] d..1.   1000.004478: sched_wakeup: comm=AI pid=1005 prio=120 target_cpu=001
    GameLoop-1000 [008] d..1.   1000.004483: sched_wakeup: comm=Audio pid=1003 prio=120 target_cpu=007
    GameLoop-1000 [008] d..1.   1000.004488: sched_wakeup: comm=NetSend pid=1006 prio=120 target_cpu=008
    GameLoop-1000 [008] d..1.   1000.004493: sched_switch: prev_comm=GameLoop prev_pid=1000 prev_prio=120 prev_state=S ==> next_comm=swapper/8 next_pid=0 next_prio=120
      swapper/4-0 [004] d..1.   1000.004503: sched_switch: prev_comm=swapper/4 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Physics next_pid=1001 next_prio=120
      swapper/1-0 [001] d..1.   1000.004503: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=AI next_pid=1005 next_prio=120
      swapper/7-0 [007] d..1.   1000.004503: sched_switch: prev_comm=swapper/7 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=Audio next_pid=1003 next_prio=120
