Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
150.00	1.0000	1.3230	0.75583	8.2899	9.5186	83.588	25.188	33.981	319.00	2.8642	5.8185	0.015773	vapor
200.00	1.0000	0.98382	1.0164	9.5568	11.209	93.316	25.260	33.787	369.96	1.6943	7.6974	0.021649	vapor
250.00	1.0000	0.78454	1.2746	10.839	12.911	100.91	25.981	34.416	412.95	1.1294	9.4711	0.027648	vapor
300.00	1.0000	0.65281	1.5319	12.174	14.664	107.30	27.479	35.870	449.74	0.78819	11.136	0.034215	vapor
350.00	1.0000	0.55911	1.7886	13.602	16.509	112.98	29.658	38.026	481.81	0.56279	12.700	0.041582	vapor
400.00	1.0000	0.48900	2.0450	15.151	18.475	118.23	32.300	40.653	510.56	0.40843	14.176	0.049780	vapor
450.00	1.0000	0.43454	2.3013	16.838	20.579	123.18	35.196	43.539	537.03	0.30043	15.574	0.058717	vapor
500.00	1.0000	0.39102	2.5574	18.673	22.831	127.92	38.196	46.533	561.86	0.22333	16.904	0.068265	vapor
550.00	1.0000	0.35543	2.8135	20.659	25.232	132.50	41.209	49.541	585.45	0.16714	18.176	0.078307	vapor
600.00	1.0000	0.32579	3.0695	22.794	27.784	136.94	44.179	52.509	608.04	0.12533	19.395	0.088743	vapor
