Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
250.00	1.0000	2.1649	0.46192	18.448	20.508	114.03	26.769	35.436	247.78	3.1733	12.581	0.013052	vapor
300.00	1.0000	1.7966	0.55660	19.849	22.331	120.68	29.018	37.524	269.38	1.9627	15.003	0.016774	vapor
350.00	1.0000	1.5369	0.65067	21.358	24.259	126.62	31.135	39.569	289.03	1.3368	17.360	0.020692	vapor
400.00	1.0000	1.3433	0.74444	22.966	26.285	132.03	33.051	41.447	307.28	0.96926	19.635	0.024718	vapor
450.00	1.0000	1.1932	0.83806	24.664	28.401	137.01	34.776	43.149	324.41	0.73340	21.823	0.028794	vapor
500.00	1.0000	1.0735	0.93157	26.443	30.598	141.64	36.331	44.690	340.62	0.57186	23.924	0.032877	vapor
550.00	1.0000	0.97559	1.0250	28.297	32.868	145.96	37.741	46.090	356.06	0.45565	25.939	0.036939	vapor
600.00	1.0000	0.89412	1.1184	30.217	35.204	150.03	39.023	47.365	370.83	0.36879	27.875	0.040960	vapor
650.00	1.0000	0.82523	1.2118	32.199	37.602	153.87	40.192	48.529	385.01	0.30186	29.738	0.044928	vapor
700.00	1.0000	0.76621	1.3051	34.236	40.056	157.50	41.260	49.594	398.68	0.24901	31.533	0.048833	vapor
750.00	1.0000	0.71507	1.3985	36.324	42.560	160.96	42.236	50.567	411.89	0.20640	33.266	0.052671	vapor
800.00	1.0000	0.67035	1.4918	38.459	45.111	164.25	43.128	51.457	424.69	0.17146	34.943	0.056437	vapor
850.00	1.0000	0.63089	1.5851	40.636	47.705	167.39	43.944	52.271	437.11	0.14236	36.569	0.060131	vapor
900.00	1.0000	0.59582	1.6784	42.853	50.337	170.40	44.691	53.016	449.19	0.11783	38.148	0.063752	vapor
950.00	1.0000	0.56445	1.7716	45.105	53.005	173.29	45.374	53.698	460.96	0.096896	39.685	0.067301	vapor
1000.0	1.0000	0.53622	1.8649	47.390	55.706	176.06	46.000	54.322	472.44	0.078863	41.182	0.070780	vapor
