Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	50.000	12.195	0.082000	1.6621	2.4995	45.226	14.577	25.568	866.10	0.15224	4.5220	0.080856	supercritical
200.00	50.000	5.9287	0.16867	3.4372	5.1598	63.560	19.092	27.919	1138.9	-0.014119	6.8598	0.13990	supercritical
300.00	50.000	3.9754	0.25155	5.4557	8.0247	75.160	20.616	29.110	1361.6	-0.059864	8.9828	0.19199	supercritical
400.00	50.000	2.9983	0.33352	7.5438	10.950	83.574	20.934	29.321	1557.0	-0.081122	10.926	0.23560	supercritical
500.00	50.000	2.4087	0.41517	9.6428	13.883	90.119	20.990	29.332	1731.4	-0.093048	12.742	0.27506	supercritical
600.00	50.000	2.0135	0.49666	11.745	16.818	95.469	21.055	29.376	1889.3	-0.10005	14.463	0.31276	supercritical
700.00	50.000	1.7299	0.57807	13.857	19.760	100.01	21.179	29.489	2033.7	-0.10410	16.108	0.34991	supercritical
800.00	50.000	1.5164	0.65944	15.983	22.718	103.95	21.368	29.671	2167.3	-0.10626	17.692	0.38720	supercritical
900.00	50.000	1.3499	0.74079	18.131	25.697	107.46	21.620	29.920	2291.5	-0.10714	19.224	0.42499	supercritical
1000.0	50.000	1.2164	0.82213	20.308	28.704	110.63	21.930	30.228	2407.8	-0.10710	20.709	0.46347	supercritical
