Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	1.0000	3.4831	0.28710	2.0392	2.8541	159.39	21.053	30.025	201.61	2.9336	6.9588	0.0093820	vapor
150.00	1.0000	2.2893	0.43681	3.0943	4.3342	171.40	20.847	29.374	248.99	1.4151	10.080	0.014005	vapor
200.00	1.0000	1.7107	0.58457	4.1394	5.7987	179.82	20.815	29.232	288.10	0.85327	12.911	0.018280	vapor
250.00	1.0000	1.3666	0.73172	5.1819	7.2589	186.34	20.809	29.183	322.33	0.56299	15.500	0.022251	vapor
300.00	1.0000	1.1382	0.87861	6.2237	8.7176	191.66	20.819	29.172	353.16	0.38658	17.890	0.025969	vapor
350.00	1.0000	0.97527	1.0254	7.2663	10.177	196.16	20.857	29.198	381.40	0.26841	20.117	0.029476	vapor
400.00	1.0000	0.85323	1.1720	8.3115	11.638	200.06	20.939	29.273	407.51	0.18400	22.208	0.032806	vapor
450.00	1.0000	0.75836	1.3186	9.3621	13.105	203.52	21.075	29.405	431.84	0.12099	24.185	0.035988	vapor
500.00	1.0000	0.68250	1.4652	10.421	14.580	206.62	21.268	29.594	454.60	0.072501	26.063	0.039043	vapor
550.00	1.0000	0.62044	1.6118	11.490	16.065	209.46	21.512	29.835	476.02	0.034373	27.857	0.041989	vapor
600.00	1.0000	0.56873	1.7583	12.573	17.564	212.06	21.796	30.118	496.27	0.0039139	29.577	0.044841	vapor
650.00	1.0000	0.52499	1.9048	13.671	19.078	214.49	22.110	30.431	515.51	-0.020723	31.233	0.047610	vapor
700.00	1.0000	0.48749	2.0513	14.785	20.607	216.75	22.442	30.761	533.88	-0.040861	32.833	0.050306	vapor
750.00	1.0000	0.45500	2.1978	15.915	22.154	218.89	22.781	31.100	551.49	-0.057473	34.382	0.052939	vapor
800.00	1.0000	0.42656	2.3443	17.063	23.717	220.91	23.121	31.439	568.44	-0.071296	35.887	0.055514	vapor
850.00	1.0000	0.40148	2.4908	18.228	25.298	222.82	23.455	31.773	584.82	-0.082892	37.351	0.058040	vapor
900.00	1.0000	0.37918	2.6373	19.408	26.894	224.65	23.779	32.096	600.69	-0.092694	38.780	0.060520	vapor
950.00	1.0000	0.35922	2.7838	20.605	28.507	226.39	24.090	32.407	616.10	-0.10104	40.176	0.062960	vapor
1000.0	1.0000	0.34127	2.9303	21.817	30.135	228.06	24.386	32.703	631.11	-0.10820	41.543	0.065363	vapor
