Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
100.00	1.0000	3.9946	0.25034	2.0350	2.8467	172.85	20.888	29.938	188.33	3.3717	7.7122	0.0090872	vapor
150.00	1.0000	2.6190	0.38183	3.0916	4.3296	184.89	20.876	29.432	232.68	1.6594	11.375	0.013782	vapor
200.00	1.0000	1.9557	0.51132	4.1383	5.7961	193.32	20.840	29.267	269.33	1.0057	14.718	0.018239	vapor
250.00	1.0000	1.5620	0.64020	5.1835	7.2592	199.85	20.900	29.280	301.25	0.68019	17.795	0.022464	vapor
300.00	1.0000	1.3007	0.76882	6.2337	8.7264	205.20	21.079	29.435	329.72	0.48386	20.652	0.026486	vapor
350.00	1.0000	1.1144	0.89731	7.2957	10.205	209.76	21.385	29.729	355.48	0.35230	23.324	0.030333	vapor
400.00	1.0000	0.97492	1.0257	8.3755	11.701	213.76	21.796	30.132	379.05	0.25875	25.840	0.034029	vapor
450.00	1.0000	0.86649	1.1541	9.4775	13.219	217.33	22.274	30.604	400.86	0.18974	28.221	0.037594	vapor
500.00	1.0000	0.77978	1.2824	10.604	14.762	220.58	22.781	31.108	421.27	0.13749	30.486	0.041046	vapor
550.00	1.0000	0.70886	1.4107	11.756	16.330	223.57	23.290	31.614	440.54	0.097096	32.651	0.044398	vapor
600.00	1.0000	0.64977	1.5390	12.933	17.923	226.34	23.781	32.103	458.88	0.065296	34.727	0.047663	vapor
650.00	1.0000	0.59978	1.6673	14.134	19.540	228.93	24.243	32.564	476.43	0.039849	36.725	0.050849	vapor
700.00	1.0000	0.55693	1.7955	15.357	21.179	231.36	24.672	32.992	493.31	0.019180	38.653	0.053966	vapor
750.00	1.0000	0.51980	1.9238	16.601	22.839	233.65	25.066	33.385	509.60	0.0021626	40.520	0.057021	vapor
800.00	1.0000	0.48732	2.0521	17.864	24.517	235.82	25.425	33.743	525.38	-0.012024	42.331	0.060019	vapor
850.00	1.0000	0.45865	2.1803	19.143	26.212	237.87	25.751	34.069	540.70	-0.023984	44.091	0.062966	vapor
900.00	1.0000	0.43317	2.3085	20.438	27.923	239.83	26.048	34.365	555.60	-0.034169	45.806	0.065867	vapor
950.00	1.0000	0.41038	2.4368	21.748	29.648	241.69	26.317	34.634	570.11	-0.042923	47.480	0.068726	vapor
1000.0	1.0000	0.38986	2.5650	23.070	31.386	243.48	26.563	34.880	584.26	-0.050509	49.116	0.071546	vapor
