gene_id,expression
GENE_001,10.82
GENE_002,5.548
GENE_003,15.468
GENE_004,11.824
GENE_005,8.327
GENE_006,6.516
GENE_007,12.467
GENE_008,4.025
GENE_009,8.92
GENE_010,19.298
GENE_011,1.714
GENE_012,1.838
GENE_013,0.1
GENE_014,7.938
GENE_015,2.804
GENE_016,3.723
GENE_017,2.523
GENE_018,16.356
GENE_019,11.377
GENE_020,4.454
GENE_021,8.033
GENE_022,5.496
GENE_023,4.355
GENE_024,12.432
GENE_025,16.668
GENE_026,10.287
GENE_027,3.023
GENE_028,6.535
GENE_029,3.235
GENE_030,0.1
GENE_031,7.253
GENE_032,13.466
GENE_033,0.1
GENE_034,14.572
GENE_035,13.8
GENE_036,4.807
GENE_037,8.101
GENE_038,9.323
GENE_039,7.793
GENE_040,26.494
GENE_041,0.1
GENE_042,16.441
GENE_043,14.556
GENE_044,0.1
GENE_045,5.98
GENE_046,5.745
GENE_047,10.291
GENE_048,11.364
GENE_049,7.819
GENE_050,5.246
GENE_051,5.21
GENE_052,0.1
GENE_053,12.582
GENE_054,19.296
GENE_055,13.193
GENE_056,5.474
GENE_057,11.26
GENE_058,10.509
GENE_059,4.923
GENE_060,12.498
GENE_061,18.872
GENE_062,13.588
GENE_063,13.84
GENE_064,15.071
GENE_065,0.1
GENE_066,4.806
GENE_067,7.88
GENE_068,10.645
GENE_069,6.217
GENE_070,11.054
GENE_071,17.809
GENE_072,11.657
GENE_073,11.023
GENE_074,9.576
GENE_075,7.513
GENE_076,11.446
GENE_077,3.624
GENE_078,4.561
GENE_079,0.395
GENE_080,13.411
GENE_081,8.916
GENE_082,5.713
GENE_083,11.574
GENE_084,11.942
GENE_085,9.023
GENE_086,3.994
GENE_087,13.546
GENE_088,13.381
GENE_089,11.747
GENE_090,0.1
GENE_091,6.915
GENE_092,9.821
GENE_093,6.792
GENE_094,5.463
GENE_095,19.17
GENE_096,18.967
GENE_097,12.538
GENE_098,14.758
GENE_099,20.827
GENE_100,7.923
GENE_101,1.678
GENE_102,4.867
GENE_103,3.089
GENE_104,9.352
GENE_105,13.17
GENE_106,3.737
GENE_107,10.833
GENE_108,0.1
GENE_109,10.704
GENE_110,0.1
GENE_111,2.433
GENE_112,8.169
GENE_113,5.877
GENE_114,7.575
GENE_115,6.845
GENE_116,2.52
GENE_117,4.167
GENE_118,3.357
GENE_119,1.987
GENE_120,5.945
GENE_121,10.038
GENE_122,14.852
GENE_123,0.339
GENE_124,7.768
GENE_125,11.104
GENE_126,9.626
GENE_127,10.339
GENE_128,1.204
GENE_129,0.1
GENE_130,7.638
GENE_131,4.422
GENE_132,5.038
GENE_133,3.958
GENE_134,15.251
GENE_135,9.107
GENE_136,10.387
GENE_137,5.341
GENE_138,8.81
GENE_139,4.997
GENE_140,0.1
GENE_141,5.283
GENE_142,18.691
GENE_143,5.397
GENE_144,20.525
GENE_145,12.253
GENE_146,1.32
GENE_147,4.342
GENE_148,4.152
GENE_149,18.525
GENE_150,9.213
