gene_id	expression
GENE_001	8.538
GENE_002	11.376
GENE_003	13.682
GENE_004	8.541
GENE_005	11.05
GENE_006	6.399
GENE_007	11.599
GENE_008	7.05
GENE_009	17.933
GENE_010	10.794
GENE_011	6.102
GENE_012	2.166
GENE_013	0.1
GENE_014	10.421
GENE_015	7.055
GENE_016	0.1
GENE_017	3.087
GENE_018	7.508
GENE_019	7.944
GENE_020	28.929
GENE_021	9.397
GENE_022	6.162
GENE_023	4.901
GENE_024	7.784
GENE_025	6.382
GENE_026	9.602
GENE_027	17.419
GENE_028	10.607
GENE_029	13.395
GENE_030	15.787
GENE_031	19.569
GENE_032	3.936
GENE_033	1.888
GENE_034	11.175
GENE_035	2.867
GENE_036	11.245
GENE_037	7.963
GENE_038	19.799
GENE_039	14.72
GENE_040	2.058
GENE_041	8.192
GENE_042	13.698
GENE_043	2.385
GENE_044	15.262
GENE_045	4.84
GENE_046	0.1
GENE_047	9.916
GENE_048	13.604
GENE_049	4.732
GENE_050	14.936
GENE_051	2.234
GENE_052	7.663
GENE_053	11.957
GENE_054	9.401
GENE_055	2.413
GENE_056	0.1
GENE_057	14.864
GENE_058	1.397
GENE_059	7.989
GENE_060	20.723
GENE_061	15.119
GENE_062	14.607
GENE_063	8.236
GENE_064	19.265
GENE_065	17.164
GENE_066	23.391
GENE_067	12.872
GENE_068	7.744
GENE_069	13.811
GENE_070	0.1
GENE_071	19.653
GENE_072	11.695
GENE_073	5.441
GENE_074	15.135
GENE_075	5.43
GENE_076	8.6
GENE_077	10.176
GENE_078	11.474
GENE_079	6.221
GENE_080	25.867
GENE_081	0.1
GENE_082	23.207
GENE_083	0.1
GENE_084	6.808
GENE_085	18.079
GENE_086	20.919
GENE_087	11.904
GENE_088	11.456
GENE_089	7.728
GENE_090	11.672
GENE_091	14.199
GENE_092	7.431
GENE_093	6.723
GENE_094	4.795
GENE_095	2.689
GENE_096	20.764
GENE_097	3.457
GENE_098	1.921
GENE_099	14.753
GENE_100	0.772
GENE_101	11.117
GENE_102	6.504
GENE_103	9.734
GENE_104	17.979
GENE_105	0.1
GENE_106	0.486
GENE_107	3.978
GENE_108	0.1
GENE_109	4.253
GENE_110	7.08
GENE_111	17.536
GENE_112	7.815
GENE_113	4.686
GENE_114	3.835
GENE_115	5.232
GENE_116	4.023
GENE_117	3.897
GENE_118	24.518
GENE_119	3.628
GENE_120	22.596
GENE_121	15.143
GENE_122	6.984
GENE_123	8.354
GENE_124	13.853
GENE_125	15.238
GENE_126	4.759
GENE_127	16.242
GENE_128	1.952
GENE_129	9.521
GENE_130	7.1
GENE_131	13.913
GENE_132	14.528
GENE_133	7.701
GENE_134	4.409
GENE_135	10.671
GENE_136	11.419
GENE_137	3.637
GENE_138	5.552
GENE_139	9.424
GENE_140	4.756
GENE_141	5.053
GENE_142	5.43
GENE_143	0.1
GENE_144	17.444
GENE_145	9.226
GENE_146	16.36
GENE_147	10.622
GENE_148	1.959
GENE_149	9.485
GENE_150	11.393
