Type,Tenor,Quote
OIS,1M,-0.0019
OIS,2M,-0.00235
OIS,3M,-0.0025
OIS,6M,-0.0028
OIS,1Y,-0.0031
OIS,2Y,-0.0033
OIS,3Y,-0.0028
OIS,4Y,-0.0017
OIS,5Y,-0.0006
OIS,7Y,0.0021
OIS,10Y,0.006
OIS,15Y,0.0102
OIS,20Y,0.0122
OIS,30Y,0.013
FIX6M,0D,-0.00024
FRA6M,6Mx12M,-0.0023
IRS6M,2Y,-0.0011
IRS6M,3Y,-0.00055
IRS6M,4Y,0.0005
IRS6M,5Y,0.0018
IRS6M,7Y,0.0045
IRS6M,10Y,0.0083
IRS6M,15Y,0.01225
IRS6M,20Y,0.014
IRS6M,30Y,0.01455
FIX3M,0D,-0.00095
FRA3M,3Mx6M,-0.002
BS3M6M,1Y,0.00115
BS3M6M,2Y,0.00103
BS3M6M,3Y,0.00103
BS3M6M,4Y,0.00106
BS3M6M,5Y,0.00109
BS3M6M,7Y,0.00106
BS3M6M,10Y,0.00092
BS3M6M,15Y,0.00072
BS3M6M,20Y,0.00059
BS3M6M,30Y,0.00043
