trade_id|security_type|coupon_rate|settlement_date|maturity_date|dated_date|first_coupon_date|frequency|redemption_value|compute|yield_input|price_input|discount_rate
T001|periodic|0.05|2024-01-01|2027-01-01|2024-01-01|2024-07-01|2|100.0|price|0.05||
T002|periodic|0.05|2024-01-01|2027-01-01|2024-01-01|2024-07-01|2|100.0|price|0.04||
T003|periodic|0.05|2024-01-01|2027-01-01|2024-01-01|2024-07-01|2|100.0|price|0.06||
T004|periodic|0.05|2024-10-01|2025-01-01|2024-01-01|2024-07-01|2|100.0|price|0.06||
T005|at_redemption|0.06|2024-03-31|2025-01-30|2024-01-30|2025-01-30|2|100.0|price|0.05||
T006|discounted|0.0|2024-07-01|2025-01-01|2024-07-01|2025-01-01|2|100.0|price|||0.04
T007|periodic|0.05|2024-01-01|2029-01-01|2024-01-01|2024-07-01|2|100.0|price|0.04||
T008|periodic|0.08|2024-01-01|2026-01-01|2024-01-01|2024-04-01|4|100.0|price|0.08||
T009|at_redemption|0.06|2024-03-31|2025-01-29|2024-01-29|2025-01-29|2|100.0|price|0.05||
T010|at_redemption|0.06|2024-03-31|2025-01-31|2024-01-31|2025-01-31|2|100.0|price|0.05||
T011|periodic|0.06|2024-01-01|2026-01-01|2024-01-01|2024-07-01|2|100.0|price|0.0||
T012|periodic|0.07|2024-01-01|2025-01-01|2024-01-01|2024-07-01|2|100.0|price|0.07||
