"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Metric Used","Method Name","Year","Units of Measure","Event Type","Observation Count","Observation Percent","Completeness Indicator","Valid Day Count","Required Day Count","Exceptional Data Count","Null Data Count","Primary Exceedance Count","Secondary Exceedance Count","Certification Indicator","Num Obs Below MDL","Arithmetic Mean","Arithmetic Standard Dev","1st Max Value","1st Max DateTime","2nd Max Value","2nd Max DateTime","3rd Max Value","3rd Max DateTime","4th Max Value","4th Max DateTime","1st Max Non Overlapping Value","1st NO Max DateTime","2nd Max Non Overlapping Value","2nd NO Max DateTime","99th Percentile","98th Percentile","95th Percentile","90th Percentile","75th Percentile","50th Percentile","10th Percentile","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"06","037","0002","44201","1","34.06653","-118.22676","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2021","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.042","0.018","0.098","2021-07-15 14:00","0.092","2021-08-02 13:00","0.085","2021-06-22 15:00","0.079","2021-09-10 14:00","","","","","0.081","0.076","0.068","0.062","0.051","0.04","0.02","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","0002","44201","1","34.06653","-118.22676","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2022","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.04","0.017","0.091","2022-07-15 14:00","0.086","2022-08-02 13:00","0.079","2022-06-22 15:00","0.073","2022-09-10 14:00","","","","","0.078","0.074","0.066","0.06","0.049","0.038","0.018","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"06","037","0002","44201","1","34.06653","-118.22676","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2023","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.038","0.016","0.088","2023-07-15 14:00","0.081","2023-08-02 13:00","0.075","2023-06-22 15:00","0.069","2023-09-10 14:00","","","","","0.075","0.07","0.064","0.058","0.047","0.036","0.016","","","California","Los Angeles","Los Angeles","Los Angeles-Long Beach-Anaheim, CA","2024-05-01"
"36","061","0056","44201","1","40.81614","-73.90198","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2021","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.035","0.015","0.085","2021-07-15 14:00","0.078","2021-08-02 13:00","0.072","2021-06-22 15:00","0.068","2021-09-10 14:00","","","","","0.072","0.067","0.06","0.055","0.044","0.033","0.015","","","New York","New York","New York","New York-Newark-Jersey City, NY-NJ-PA","2024-05-01"
"36","061","0056","44201","1","40.81614","-73.90198","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2022","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.037","0.016","0.089","2022-07-15 14:00","0.082","2022-08-02 13:00","0.076","2022-06-22 15:00","0.071","2022-09-10 14:00","","","","","0.075","0.07","0.063","0.057","0.046","0.035","0.017","","","New York","New York","New York","New York-Newark-Jersey City, NY-NJ-PA","2024-05-01"
"36","061","0056","44201","1","40.81614","-73.90198","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2023","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.034","0.014","0.082","2023-07-15 14:00","0.075","2023-08-02 13:00","0.069","2023-06-22 15:00","0.065","2023-09-10 14:00","","","","","0.069","0.065","0.058","0.053","0.043","0.032","0.014","","","New York","New York","New York","New York-Newark-Jersey City, NY-NJ-PA","2024-05-01"
"04","013","0019","44201","1","33.47972","-112.1425","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2021","Parts per million","No Events","8000","55.0","N","201","365","0","0","0","0","Certified","0","0.045","0.022","0.102","2021-07-15 14:00","0.095","2021-08-02 13:00","0.088","2021-06-22 15:00","0.082","2021-09-10 14:00","","","","","0.09","0.085","0.075","0.068","0.055","0.043","0.022","","","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","2024-05-01"
"04","013","0019","44201","1","33.47972","-112.1425","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2022","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.043","0.02","0.094","2022-07-15 14:00","0.087","2022-08-02 13:00","0.081","2022-06-22 15:00","0.075","2022-09-10 14:00","","","","","0.082","0.077","0.069","0.063","0.053","0.041","0.02","","","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","2024-05-01"
"04","013","0019","44201","1","33.47972","-112.1425","NAD83","Ozone","8-HR RUN AVG BEGIN","Ozone 8-hour 2015","Daily Maximum","INSTRUMENTAL - ULTRA VIOLET ABSORPTION","2023","Parts per million","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","0.041","0.019","0.089","2023-07-15 14:00","0.082","2023-08-02 13:00","0.076","2023-06-22 15:00","0.071","2023-09-10 14:00","","","","","0.078","0.073","0.066","0.061","0.05","0.039","0.019","","","Arizona","Maricopa","Phoenix","Phoenix-Mesa-Scottsdale, AZ","2024-05-01"
"17","031","4201","88101","1","41.75138","-87.71339","NAD83","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2024","Observed Values","GRAVIMETRIC-Fed Ref Method-Loss Compensated","2021","Micrograms/cubic meter (25 C)","No Events","8000","95.0","Y","347","365","0","0","0","0","Certified","0","10.2","5.1","45.8","2021-07-15 14:00","42.3","2021-08-02 13:00","39.7","2021-06-22 15:00","37.2","2021-09-10 14:00","","","","","42.1","38.2","28.5","20.1","12.4","8.7","3.2","","","Illinois","Cook","Chicago","Chicago-Naperville-Elgin, IL-IN-WI","2024-05-01"
