date,rate
2022-07-01,0.016523
2022-07-05,0.016181
2022-07-06,0.015594
2022-07-07,0.015635
2022-07-08,0.015594
2022-07-11,0.015525
2022-07-12,0.015617
2022-07-13,0.015587
2022-07-14,0.015589
2022-07-15,0.016126
2022-07-18,0.015612
2022-07-19,0.015658
2022-07-20,0.015633
2022-07-21,0.015606
2022-07-22,0.015563
2022-07-25,0.015549
2022-07-26,0.015612
2022-07-27,0.015666
2022-07-28,0.015582
2022-07-29,0.017075
2022-08-01,0.024057
2022-08-02,0.023617
2022-08-03,0.023084
2022-08-04,0.023125
2022-08-05,0.023144
2022-08-08,0.023088
2022-08-09,0.023119
2022-08-10,0.023112
2022-08-11,0.023139
2022-08-12,0.023044
2022-08-15,0.023648
2022-08-16,0.023024
2022-08-17,0.022969
2022-08-18,0.023070
2022-08-19,0.023054
2022-08-22,0.023144
2022-08-23,0.023133
2022-08-24,0.023039
2022-08-25,0.023142
2022-08-26,0.023050
2022-08-29,0.023096
2022-08-30,0.023065
2022-08-31,0.024586
2022-09-01,0.031571
2022-09-02,0.031222
2022-09-06,0.030617
2022-09-07,0.030632
2022-09-08,0.030624
2022-09-09,0.030569
2022-09-12,0.030564
2022-09-13,0.030577
2022-09-14,0.030625
2022-09-15,0.031107
2022-09-16,0.030717
2022-09-19,0.030559
2022-09-20,0.030545
2022-09-21,0.030638
2022-09-22,0.030671
2022-09-23,0.030625
2022-09-26,0.030642
2022-09-27,0.030671
2022-09-28,0.030595
2022-09-29,0.030509
2022-09-30,0.032053
2022-10-03,0.031578
2022-10-04,0.031118
2022-10-05,0.030602
2022-10-06,0.030613
2022-10-07,0.030584
2022-10-11,0.030636
2022-10-12,0.030629
2022-10-13,0.030716
2022-10-14,0.030631
2022-10-17,0.031090
2022-10-18,0.030572
2022-10-19,0.030558
2022-10-20,0.030648
2022-10-21,0.030572
2022-10-24,0.030596
2022-10-25,0.030637
2022-10-26,0.030564
2022-10-27,0.030585
2022-10-28,0.030488
2022-10-31,0.032026
2022-11-01,0.039002
2022-11-02,0.038711
2022-11-03,0.038160
2022-11-04,0.038099
2022-11-07,0.038113
2022-11-08,0.038108
2022-11-09,0.038154
2022-11-10,0.038145
2022-11-14,0.038114
2022-11-15,0.038569
2022-11-16,0.038145
2022-11-17,0.038119
2022-11-18,0.038161
2022-11-21,0.038099
2022-11-22,0.038198
2022-11-23,0.038082
2022-11-25,0.038180
2022-11-28,0.038106
2022-11-29,0.038054
2022-11-30,0.039524
2022-12-01,0.044022
2022-12-02,0.043761
2022-12-05,0.043141
2022-12-06,0.043134
2022-12-07,0.042981
2022-12-08,0.043136
2022-12-09,0.043128
2022-12-12,0.043073
2022-12-13,0.043069
2022-12-14,0.043100
2022-12-15,0.043706
2022-12-16,0.043047
2022-12-19,0.043079
2022-12-20,0.043168
2022-12-21,0.043078
2022-12-22,0.043082
2022-12-23,0.043105
2022-12-27,0.043038
2022-12-28,0.043111
2022-12-29,0.043020
2022-12-30,0.044624
2023-01-03,0.046530
2023-01-04,0.046304
2023-01-05,0.045614
2023-01-06,0.045668
2023-01-09,0.045535
2023-01-10,0.045594
2023-01-11,0.045616
2023-01-12,0.045687
2023-01-13,0.045516
2023-01-17,0.046170
2023-01-18,0.045630
2023-01-19,0.045677
2023-01-20,0.045636
2023-01-23,0.045603
2023-01-24,0.045574
2023-01-25,0.045538
2023-01-26,0.045610
2023-01-27,0.045590
2023-01-30,0.045681
2023-01-31,0.047049
2023-02-01,0.046546
2023-02-02,0.046112
2023-02-03,0.045580
2023-02-06,0.045613
2023-02-07,0.045641
2023-02-08,0.045672
2023-02-09,0.045598
2023-02-10,0.045544
