name,block_size,size_factor,size_for_estimate_mb,buffers_for_estimate,estd_physical_read_factor,estd_physical_reads,advice_status
DEFAULT,8192,0.25,128,16384,5.20,10400000,ON
DEFAULT,8192,0.50,256,32768,3.15,6300000,ON
DEFAULT,8192,0.75,384,49152,1.82,3640000,ON
DEFAULT,8192,1.00,512,65536,1.00,2000000,ON
DEFAULT,8192,1.25,640,81920,0.68,1360000,ON
DEFAULT,8192,1.50,768,98304,0.52,1040000,ON
DEFAULT,8192,1.75,896,114688,0.48,960000,ON
DEFAULT,8192,2.00,1024,131072,0.46,920000,ON
DEFAULT,8192,2.50,1280,163840,0.44,880000,ON
DEFAULT,8192,3.00,1536,196608,0.43,860000,ON
