name,block_size,size_for_estimate,buffers_for_estimate,estd_physical_read_factor,estd_physical_reads,advice_status
DEFAULT,8192,128,16384,5.120,27755965,ON
DEFAULT,8192,256,32768,3.280,17781165,ON
DEFAULT,8192,384,49152,2.010,10896385,ON
DEFAULT,8192,512,65536,1.000,5421087,ON
DEFAULT,8192,640,81920,0.720,3903183,ON
DEFAULT,8192,768,98304,0.530,2873176,ON
DEFAULT,8192,896,114688,0.410,2222646,ON
DEFAULT,8192,1024,131072,0.350,1897380,ON
DEFAULT,8192,1152,147456,0.340,1843170,ON
DEFAULT,8192,1280,163840,0.335,1817064,ON
DEFAULT,8192,1408,180224,0.332,1799801,ON
DEFAULT,8192,1536,196608,0.330,1788959,ON
