owner,object_name,object_type,statistic_name,value
APPUSER,ORDERS,TABLE,buffer busy waits,987432
APPUSER,ORDERS,TABLE,gc buffer busy waits,0
APPUSER,ORDERS,TABLE,db block changes,4521890
APPUSER,ORDERS,TABLE,physical reads,2345678
APPUSER,ORDERS,TABLE,physical reads direct,12345
APPUSER,ORDERS,TABLE,logical reads,18234567
APPUSER,ORDERS,TABLE,row lock waits,345678
APPUSER,ORDERS,TABLE,ITL waits,98765
APPUSER,ORDER_ITEMS,TABLE,buffer busy waits,123456
APPUSER,ORDER_ITEMS,TABLE,gc buffer busy waits,0
APPUSER,ORDER_ITEMS,TABLE,db block changes,891234
APPUSER,ORDER_ITEMS,TABLE,physical reads,567890
APPUSER,ORDER_ITEMS,TABLE,physical reads direct,5678
APPUSER,ORDER_ITEMS,TABLE,logical reads,8901234
APPUSER,ORDER_ITEMS,TABLE,row lock waits,12345
APPUSER,ORDER_ITEMS,TABLE,ITL waits,3456
APPUSER,CUSTOMERS,TABLE,buffer busy waits,23456
APPUSER,CUSTOMERS,TABLE,db block changes,234567
APPUSER,CUSTOMERS,TABLE,physical reads,345678
APPUSER,CUSTOMERS,TABLE,logical reads,5678901
APPUSER,CUSTOMERS,TABLE,row lock waits,2345
APPUSER,CUSTOMERS,TABLE,ITL waits,456
APPUSER,PRODUCTS,TABLE,buffer busy waits,12345
APPUSER,PRODUCTS,TABLE,db block changes,89012
APPUSER,PRODUCTS,TABLE,physical reads,56789
APPUSER,PRODUCTS,TABLE,logical reads,1234567
APPUSER,PRODUCTS,TABLE,row lock waits,123
APPUSER,PRODUCTS,TABLE,ITL waits,45
APPUSER,PK_ORDERS,INDEX,buffer busy waits,234567
APPUSER,PK_ORDERS,INDEX,db block changes,2345678
APPUSER,PK_ORDERS,INDEX,physical reads,789012
APPUSER,PK_ORDERS,INDEX,logical reads,12345678
APPUSER,IDX_ORDER_DATE,INDEX,buffer busy waits,45678
APPUSER,IDX_ORDER_DATE,INDEX,physical reads,234567
APPUSER,IDX_ORDER_DATE,INDEX,logical reads,3456789
APPUSER,IDX_CUST_ID,INDEX,buffer busy waits,8901
APPUSER,IDX_CUST_ID,INDEX,physical reads,45678
APPUSER,IDX_CUST_ID,INDEX,logical reads,2345678
