name,value,class
consistent gets from cache,45283102,8
db block gets from cache,8917643,8
physical reads cache,5421087,8
physical reads direct,1234567,8
physical reads,6655654,8
consistent gets,45598761,8
db block gets,9024512,8
parse count (total),8234567,64
parse count (hard),2867412,64
parse count (failures),234,64
session cursor cache hits,1245678,64
execute count,31208547,64
bytes sent via SQL*Net to client,89012345678,1
bytes received via SQL*Net from client,12345678901,1
SQL*Net roundtrips to/from client,89456123,1
sorts (memory),2345678,64
sorts (disk),45678,64
table scans (short tables),345678,64
table scans (long tables),12345,64
table fetch by rowid,23456789,64
table scan rows gotten,456789012,64
redo writes,2109834,2
redo blocks written,24567891,2
redo size,12345678901,2
logons current,156,1
opened cursors current,12345,1
session logical reads,54200745,1
user calls,31208547,64
user commits,2156789,1
user rollbacks,45678,1
recursive calls,12345678,1
db block changes,8917643,8
redo entries,8917643,2
free buffer requested,54200745,1
dirty buffers inspected,234567,8
pinned buffers inspected,12345,8
free buffer inspected,567890,8
DBWR checkpoint buffers written,1234567,8
DBWR transaction table writes,89012,8
DBWR undo block writes,345678,8
