name,lat,lon,Ta,Aa,Hsn,rho_sn,vwc,p_clay,p_sand,p_silt,p_peat,Hvgf,Hvgt,Dvf,Dvt
Barrow_AK,71.3,-156.6,-12.0,19.0,0.20,280,0.45,0.25,0.20,0.45,0.10,0.05,0.10,1.39e-6,5.56e-8
Yakutsk_RU,62.0,129.7,-10.0,27.0,0.35,200,0.35,0.30,0.30,0.35,0.05,0.15,0.40,1.39e-6,5.56e-8
Svalbard_NO,78.2,15.6,-5.5,10.5,0.60,320,0.25,0.10,0.60,0.25,0.05,0.00,0.00,1.39e-6,5.56e-8
Churchill_CA,58.7,-94.1,-7.0,21.0,0.45,230,0.50,0.15,0.10,0.25,0.50,0.20,0.50,1.39e-6,5.56e-8
Stockholm_SE,59.3,18.1,6.5,12.0,0.10,200,0.30,0.20,0.40,0.35,0.05,0.00,0.20,1.39e-6,5.56e-8
Fairbanks_AK,64.8,-147.7,-3.5,24.0,0.55,190,0.55,0.10,0.15,0.20,0.55,0.25,0.60,1.39e-6,5.56e-8
Norilsk_RU,69.3,88.2,-9.0,18.5,0.30,250,0.60,0.20,0.15,0.55,0.10,0.10,0.30,1.39e-6,5.56e-8
Qinghai_CN,35.6,94.1,-3.8,15.0,0.10,180,0.42,0.35,0.25,0.30,0.10,0.00,0.15,1.39e-6,5.56e-8
Murmansk_RU,68.9,33.1,-0.5,14.5,0.55,220,0.35,0.25,0.30,0.40,0.05,0.10,0.30,1.39e-6,5.56e-8
Tiksi_Deep_RU,71.6,128.8,-14.5,23.0,0.15,300,0.30,0.40,0.10,0.45,0.05,0.00,0.05,1.39e-6,5.56e-8
