SURO,IFWO,AGWO
0.0000000000e+00,1.4692564000e-03,2.4298239000e-03
0.0000000000e+00,1.4475825000e-03,2.4300206000e-03
0.0000000000e+00,1.4262284000e-03,2.4301915000e-03
0.0000000000e+00,1.4051893000e-03,2.4303370000e-03
0.0000000000e+00,1.3844606000e-03,2.4304576000e-03
0.0000000000e+00,1.3640376000e-03,2.4305538000e-03
0.0000000000e+00,1.3439159000e-03,2.4306260000e-03
0.0000000000e+00,1.3240911000e-03,2.3400784000e-03
0.0000000000e+00,1.3045588000e-03,2.0195283000e-03
0.0000000000e+00,1.2853144000e-03,1.7442536000e-03
0.0000000000e+00,1.2663541000e-03,1.7442338000e-03
0.0000000000e+00,1.2476734000e-03,1.7441916000e-03
0.0000000000e+00,1.2292683000e-03,1.7441283000e-03
0.0000000000e+00,1.2111345000e-03,1.7440433000e-03
0.0000000000e+00,1.1932683000e-03,2.0192151000e-03
0.0000000000e+00,1.1756658000e-03,2.3396639000e-03
0.0000000000e+00,1.1583229000e-03,2.4301133000e-03
0.0000000000e+00,1.1412358000e-03,2.4299470000e-03
0.0000000000e+00,1.1244009000e-03,2.4297610000e-03
0.0000000000e+00,1.1078141000e-03,2.4295559000e-03
0.0000000000e+00,1.0914721000e-03,2.4293319000e-03
0.0000000000e+00,1.0753712000e-03,2.4290895000e-03
0.0000000000e+00,1.0595077000e-03,2.4288287000e-03
0.0000000000e+00,1.0438784000e-03,2.4285500000e-03
0.0000000000e+00,1.0284794000e-03,2.3802982000e-03
0.0000000000e+00,1.0133078000e-03,2.3800477000e-03
0.0000000000e+00,9.9835987000e-04,2.3797806000e-03
0.0000000000e+00,9.8363252000e-04,2.3794968000e-03
0.0000000000e+00,9.6912234000e-04,2.3791962000e-03
0.0000000000e+00,9.5482630000e-04,2.3788798000e-03
0.0000000000e+00,9.4074110000e-04,2.3785473000e-03
0.0000000000e+00,9.2686369000e-04,2.2819724000e-03
0.0000000000e+00,9.1319100000e-04,1.9497968000e-03
0.0000000000e+00,8.9972001000e-04,1.6657196000e-03
0.0000000000e+00,8.8644773000e-04,1.6653261000e-03
0.0000000000e+00,8.7337120000e-04,1.6649179000e-03
0.0000000000e+00,8.6048763000e-04,1.6644951000e-03
0.0000000000e+00,8.4779406000e-04,1.6640581000e-03
0.0000000000e+00,8.3528779000e-04,1.9473055000e-03
0.0000000000e+00,8.2296599000e-04,2.2786530000e-03
0.0000000000e+00,8.1082596000e-04,2.3744013000e-03
0.0000000000e+00,7.9886505000e-04,2.3739093000e-03
0.0000000000e+00,7.8708050000e-04,2.3734041000e-03
0.0000000000e+00,7.7546982000e-04,2.3728861000e-03
