salt,cation,anion,nu_cation,nu_anion,molality,gamma_exp
NaCl,Na+,Cl-,1,1,0.1,0.778
NaCl,Na+,Cl-,1,1,0.25,0.720
NaCl,Na+,Cl-,1,1,0.5,0.681
NaCl,Na+,Cl-,1,1,0.75,0.665
NaCl,Na+,Cl-,1,1,1.0,0.657
NaCl,Na+,Cl-,1,1,2.0,0.669
NaCl,Na+,Cl-,1,1,3.0,0.714
NaCl,Na+,Cl-,1,1,4.0,0.782
NaCl,Na+,Cl-,1,1,5.0,0.873
NaCl,Na+,Cl-,1,1,6.0,0.987
KBr,K+,Br-,1,1,0.1,0.771
KBr,K+,Br-,1,1,0.2,0.722
KBr,K+,Br-,1,1,0.5,0.658
KBr,K+,Br-,1,1,1.0,0.617
KBr,K+,Br-,1,1,2.0,0.593
KBr,K+,Br-,1,1,5.0,0.626
LiCl,Li+,Cl-,1,1,0.1,0.789
LiCl,Li+,Cl-,1,1,0.2,0.756
LiCl,Li+,Cl-,1,1,0.5,0.739
LiCl,Li+,Cl-,1,1,1.0,0.775
LiCl,Li+,Cl-,1,1,2.0,0.924
BaCl2,Ba+2,Cl-,1,2,0.01,0.721
BaCl2,Ba+2,Cl-,1,2,0.02,0.653
BaCl2,Ba+2,Cl-,1,2,0.05,0.559
BaCl2,Ba+2,Cl-,1,2,0.1,0.492
BaCl2,Ba+2,Cl-,1,2,0.2,0.436
BaCl2,Ba+2,Cl-,1,2,0.5,0.391
BaCl2,Ba+2,Cl-,1,2,1.0,0.393
K2SO4,K+,SO4-2,2,1,0.01,0.704
K2SO4,K+,SO4-2,2,1,0.02,0.625
K2SO4,K+,SO4-2,2,1,0.05,0.511
K2SO4,K+,SO4-2,2,1,0.1,0.424
K2SO4,K+,SO4-2,2,1,0.2,0.343
K2SO4,K+,SO4-2,2,1,0.5,0.251
HCl,H+,Cl-,1,1,0.1,0.797
HCl,H+,Cl-,1,1,0.2,0.768
HCl,H+,Cl-,1,1,0.5,0.759
HCl,H+,Cl-,1,1,1.0,0.811
HCl,H+,Cl-,1,1,2.0,1.009
RbCl,Rb+,Cl-,1,1,0.1,0.761
RbCl,Rb+,Cl-,1,1,0.2,0.707
RbCl,Rb+,Cl-,1,1,0.5,0.633
RbCl,Rb+,Cl-,1,1,1.0,0.583
RbCl,Rb+,Cl-,1,1,2.0,0.546
RbCl,Rb+,Cl-,1,1,5.0,0.544
