estimated_hours,actual_hours
64.1,85.2
18.4,6.8
99.8,80.3
197.5,117.2
194.2,194.3
173.0,28.1
60.8,497.8
33.1,97.8
11.6,20.2
76.5,303.9
147.8,223.6
7.0,0.3
154.3,238.6
164.3,164.1
197.9,222.5
164.4,382.8
103.7,21.2
124.9,118.9
22.2,9.5
77.5,235.5
124.9,184.7
17.7,6.7
75.5,36.5
102.8,95.0
70.5,165.4
185.6,117.4
23.2,23.5
141.3,185.6
55.8,38.3
109.2,125.5
46.4,37.8
77.5,179.0
166.9,511.8
117.2,212.5
127.5,199.4
51.6,43.3
37.8,11.2
196.8,96.0
42.1,8.1
171.9,4.1
128.2,205.2
123.6,113.9
153.2,254.7
184.0,126.1
100.9,13.6
84.2,51.2
137.9,31.9
73.2,56.1
199.5,1319.7
101.3,51.2
152.8,34.1
148.3,412.0
114.3,94.8
45.4,23.9
42.2,51.9
114.1,59.3
81.1,238.3
125.5,105.2
182.8,134.9
98.9,277.1
5.5,5.2
120.2,150.3
30.1,56.1
28.2,8.2
111.8,360.9
17.5,8.8
183.3,316.9
167.5,156.6
37.0,150.8
172.7,165.5
63.4,55.5
59.4,33.2
184.1,189.4
32.9,69.0
119.1,232.6
9.3,6.5
45.5,41.2
119.4,134.2
61.4,106.4
37.7,79.6
175.3,1222.9
175.9,410.3
166.9,251.6
49.0,28.6
80.8,30.2
155.3,290.3
121.5,202.2
123.5,98.2
55.9,55.0
28.0,21.7
94.0,57.2
121.6,2441.5
19.1,22.4
67.0,45.7
45.3,9.8
166.4,218.0
180.6,404.3
193.3,68.9
40.7,50.9
185.6,8583.2
34.3,69.2
179.7,185.9
37.1,27.8
88.3,139.8
109.8,88.8
91.0,189.1
74.5,38.0
161.7,131.2
47.9,54.4
49.1,220.6
36.2,26.0
19.0,45.3
34.0,74.4
76.3,63.6
165.2,899.8
24.9,11.3
110.2,355.4
47.8,179.1
191.5,124.0
56.4,65.3
195.4,238.9
105.2,150.7
8.6,35.5
60.4,39.1
129.7,183.5
71.1,81.0
35.6,51.6
85.7,170.9
11.6,21.8
97.6,84.2
148.3,8.5
171.2,138.7
42.5,132.0
173.9,427.9
200.0,87.0
199.7,104.6
123.6,96.0
106.3,41.3
63.8,19.9
15.8,11.8
93.0,243.6
192.4,240.0
86.1,131.9
173.3,133.3
42.6,64.7
144.6,212.9
143.9,247.1
98.1,118.5
82.8,189.5
124.8,48.1
69.7,53.8
115.4,69.2
50.4,24.1
17.9,6.4
89.3,62.1
145.5,117.3
148.4,101.0
177.0,370.3
53.0,52.8
135.0,134.4
62.8,127.9
26.5,19.4
154.4,241.2
101.9,126.7
113.8,89.3
20.9,21.5
170.7,137.8
49.5,155.9
151.9,195.2
161.4,377.3
9.9,7.8
156.6,146.1
78.3,42.4
13.7,13.1
36.6,19.7
38.1,57.2
159.6,410.7
94.8,342.0
158.5,113.6
125.7,167.9
197.8,61.4
165.8,157.0
100.0,65.8
59.0,19.8
37.2,74.7
117.2,106.0
24.7,32.2
112.7,90.3
67.6,81.4
30.7,38.0
160.4,102.2
18.8,22.5
169.5,37.5
51.1,159.1
122.7,138.3
94.0,96.0
59.3,73.1
188.6,1252.5
105.4,105.2
137.6,178.1
145.5,185.3
123.5,92.8
26.2,94.2
41.3,118.0
107.7,273.6
90.5,164.0
184.8,168.7
30.5,17.5
52.2,100.5
8.7,25.2
38.1,79.6
157.4,398.0
193.8,166.7
173.9,136.0
95.8,66.2
41.2,36.6
104.4,77.6
134.7,202.0
63.3,88.7
46.4,32.8
117.7,288.2
11.3,35.1
5.8,21.9
30.7,8.2
54.0,48.4
170.1,262.8
96.6,48.1
97.2,153.0
121.5,154.4
14.7,20.5
58.4,55.6
49.8,92.8
122.0,150.4
70.3,10.1
139.8,161.9
125.8,245.0
105.8,93.3
116.0,68.5
84.1,44.0
93.8,82.0
72.4,124.3
6.7,4.4
13.1,37.3
115.5,109.0
61.7,6.8
169.3,19.7
125.2,137.3
182.7,423.8
18.7,67.6
12.5,15.3
97.9,67.0
68.8,124.4
84.3,152.0
46.0,13.3
53.4,112.4
149.8,135.4
128.1,155.6
162.3,67.2
54.8,111.5
26.5,39.3
56.2,30.8
69.6,33.7
103.7,66.8
65.6,41.9
112.9,120.7
45.3,104.6
6.2,6.8
195.2,1735.7
185.2,373.0
62.8,75.2
101.4,56.5
99.8,392.4
155.2,135.2
11.9,5.5
48.7,36.8
8.4,15.7
52.2,48.1
124.2,94.8
74.3,66.4
185.2,341.8
155.6,126.0
60.0,30.3
99.3,114.0
182.4,129.8
23.1,24.3
119.4,243.7
63.5,41.0
135.5,139.1
149.6,160.4
181.6,292.0
176.7,38.9
199.3,139.8
58.7,73.1
85.3,98.5
87.7,20.0
22.8,35.2
146.5,249.1
139.5,147.0
144.6,84.2
123.1,26.0
183.6,218.1
35.8,13.4
166.0,79.9
126.8,236.0
191.8,85.1
145.7,76.5
128.9,90.2
111.0,493.9
127.3,101.8
193.0,596.5
187.6,77.9
6.7,11.5
163.4,35.6
118.0,219.1
81.8,100.0
7.0,2.0
114.1,133.2
166.9,78.4
188.0,80.1
155.6,157.1
34.7,16.8
116.1,116.4
46.3,66.2
23.7,9.6
59.4,52.1
185.1,98.6
52.6,3.1
26.6,83.8
199.7,157.2
130.5,184.6
86.8,71.3
36.0,22.9
194.4,131.7
15.4,34.1
26.0,14.3
98.6,195.1
5.0,4.7
150.3,353.1
133.7,57.1
158.9,267.5
76.3,76.0
121.9,47.9
177.9,218.2
28.9,62.8
18.4,25.2
186.5,3044.5
182.5,149.7
74.4,65.3
12.3,58.0
29.9,4.9
21.4,39.1
103.3,169.3
68.4,90.2
41.3,36.7
114.5,285.8
51.1,44.0
59.1,65.3
198.4,54.0
148.7,679.7
128.1,193.3
73.9,76.5
163.4,847.7
62.4,28.2
98.4,77.4
50.8,34.4
132.0,395.1
152.7,66.2
177.2,156.8
120.0,118.3
141.0,255.3
137.6,169.7
81.9,33.9
156.2,83.5
147.1,239.5
132.4,55.1
64.5,111.7
171.8,163.4
173.7,149.8
57.0,47.2
37.2,38.7
127.8,52.9
190.7,878.5
186.3,164.5
119.8,217.3
111.8,176.4
162.4,103.2
33.2,271.5
175.1,1852.6
12.1,29.3
40.8,63.8
47.7,11.9
196.6,142.8
171.3,97.3
54.8,39.7
118.9,202.1
117.3,31.0
67.1,104.0
102.6,244.0
86.9,13.6
109.0,357.8
85.0,94.0
60.1,307.9
172.3,77.4
175.5,904.4
86.4,36.3
43.9,53.3
155.0,219.3
118.6,189.1
58.2,104.6
188.1,182.2
92.6,85.5
26.2,8.5
145.9,192.1
174.2,1317.5
34.9,610.4
55.1,117.5
186.3,138.7
173.0,231.4
192.2,161.1
34.5,82.5
