node_id,engine,engine_config,status,depth,time_seconds
N1a,abc_pdr,,proven,,12.5
N1b1,abc_bmc,,proven,,3.2
N2,abc_pdr,timeout=3600,inconclusive,,3600.0
N3a1,abc_bmc,,proven,,120.0
N3b,abc_pdr,,proven,,88.0
N3c,abc_bmc,,falsified,15,5.0
N3d,abc_pdr,timeout=3600,inconclusive,,3600.0
N4a,abc_pdr,,proven,,2.0
N4b,abc_pdr,,proven,,15.0
N5a,abc_bmc,,falsified,8,1.5
N6a,abc_pdr,,proven,,5.0
N6b,abc_pdr,,proven,,18.0
N6c,abc_pdr,,proven,,34.0
N6d,abc_pdr,timeout=3600,inconclusive,,3600.0
N6e,abc_bmc,,proven,,0.1
N7,abc_pdr,,proven,,0.5
N8a,abc_pdr,,proven,,8.0
N8b1,abc_bmc,k=250,proven,,250.0
N9a1,abc_bmc,"k=200,engine_mode=deep",proven,,180.0
N10a,abc_pdr,,proven,,5.0
N10b,abc_pdr,,proven,,12.0
N10c,abc_pdr,,proven,,8.0
